Freq.	V(vo)
1.00000000000000e-003	-4.04904625861974e+000,2.84925745050010e-007
1.02305972984251e-003	-4.04904625861973e+000,2.91496055756038e-007
1.04665121082543e-003	-4.04904625861973e+000,2.98217876051929e-007
1.07078670498640e-003	-4.04904625861973e+000,3.05094699707893e-007
1.09547875712233e-003	-4.04904625861973e+000,3.12130101059539e-007
1.12074020130978e-003	-4.04904625861973e+000,3.19327736865686e-007
1.14658416757562e-003	-4.04904625861973e+000,3.26691348209029e-007
1.17302408872161e-003	-4.04904625861973e+000,3.34224762440614e-007
1.20007370730629e-003	-4.04904625861973e+000,3.41931895169171e-007
1.22774708278787e-003	-4.04904625861973e+000,3.49816752296309e-007
1.25605859883189e-003	-4.04904625861972e+000,3.57883432098645e-007
1.28502297078731e-003	-4.04904625861972e+000,3.66136127357950e-007
1.31465525333508e-003	-4.04904625861972e+000,3.74579127540406e-007
1.34497084831302e-003	-4.04904625861972e+000,3.83216821026130e-007
1.37598551272117e-003	-4.04904625861972e+000,3.92053697390098e-007
1.40771536691173e-003	-4.04904625861972e+000,4.01094349735670e-007
1.44017690296786e-003	-4.04904625861971e+000,4.10343477081931e-007
1.47338699327572e-003	-4.04904625861971e+000,4.19805886806075e-007
1.50736289929412e-003	-4.04904625861971e+000,4.29486497142118e-007
1.54212228052647e-003	-4.04904625861971e+000,4.39390339737220e-007
1.57768320369952e-003	-4.04904625861971e+000,4.49522562266969e-007
1.61406415215389e-003	-4.04904625861970e+000,4.59888431110957e-007
1.65128403545104e-003	-4.04904625861970e+000,4.70493334090070e-007
1.68936219920179e-003	-4.04904625861970e+000,4.81342783266888e-007
1.72831843512153e-003	-4.04904625861970e+000,4.92442417810664e-007
1.76817299131726e-003	-4.04904625861969e+000,5.03798006928369e-007
1.80894658281185e-003	-4.04904625861969e+000,5.15415452863331e-007
1.85066040231102e-003	-4.04904625861969e+000,5.27300793963013e-007
1.89333613121855e-003	-4.04904625861968e+000,5.39460207817540e-007
1.93699595090551e-003	-4.04904625861968e+000,5.51900014470596e-007
1.98166255423942e-003	-4.04904625861968e+000,5.64626679704364e-007
2.02735915737920e-003	-4.04904625861967e+000,5.77646818400218e-007
2.07410951184210e-003	-4.04904625861967e+000,5.90967197976911e-007
2.12193791684895e-003	-4.04904625861967e+000,6.04594741908043e-007
2.17086923195406e-003	-4.04904625861966e+000,6.18536533320643e-007
2.22092888996634e-003	-4.04904625861966e+000,6.32799818676738e-007
2.27214291016839e-003	-4.04904625861965e+000,6.47392011539811e-007
2.32453791184044e-003	-4.04904625861965e+000,6.62320696428116e-007
2.37814112809615e-003	-4.04904625861964e+000,6.77593632756850e-007
2.43298042003741e-003	-4.04904625861964e+000,6.93218758871226e-007
2.48908429123558e-003	-4.04904625861963e+000,7.09204196172555e-007
2.54648190254671e-003	-4.04904625861963e+000,7.25558253339466e-007
2.60520308726827e-003	-4.04904625861962e+000,7.42289430646475e-007
2.66527836664555e-003	-4.04904625861961e+000,7.59406424382132e-007
2.72673896573547e-003	-4.04904625861961e+000,7.76918131369048e-007
2.78961682963638e-003	-4.04904625861960e+000,7.94833653588163e-007
2.85394464009191e-003	-4.04904625861959e+000,8.13162302909639e-007
2.91975583247790e-003	-4.04904625861958e+000,8.31913605932846e-007
2.98708461318093e-003	-4.04904625861958e+000,8.51097308937963e-007
3.05596597737760e-003	-4.04904625861957e+000,8.70723382951756e-007
3.12643572722382e-003	-4.04904625861956e+000,8.90802028930177e-007
3.19853049046357e-003	-4.04904625861955e+000,9.11343683060464e-007
3.27228773946669e-003	-4.04904625861954e+000,9.32359022185512e-007
3.34774581070574e-003	-4.04904625861953e+000,9.53858969353333e-007
3.42494392468201e-003	-4.04904625861952e+000,9.75854699494472e-007
3.50392220631091e-003	-4.04904625861951e+000,9.98357645230354e-007
3.58472170577761e-003	-4.04904625861950e+000,1.02137950281557e-006
3.66738441987342e-003	-4.04904625861948e+000,1.04493223821717e-006
3.75195331382432e-003	-4.04904625861947e+000,1.06902809333418e-006
3.83847234362282e-003	-4.04904625861946e+000,1.09367959236051e-006
3.92698647887470e-003	-4.04904625861945e+000,1.11889954829461e-006
4.01754172617274e-003	-4.04904625861943e+000,1.14470106959918e-006
4.11018515300928e-003	-4.04904625861942e+000,1.17109756701457e-006
4.20496491224037e-003	-4.04904625861940e+000,1.19810276052914e-006
4.30193026711386e-003	-4.04904625861938e+000,1.22573068651050e-006
4.40113161687482e-003	-4.04904625861937e+000,1.25399570500110e-006
4.50262052296127e-003	-4.04904625861935e+000,1.28291250718208e-006
4.60644973580409e-003	-4.04904625861933e+000,1.31249612300927e-006
4.71267322224483e-003	-4.04904625861931e+000,1.34276192902520e-006
4.82134619358582e-003	-4.04904625861929e+000,1.37372565635132e-006
4.93252513428712e-003	-4.04904625861927e+000,1.40540339886449e-006
5.04626783132516e-003	-4.04904625861924e+000,1.43781162156204e-006
5.16263340422846e-003	-4.04904625861922e+000,1.47096716911967e-006
5.28168233580588e-003	-4.04904625861919e+000,1.50488727464676e-006
5.40347650358351e-003	-4.04904625861917e+000,1.53958956864354e-006
5.52807921196649e-003	-4.04904625861914e+000,1.57509208816479e-006
5.65555522514243e-003	-4.04904625861911e+000,1.61141328619493e-006
5.78597080074360e-003	-4.04904625861908e+000,1.64857204123920e-006
5.91939372428539e-003	-4.04904625861905e+000,1.68658766713608e-006
6.05589334439885e-003	-4.04904625861902e+000,1.72547992309593e-006
6.19554060887573e-003	-4.04904625861898e+000,1.76526902397118e-006
6.33840810154470e-003	-4.04904625861895e+000,1.80597565076329e-006
6.48457007999789e-003	-4.04904625861891e+000,1.84762096137202e-006
6.63410251418745e-003	-4.04904625861887e+000,1.89022660159260e-006
6.78708312591212e-003	-4.04904625861883e+000,1.93381471636642e-006
6.94359142921431e-003	-4.04904625861878e+000,1.97840796129128e-006
7.10370877170875e-003	-4.04904625861874e+000,2.02402951439690e-006
7.26751837686421e-003	-4.04904625861869e+000,2.07070308819214e-006
7.43510538726016e-003	-4.04904625861864e+000,2.11845294198987e-006
7.60655690884096e-003	-4.04904625861859e+000,2.16730389451619e-006
7.78196205619050e-003	-4.04904625861854e+000,2.21728133681033e-006
7.96141199885091e-003	-4.04904625861848e+000,2.26841124542197e-006
8.14500000870932e-003	-4.04904625861842e+000,2.32072019591308e-006
8.33282150847738e-003	-4.04904625861836e+000,2.37423537667085e-006
8.52497412128872e-003	-4.04904625861829e+000,2.42898460303937e-006
8.72155772144001e-003	-4.04904625861822e+000,2.48499633177703e-006
8.92267448630226e-003	-4.04904625861815e+000,2.54229967584739e-006
9.12842894942904e-003	-4.04904625861808e+000,2.60092441955107e-006
9.33892805488941e-003	-4.04904625861800e+000,2.66090103400665e-006
9.55428121285378e-003	-4.04904625861792e+000,2.72226069298844e-006
9.77460035646154e-003	-4.04904625861783e+000,2.78503528912958e-006
1.00000000000000e-002	-4.04904625861774e+000,2.84925745049870e-006
1.02305972984251e-002	-4.04904625861765e+000,2.91496055755888e-006
1.04665121082543e-002	-4.04904625861755e+000,2.98217876051769e-006
1.07078670498640e-002	-4.04904625861744e+000,3.05094699707721e-006
1.09547875712234e-002	-4.04904625861734e+000,3.12130101059354e-006
1.12074020130978e-002	-4.04904625861722e+000,3.19327736865489e-006
1.14658416757563e-002	-4.04904625861711e+000,3.26691348208817e-006
1.17302408872162e-002	-4.04904625861698e+000,3.34224762440387e-006
1.20007370730629e-002	-4.04904625861685e+000,3.41931895168928e-006
1.22774708278787e-002	-4.04904625861672e+000,3.49816752296049e-006
1.25605859883189e-002	-4.04904625861658e+000,3.57883432098367e-006
1.28502297078731e-002	-4.04904625861643e+000,3.66136127357651e-006
1.31465525333509e-002	-4.04904625861627e+000,3.74579127540087e-006
1.34497084831303e-002	-4.04904625861611e+000,3.83216821025788e-006
1.37598551272118e-002	-4.04904625861594e+000,3.92053697389731e-006
1.40771536691173e-002	-4.04904625861576e+000,4.01094349735277e-006
1.44017690296786e-002	-4.04904625861558e+000,4.10343477081511e-006
1.47338699327572e-002	-4.04904625861538e+000,4.19805886805625e-006
1.50736289929413e-002	-4.04904625861518e+000,4.29486497141636e-006
1.54212228052647e-002	-4.04904625861496e+000,4.39390339736704e-006
1.57768320369953e-002	-4.04904625861474e+000,4.49522562266416e-006
1.61406415215390e-002	-4.04904625861451e+000,4.59888431110365e-006
