Freq.	V(vo)
1.00000000000000e-003	(1.21470547685050e+001dB,1.79999995968176e+002°)
1.02305972984251e-003	(1.21470547685050e+001dB,1.79999995875203e+002°)
1.04665121082543e-003	(1.21470547685050e+001dB,1.79999995780086e+002°)
1.07078670498640e-003	(1.21470547685050e+001dB,1.79999995682776e+002°)
1.09547875712233e-003	(1.21470547685050e+001dB,1.79999995583222e+002°)
1.12074020130978e-003	(1.21470547685050e+001dB,1.79999995481373e+002°)
1.14658416757562e-003	(1.21470547685050e+001dB,1.79999995377174e+002°)
1.17302408872161e-003	(1.21470547685050e+001dB,1.79999995270573e+002°)
1.20007370730629e-003	(1.21470547685050e+001dB,1.79999995161514e+002°)
1.22774708278787e-003	(1.21470547685050e+001dB,1.79999995049940e+002°)
1.25605859883189e-003	(1.21470547685050e+001dB,1.79999994935793e+002°)
1.28502297078731e-003	(1.21470547685050e+001dB,1.79999994819013e+002°)
1.31465525333508e-003	(1.21470547685050e+001dB,1.79999994699541e+002°)
1.34497084831302e-003	(1.21470547685050e+001dB,1.79999994577314e+002°)
1.37598551272117e-003	(1.21470547685050e+001dB,1.79999994452268e+002°)
1.40771536691173e-003	(1.21470547685050e+001dB,1.79999994324339e+002°)
1.44017690296786e-003	(1.21470547685050e+001dB,1.79999994193460e+002°)
1.47338699327572e-003	(1.21470547685050e+001dB,1.79999994059563e+002°)
1.50736289929412e-003	(1.21470547685050e+001dB,1.79999993922578e+002°)
1.54212228052647e-003	(1.21470547685050e+001dB,1.79999993782434e+002°)
1.57768320369952e-003	(1.21470547685050e+001dB,1.79999993639059e+002°)
1.61406415215389e-003	(1.21470547685050e+001dB,1.79999993492377e+002°)
1.65128403545104e-003	(1.21470547685050e+001dB,1.79999993342313e+002°)
1.68936219920179e-003	(1.21470547685050e+001dB,1.79999993188789e+002°)
1.72831843512153e-003	(1.21470547685050e+001dB,1.79999993031724e+002°)
1.76817299131726e-003	(1.21470547685050e+001dB,1.79999992871037e+002°)
1.80894658281185e-003	(1.21470547685050e+001dB,1.79999992706645e+002°)
1.85066040231102e-003	(1.21470547685050e+001dB,1.79999992538463e+002°)
1.89333613121855e-003	(1.21470547685050e+001dB,1.79999992366402e+002°)
1.93699595090551e-003	(1.21470547685050e+001dB,1.79999992190373e+002°)
1.98166255423942e-003	(1.21470547685050e+001dB,1.79999992010285e+002°)
2.02735915737920e-003	(1.21470547685050e+001dB,1.79999991826044e+002°)
2.07410951184210e-003	(1.21470547685050e+001dB,1.79999991637555e+002°)
2.12193791684895e-003	(1.21470547685050e+001dB,1.79999991444719e+002°)
2.17086923195406e-003	(1.21470547685049e+001dB,1.79999991247437e+002°)
2.22092888996634e-003	(1.21470547685049e+001dB,1.79999991045605e+002°)
2.27214291016839e-003	(1.21470547685049e+001dB,1.79999990839119e+002°)
2.32453791184044e-003	(1.21470547685049e+001dB,1.79999990627872e+002°)
2.37814112809615e-003	(1.21470547685049e+001dB,1.79999990411753e+002°)
2.43298042003741e-003	(1.21470547685049e+001dB,1.79999990190651e+002°)
2.48908429123558e-003	(1.21470547685049e+001dB,1.79999989964450e+002°)
2.54648190254671e-003	(1.21470547685049e+001dB,1.79999989733033e+002°)
2.60520308726827e-003	(1.21470547685049e+001dB,1.79999989496279e+002°)
2.66527836664555e-003	(1.21470547685049e+001dB,1.79999989254066e+002°)
2.72673896573547e-003	(1.21470547685049e+001dB,1.79999989006268e+002°)
2.78961682963638e-003	(1.21470547685049e+001dB,1.79999988752755e+002°)
2.85394464009191e-003	(1.21470547685049e+001dB,1.79999988493397e+002°)
2.91975583247790e-003	(1.21470547685049e+001dB,1.79999988228058e+002°)
2.98708461318093e-003	(1.21470547685049e+001dB,1.79999987956600e+002°)
3.05596597737760e-003	(1.21470547685048e+001dB,1.79999987678882e+002°)
3.12643572722382e-003	(1.21470547685048e+001dB,1.79999987394761e+002°)
3.19853049046357e-003	(1.21470547685048e+001dB,1.79999987104087e+002°)
3.27228773946669e-003	(1.21470547685048e+001dB,1.79999986806711e+002°)
3.34774581070574e-003	(1.21470547685048e+001dB,1.79999986502477e+002°)
3.42494392468201e-003	(1.21470547685048e+001dB,1.79999986191228e+002°)
3.50392220631091e-003	(1.21470547685048e+001dB,1.79999985872802e+002°)
3.58472170577761e-003	(1.21470547685048e+001dB,1.79999985547032e+002°)
3.66738441987342e-003	(1.21470547685048e+001dB,1.79999985213751e+002°)
3.75195331382432e-003	(1.21470547685047e+001dB,1.79999984872784e+002°)
3.83847234362282e-003	(1.21470547685047e+001dB,1.79999984523954e+002°)
3.92698647887470e-003	(1.21470547685047e+001dB,1.79999984167081e+002°)
4.01754172617274e-003	(1.21470547685047e+001dB,1.79999983801978e+002°)
4.11018515300928e-003	(1.21470547685047e+001dB,1.79999983428456e+002°)
4.20496491224037e-003	(1.21470547685047e+001dB,1.79999983046321e+002°)
4.30193026711386e-003	(1.21470547685046e+001dB,1.79999982655373e+002°)
4.40113161687482e-003	(1.21470547685046e+001dB,1.79999982255411e+002°)
4.50262052296127e-003	(1.21470547685046e+001dB,1.79999981846226e+002°)
4.60644973580409e-003	(1.21470547685046e+001dB,1.79999981427605e+002°)
4.71267322224483e-003	(1.21470547685046e+001dB,1.79999980999330e+002°)
4.82134619358582e-003	(1.21470547685045e+001dB,1.79999980561180e+002°)
4.93252513428712e-003	(1.21470547685045e+001dB,1.79999980112926e+002°)
5.04626783132516e-003	(1.21470547685045e+001dB,1.79999979654335e+002°)
5.16263340422846e-003	(1.21470547685045e+001dB,1.79999979185170e+002°)
5.28168233580588e-003	(1.21470547685044e+001dB,1.79999978705185e+002°)
5.40347650358351e-003	(1.21470547685044e+001dB,1.79999978214133e+002°)
5.52807921196649e-003	(1.21470547685044e+001dB,1.79999977711756e+002°)
5.65555522514243e-003	(1.21470547685044e+001dB,1.79999977197796e+002°)
5.78597080074360e-003	(1.21470547685043e+001dB,1.79999976671983e+002°)
5.91939372428539e-003	(1.21470547685043e+001dB,1.79999976134045e+002°)
6.05589334439885e-003	(1.21470547685043e+001dB,1.79999975583703e+002°)
6.19554060887573e-003	(1.21470547685042e+001dB,1.79999975020670e+002°)
6.33840810154470e-003	(1.21470547685042e+001dB,1.79999974444653e+002°)
6.48457007999789e-003	(1.21470547685041e+001dB,1.79999973855353e+002°)
6.63410251418745e-003	(1.21470547685041e+001dB,1.79999973252465e+002°)
6.78708312591212e-003	(1.21470547685040e+001dB,1.79999972635674e+002°)
6.94359142921431e-003	(1.21470547685040e+001dB,1.79999972004660e+002°)
7.10370877170875e-003	(1.21470547685039e+001dB,1.79999971359095e+002°)
7.26751837686421e-003	(1.21470547685039e+001dB,1.79999970698644e+002°)
7.43510538726016e-003	(1.21470547685039e+001dB,1.79999970022962e+002°)
7.60655690884096e-003	(1.21470547685038e+001dB,1.79999969331700e+002°)
7.78196205619050e-003	(1.21470547685037e+001dB,1.79999968624497e+002°)
7.96141199885091e-003	(1.21470547685037e+001dB,1.79999967900986e+002°)
8.14500000870932e-003	(1.21470547685036e+001dB,1.79999967160792e+002°)
8.33282150847738e-003	(1.21470547685035e+001dB,1.79999966403529e+002°)
8.52497412128872e-003	(1.21470547685035e+001dB,1.79999965628803e+002°)
8.72155772144001e-003	(1.21470547685034e+001dB,1.79999964836213e+002°)
8.92267448630226e-003	(1.21470547685033e+001dB,1.79999964025345e+002°)
9.12842894942904e-003	(1.21470547685032e+001dB,1.79999963195779e+002°)
9.33892805488941e-003	(1.21470547685032e+001dB,1.79999962347084e+002°)
9.55428121285378e-003	(1.21470547685031e+001dB,1.79999961478818e+002°)
9.77460035646154e-003	(1.21470547685030e+001dB,1.79999960590530e+002°)
1.00000000000000e-002	(1.21470547685029e+001dB,1.79999959681758e+002°)
1.02305972984251e-002	(1.21470547685028e+001dB,1.79999958752030e+002°)
1.04665121082543e-002	(1.21470547685027e+001dB,1.79999957800863e+002°)
1.07078670498640e-002	(1.21470547685026e+001dB,1.79999956827763e+002°)
1.09547875712234e-002	(1.21470547685024e+001dB,1.79999955832222e+002°)
1.12074020130978e-002	(1.21470547685023e+001dB,1.79999954813725e+002°)
1.14658416757563e-002	(1.21470547685022e+001dB,1.79999953771742e+002°)
1.17302408872162e-002	(1.21470547685021e+001dB,1.79999952705731e+002°)
1.20007370730629e-002	(1.21470547685019e+001dB,1.79999951615138e+002°)
1.22774708278787e-002	(1.21470547685018e+001dB,1.79999950499396e+002°)
1.25605859883189e-002	(1.21470547685016e+001dB,1.79999949357926e+002°)
1.28502297078731e-002	(1.21470547685015e+001dB,1.79999948190133e+002°)
1.31465525333509e-002	(1.21470547685013e+001dB,1.79999946995411e+002°)
1.34497084831303e-002	(1.21470547685011e+001dB,1.79999945773140e+002°)
1.37598551272118e-002	(1.21470547685009e+001dB,1.79999944522683e+002°)
1.40771536691173e-002	(1.21470547685007e+001dB,1.79999943243391e+002°)
1.44017690296786e-002	(1.21470547685005e+001dB,1.79999941934599e+002°)
1.47338699327572e-002	(1.21470547685003e+001dB,1.79999940595627e+002°)
1.50736289929413e-002	(1.21470547685001e+001dB,1.79999939225778e+002°)
1.54212228052647e-002	(1.21470547684999e+001dB,1.79999937824341e+002°)
1.57768320369953e-002	(1.21470547684996e+001dB,1.79999936390587e+002°)
1.61406415215390e-002	(1.21470547684994e+001dB,1.79999934923771e+002°)
1.65128403545105e-002	(1.21470547684991e+001dB,1.79999933423131e+002°)
1.68936219920179e-002	(1.21470547684988e+001dB,1.79999931887886e+002°)
1.72831843512153e-002	(1.21470547684986e+001dB,1.79999930317239e+002°)
1.76817299131726e-002	(1.21470547684983e+001dB,1.79999928710374e+002°)
1.80894658281186e-002	(1.21470547684979e+001dB,1.79999927066454e+002°)
1.85066040231103e-002	(1.21470547684976e+001dB,1.79999925384626e+002°)
1.89333613121855e-002	(1.21470547684973e+001dB,1.79999923664016e+002°)
1.93699595090551e-002	(1.21470547684969e+001dB,1.79999921903729e+002°)
1.98166255423943e-002	(1.21470547684965e+001dB,1.79999920102850e+002°)
2.02735915737920e-002	(1.21470547684961e+001dB,1.79999918260443e+002°)
2.07410951184210e-002	(1.21470547684957e+001dB,1.79999916375551e+002°)
2.12193791684896e-002	(1.21470547684953e+001dB,1.79999914447194e+002°)
2.17086923195407e-002	(1.21470547684948e+001dB,1.79999912474369e+002°)
2.22092888996635e-002	(1.21470547684943e+001dB,1.79999910456052e+002°)
2.27214291016839e-002	(1.21470547684938e+001dB,1.79999908391192e+002°)
2.32453791184045e-002	(1.21470547684933e+001dB,1.79999906278718e+002°)
2.37814112809616e-002	(1.21470547684928e+001dB,1.79999904117531e+002°)
2.43298042003741e-002	(1.21470547684922e+001dB,1.79999901906507e+002°)
2.48908429123559e-002	(1.21470547684916e+001dB,1.79999899644497e+002°)
2.54648190254671e-002	(1.21470547684910e+001dB,1.79999897330327e+002°)
2.60520308726828e-002	(1.21470547684903e+001dB,1.79999894962792e+002°)
2.66527836664556e-002	(1.21470547684896e+001dB,1.79999892540662e+002°)
2.72673896573548e-002	(1.21470547684889e+001dB,1.79999890062679e+002°)
2.78961682963639e-002	(1.21470547684881e+001dB,1.79999887527554e+002°)
2.85394464009192e-002	(1.21470547684873e+001dB,1.79999884933970e+002°)
2.91975583247791e-002	(1.21470547684865e+001dB,1.79999882280578e+002°)
