Freq.	V(v0)
1.00000000000000e-001	-4.51849679893519e-008,-1.83411401878903e-011
1.02305972984251e-001	-4.51849679893519e-008,-1.87640819256267e-011
1.04665121082543e-001	-4.51849679893519e-008,-1.91967765855743e-011
1.07078670498640e-001	-4.51849679893519e-008,-1.96394490674847e-011
1.09547875712233e-001	-4.51849679893519e-008,-2.00923294572366e-011
1.12074020130978e-001	-4.51849679893519e-008,-2.05556531464271e-011
1.14658416757562e-001	-4.51849679893519e-008,-2.10296609547200e-011
1.17302408872161e-001	-4.51849679893519e-008,-2.15145992550154e-011
1.20007370730629e-001	-4.51849679928202e-008,-2.20107201015059e-011
1.22774708278787e-001	-4.51849679928202e-008,-2.25182813606857e-011
1.25605859883189e-001	-4.51849679928202e-008,-2.30375468453806e-011
1.28502297078731e-001	-4.51849679928202e-008,-2.35687864518693e-011
1.31465525333508e-001	-4.51849679928202e-008,-2.41122763001652e-011
1.34497084831302e-001	-4.51849679928202e-008,-2.46682988775349e-011
1.37598551272117e-001	-4.51849679928202e-008,-2.52371431853250e-011
1.40771536691173e-001	-4.51849679928202e-008,-2.58191048891754e-011
1.44017690296786e-001	-4.51849679928202e-008,-2.64144864726951e-011
1.47338699327572e-001	-4.51849679928202e-008,-2.70235973946841e-011
1.50736289929412e-001	-4.51849679928202e-008,-2.76467542499782e-011
1.54212228052647e-001	-4.51849679928202e-008,-2.82842809340048e-011
1.57768320369952e-001	-4.51849679928202e-008,-2.89365088111326e-011
1.61406415215389e-001	-4.51849679928202e-008,-2.96037768869028e-011
1.65128403545104e-001	-4.51849679928202e-008,-3.02864319842325e-011
1.68936219920179e-001	-4.51849679928202e-008,-3.09848289236824e-011
1.72831843512153e-001	-4.51849679928202e-008,-3.16993307078790e-011
1.76817299131726e-001	-4.51849679928202e-008,-3.24303087101909e-011
1.80894658281186e-001	-4.51849679928202e-008,-3.31781428677570e-011
1.85066040231103e-001	-4.51849679928202e-008,-3.39432218789637e-011
1.89333613121855e-001	-4.51849679928202e-008,-3.47259434054768e-011
1.93699595090551e-001	-4.51849679928202e-008,-3.55267142789335e-011
1.98166255423942e-001	-4.51849679928202e-008,-3.63459507123976e-011
2.02735915737920e-001	-4.51849679928202e-008,-3.71840785166945e-011
2.07410951184210e-001	-4.51849679962885e-008,-3.80415333217320e-011
2.12193791684895e-001	-4.51849679962885e-008,-3.89187608029259e-011
2.17086923195407e-001	-4.51849679962885e-008,-3.98162169128465e-011
2.22092888996634e-001	-4.51849679962885e-008,-4.07343681182075e-011
2.27214291016839e-001	-4.51849679962885e-008,-4.16736916423185e-011
2.32453791184044e-001	-4.51849679997568e-008,-4.26346757131303e-011
2.37814112809615e-001	-4.51849679997568e-008,-4.36178198169982e-011
2.43298042003741e-001	-4.51849679997568e-008,-4.46236349582972e-011
2.48908429123558e-001	-4.51849679962885e-008,-4.56526439250263e-011
2.54648190254671e-001	-4.51849679962885e-008,-4.67053815605336e-011
2.60520308726827e-001	-4.51849680032252e-008,-4.77823950415104e-011
2.66527836664555e-001	-4.51849680032252e-008,-4.88842441623954e-011
2.72673896573548e-001	-4.51849680032252e-008,-5.00115016263356e-011
2.78961682963638e-001	-4.51849680032252e-008,-5.11647533428568e-011
2.85394464009191e-001	-4.51849680032252e-008,-5.23445987324018e-011
2.91975583247790e-001	-4.51849680032252e-008,-5.35516510378852e-011
2.98708461318093e-001	-4.51849680066935e-008,-5.47865376434389e-011
3.05596597737760e-001	-4.51849680066935e-008,-5.60499004005029e-011
3.12643572722382e-001	-4.51849680101618e-008,-5.73423959614380e-011
3.19853049046357e-001	-4.51849680101618e-008,-5.86646961208307e-011
3.27228773946669e-001	-4.51849680101618e-008,-6.00174881646699e-011
3.34774581070574e-001	-4.51849680101618e-008,-6.14014752275730e-011
3.42494392468201e-001	-4.51849680136302e-008,-6.28173766582520e-011
3.50392220631092e-001	-4.51849680136302e-008,-6.42659283934062e-011
3.58472170577761e-001	-4.51849680136302e-008,-6.57478833402361e-011
3.66738441987342e-001	-4.51849680066935e-008,-6.72640117677787e-011
3.75195331382433e-001	-4.51849680136302e-008,-6.88151017072664e-011
3.83847234362282e-001	-4.51849680136302e-008,-7.04019593617205e-011
3.92698647887470e-001	-4.51849680101618e-008,-7.20254095249847e-011
4.01754172617274e-001	-4.51849680136302e-008,-7.36862960104267e-011
