Freq.	V(vo)
1.00000000000000e+002	(1.21468374274021e+001dB,1.79596824342604e+002°)
1.02305972984251e+002	(1.21468272884770e+001dB,1.79587527543581e+002°)
1.04665121082543e+002	(1.21468166765840e+001dB,1.79578016385727e+002°)
1.07078670498640e+002	(1.21468055696612e+001dB,1.79568285927603e+002°)
1.09547875712233e+002	(1.21467939446174e+001dB,1.79558331113934e+002°)
1.12074020130978e+002	(1.21467817772845e+001dB,1.79548146772996e+002°)
1.14658416757562e+002	(1.21467690423674e+001dB,1.79537727613937e+002°)
1.17302408872161e+002	(1.21467557133910e+001dB,1.79527068224041e+002°)
1.20007370730629e+002	(1.21467417626454e+001dB,1.79516163065926e+002°)
1.22774708278787e+002	(1.21467271611288e+001dB,1.79505006474678e+002°)
1.25605859883189e+002	(1.21467118784862e+001dB,1.79493592654929e+002°)
1.28502297078731e+002	(1.21466958829475e+001dB,1.79481915677852e+002°)
1.31465525333508e+002	(1.21466791412607e+001dB,1.79469969478103e+002°)
1.34497084831302e+002	(1.21466616186230e+001dB,1.79457747850683e+002°)
1.37598551272117e+002	(1.21466432786088e+001dB,1.79445244447735e+002°)
1.40771536691173e+002	(1.21466240830937e+001dB,1.79432452775265e+002°)
1.44017690296786e+002	(1.21466039921755e+001dB,1.79419366189789e+002°)
1.47338699327572e+002	(1.21465829637173e+001dB,1.79405977894929e+002°)
1.50736289929412e+002	(1.21465609547564e+001dB,1.79392280937807e+002°)
1.54212228052647e+002	(1.21465379187965e+001dB,1.79378268205636e+002°)
1.57768320369952e+002	(1.21465138087033e+001dB,1.79363932421846e+002°)
1.61406415215389e+002	(1.21464885739884e+001dB,1.79349266142516e+002°)
1.65128403545104e+002	(1.21464621622006e+001dB,1.79334261752438e+002°)
1.68936219920179e+002	(1.21464345184430e+001dB,1.79318911461215e+002°)
1.72831843512153e+002	(1.21464055852590e+001dB,1.79303207299259e+002°)
1.76817299131726e+002	(1.21463753025135e+001dB,1.79287141113683e+002°)
1.80894658281185e+002	(1.21463436072675e+001dB,1.79270704564113e+002°)
1.85066040231103e+002	(1.21463104336476e+001dB,1.79253889118400e+002°)
1.89333613121855e+002	(1.21462757127095e+001dB,1.79236686048237e+002°)
1.93699595090551e+002	(1.21462393722951e+001dB,1.79219086424675e+002°)
1.98166255423942e+002	(1.21462013365082e+001dB,1.79201081113577e+002°)
2.02735915737920e+002	(1.21461615270538e+001dB,1.79182660770800e+002°)
2.07410951184210e+002	(1.21461198608311e+001dB,1.79163815837603e+002°)
2.12193791684895e+002	(1.21460762512569e+001dB,1.79144536535622e+002°)
2.17086923195407e+002	(1.21460306077122e+001dB,1.79124812861896e+002°)
2.22092888996634e+002	(1.21459828353548e+001dB,1.79104634583751e+002°)
2.27214291016839e+002	(1.21459328349220e+001dB,1.79083991233569e+002°)
2.32453791184044e+002	(1.21458805025250e+001dB,1.79062872103447e+002°)
2.37814112809615e+002	(1.21458257294338e+001dB,1.79041266239725e+002°)
