Freq.	V(vo)
1.00000000000000e+002	-4.04884470050512e+000,2.84911485858672e-002
1.02305972984251e+002	-4.04883529808381e+000,2.91480787241518e-002
1.04665121082543e+002	-4.04882545707518e+000,2.98201526771923e-002
1.07078670498640e+002	-4.04881515702310e+000,3.05077193163451e-002
1.09547875712233e+002	-4.04880437651754e+000,3.12111355337185e-002
1.12074020130978e+002	-4.04879309315016e+000,3.19307664254219e-002
1.14658416757562e+002	-4.04878128346776e+000,3.26669854789187e-002
1.17302408872161e+002	-4.04876892292356e+000,3.34201747645725e-002
1.20007370730629e+002	-4.04875598582627e+000,3.41907251314699e-002
1.22774708278787e+002	-4.04874244528675e+000,3.49790364076116e-002
1.25605859883189e+002	-4.04872827316219e+000,3.57855176045604e-002
1.28502297078731e+002	-4.04871343999770e+000,3.66105871266401e-002
1.31465525333508e+002	-4.04869791496516e+000,3.74546729847736e-002
1.34497084831302e+002	-4.04868166579925e+000,3.83182130150600e-002
1.37598551272117e+002	-4.04866465873053e+000,3.92016551021818e-002
1.40771536691173e+002	-4.04864685841532e+000,4.01054574077413e-002
1.44017690296786e+002	-4.04862822786239e+000,4.10300886036222e-002
1.47338699327572e+002	-4.04860872818202e+000,4.19760281068652e-002
1.50736289929412e+002	-4.04858831920255e+000,4.29437663377477e-002
1.54212228052647e+002	-4.04856695816683e+000,4.39338049436137e-002
1.57768320369952e+002	-4.04854460103799e+000,4.49466570825845e-002
1.61406415215389e+002	-4.04852120118790e+000,4.59828476575976e-002
1.65128403545104e+002	-4.04849670999774e+000,4.70429135969112e-002
1.68936219920179e+002	-4.04847107658298e+000,4.81274041217789e-002
1.72831843512153e+002	-4.04844424768790e+000,4.92368810236729e-002
1.76817299131726e+002	-4.04841616757528e+000,5.03719189474518e-002
1.80894658281185e+002	-4.04838677791084e+000,5.15331056805866e-002
1.85066040231103e+002	-4.04835601764245e+000,5.27210424485516e-002
1.89333613121855e+002	-4.04832382287364e+000,5.39363442164828e-002
1.93699595090551e+002	-4.04829012673126e+000,5.51796399972096e-002
1.98166255423942e+002	-4.04825485905288e+000,5.64515731609142e-002
2.02735915737920e+002	-4.04821794693857e+000,5.77528017755547e-002
2.07410951184210e+002	-4.04817931355426e+000,5.90839989058424e-002
2.12193791684895e+002	-4.04813887866979e+000,6.04458529669350e-002
2.17086923195407e+002	-4.04809655831879e+000,6.18390680611778e-002
2.22092888996634e+002	-4.04805226462498e+000,6.32643643265921e-002
2.27214291016839e+002	-4.04800590562047e+000,6.47224782924669e-002
2.32453791184044e+002	-4.04795738505562e+000,6.62141632421457e-002
2.37814112809615e+002	-4.04790660220015e+000,6.77401895831095e-002
2.43298042003741e+002	-4.04785345128675e+000,6.93013452125140e-002
2.48908429123558e+002	-4.04779782268634e+000,7.08984359495713e-002
2.54648190254671e+002	-4.04773960059075e+000,7.25322858573041e-002
2.60520308726827e+002	-4.04767866416740e+000,7.42037376895935e-002
2.66527836664555e+002	-4.04761488696173e+000,7.59136532873837e-002
2.72673896573548e+002	-4.04754813663632e+000,7.76629139943452e-002
2.78961682963638e+002	-4.04747827434989e+000,7.94524210667166e-002
2.85394464009191e+002	-4.04740515586448e+000,8.12830961591181e-002
2.91975583247790e+002	-4.04732862915783e+000,8.31558816828547e-002
2.98708461318093e+002	-4.04724853550372e+000,8.50717413071039e-002
3.05596597737760e+002	-4.04716470879705e+000,8.70316604010151e-002
3.12643572722382e+002	-4.04707697503804e+000,8.90366464896065e-002
