vcm	V(ve)	V(vo)	Ic(Q2)
-5.000000000000000e+000	-4.683492e+000	4.999981e+000	2.323881e-009
-4.900000000000000e+000	-4.683490e+000	4.999981e+000	2.324236e-009
-4.800000000000001e+000	-4.683484e+000	4.999981e+000	2.330063e-009
-4.700000000000001e+000	-4.683463e+000	4.999980e+000	2.407111e-009
-4.600000000000001e+000	-4.683386e+000	4.999972e+000	3.409705e-009
-4.500000000000002e+000	-4.682996e+000	4.999866e+000	1.632833e-008
-4.400000000000002e+000	-4.680083e+000	4.998585e+000	1.715471e-007
-4.300000000000003e+000	-4.661125e+000	4.988813e+000	1.356403e-006
-4.200000000000003e+000	-4.609784e+000	4.961043e+000	4.722182e-006
-4.100000000000003e+000	-4.537341e+000	4.921020e+000	9.573367e-006
-4.000000000000004e+000	-4.455229e+000	4.875102e+000	1.513992e-005
-3.900000000000004e+000	-4.368143e+000	4.826052e+000	2.108469e-005
-3.800000000000003e+000	-4.278251e+000	4.775240e+000	2.725065e-005
-3.700000000000003e+000	-4.186327e+000	4.723232e+000	3.355120e-005
-3.600000000000003e+000	-4.093096e+000	4.670585e+000	3.993044e-005
-3.500000000000003e+000	-3.998909e+000	4.617647e+000	4.634629e-005
-3.400000000000003e+000	-3.903973e+000	4.564718e+000	5.276128e-005
-3.300000000000003e+000	-3.808432e+000	4.512121e+000	5.913600e-005
-3.200000000000003e+000	-3.712384e+000	4.460259e+000	6.542114e-005
-3.100000000000003e+000	-3.615887e+000	4.409717e+000	7.154504e-005
-3.000000000000003e+000	-3.518964e+000	4.361461e+000	7.738820e-005
-2.900000000000003e+000	-3.421585e+000	4.317292e+000	8.272517e-005
-2.800000000000003e+000	-3.323627e+000	4.280823e+000	8.709960e-005
-2.700000000000002e+000	-3.224780e+000	4.259318e+000	8.977916e-005
-2.600000000000002e+000	-3.125198e+000	4.251582e+000	9.069120e-005
-2.500000000000002e+000	-3.025260e+000	4.250358e+000	9.086499e-005
-2.400000000000002e+000	-2.925274e+000	4.250144e+000	9.089169e-005
-2.300000000000002e+000	-2.825280e+000	4.250108e+000	9.089601e-005
-2.200000000000002e+000	-2.725285e+000	4.250099e+000	9.089711e-005
-2.100000000000002e+000	-2.625289e+000	4.250093e+000	9.089773e-005
-2.000000000000002e+000	-2.525293e+000	4.250089e+000	9.089829e-005
-1.900000000000002e+000	-2.425298e+000	4.250084e+000	9.089885e-005
-1.800000000000002e+000	-2.325302e+000	4.250080e+000	9.089940e-005
-1.700000000000002e+000	-2.225307e+000	4.250075e+000	9.089995e-005
-1.600000000000001e+000	-2.125311e+000	4.250071e+000	9.090050e-005
-1.500000000000001e+000	-2.025315e+000	4.250066e+000	9.090105e-005
-1.400000000000001e+000	-1.925319e+000	4.250062e+000	9.090159e-005
-1.300000000000001e+000	-1.825324e+000	4.250057e+000	9.090214e-005
-1.200000000000001e+000	-1.725328e+000	4.250053e+000	9.090269e-005
-1.100000000000001e+000	-1.625333e+000	4.250048e+000	9.090324e-005
-1.000000000000001e+000	-1.525337e+000	4.250044e+000	9.090379e-005
-9.000000000000009e-001	-1.425341e+000	4.250039e+000	9.090434e-005
-8.000000000000009e-001	-1.325346e+000	4.250035e+000	9.090489e-005
-7.000000000000010e-001	-1.225350e+000	4.250030e+000	9.090544e-005
-6.000000000000010e-001	-1.125354e+000	4.250026e+000	9.090599e-005
-5.000000000000010e-001	-1.025359e+000	4.250021e+000	9.090653e-005
-4.000000000000010e-001	-9.253631e-001	4.250017e+000	9.090708e-005
-3.000000000000010e-001	-8.253674e-001	4.250012e+000	9.090763e-005
-2.000000000000010e-001	-7.253718e-001	4.250008e+000	9.090818e-005
-1.000000000000010e-001	-6.253761e-001	4.250003e+000	9.090873e-005
-1.026956297778270e-015	-5.253805e-001	4.249999e+000	9.090928e-005
9.999999999999898e-002	-4.253848e-001	4.249994e+000	9.090982e-005
1.999999999999990e-001	-3.253892e-001	4.249990e+000	9.091037e-005
2.999999999999990e-001	-2.253936e-001	4.249985e+000	9.091091e-005
