Freq.	V(vo)
1.00000000000000e-001	(-1.46900119705494e+002dB,-1.79976742932146e+002°)
1.02305972984251e-001	(-1.46900119672112e+002dB,-1.79976206630505e+002°)
1.04665121082543e-001	(-1.46900119637173e+002dB,-1.79975657961898e+002°)
1.07078670498640e-001	(-1.46900119600604e+002dB,-1.79975096641145e+002°)
1.09547875712233e-001	(-1.46900119562328e+002dB,-1.79974522376493e+002°)
1.12074020130978e-001	(-1.46900119522268e+002dB,-1.79973934869458e+002°)
1.14658416757562e-001	(-1.46900119480338e+002dB,-1.79973333814675e+002°)
1.17302408872161e-001	(-1.46900119436452e+002dB,-1.79972718899738e+002°)
1.20007370730629e-001	(-1.46900119389852e+002dB,-1.79972089805036e+002°)
1.22774708278787e-001	(-1.46900119341776e+002dB,-1.79971446203586e+002°)
1.25605859883189e-001	(-1.46900119291458e+002dB,-1.79970787760867e+002°)
1.28502297078731e-001	(-1.46900119238792e+002dB,-1.79970114134646e+002°)
1.31465525333508e-001	(-1.46900119183668e+002dB,-1.79969424974794e+002°)
1.34497084831302e-001	(-1.46900119125974e+002dB,-1.79968719923111e+002°)
1.37598551272117e-001	(-1.46900119065588e+002dB,-1.79967998613137e+002°)
1.40771536691173e-001	(-1.46900119002384e+002dB,-1.79967260669960e+002°)
1.44017690296786e-001	(-1.46900118936233e+002dB,-1.79966505710024e+002°)
1.47338699327572e-001	(-1.46900118866995e+002dB,-1.79965733340928e+002°)
1.50736289929412e-001	(-1.46900118794527e+002dB,-1.79964943161223e+002°)
1.54212228052647e-001	(-1.46900118718678e+002dB,-1.79964134760200e+002°)
1.57768320369952e-001	(-1.46900118639291e+002dB,-1.79963307717683e+002°)
1.61406415215389e-001	(-1.46900118556201e+002dB,-1.79962461603805e+002°)
1.65128403545104e-001	(-1.46900118469234e+002dB,-1.79961595978786e+002°)
1.68936219920179e-001	(-1.46900118378210e+002dB,-1.79960710392707e+002°)
1.72831843512153e-001	(-1.46900118282940e+002dB,-1.79959804385271e+002°)
1.76817299131726e-001	(-1.46900118183225e+002dB,-1.79958877485569e+002°)
1.80894658281186e-001	(-1.46900118078859e+002dB,-1.79957929211833e+002°)
1.85066040231103e-001	(-1.46900117969623e+002dB,-1.79956959071184e+002°)
1.89333613121855e-001	(-1.46900117855292e+002dB,-1.79955966559380e+002°)
1.93699595090551e-001	(-1.46900117735627e+002dB,-1.79954951160549e+002°)
1.98166255423942e-001	(-1.46900117610380e+002dB,-1.79953912346925e+002°)
2.02735915737920e-001	(-1.46900117479289e+002dB,-1.79952849578570e+002°)
2.07410951184210e-001	(-1.46900117341416e+002dB,-1.79951762303102e+002°)
2.12193791684895e-001	(-1.46900117197810e+002dB,-1.79950649955387e+002°)
2.17086923195407e-001	(-1.46900117047503e+002dB,-1.79949511957273e+002°)
2.22092888996634e-001	(-1.46900116890185e+002dB,-1.79948347717271e+002°)
2.27214291016839e-001	(-1.46900116725528e+002dB,-1.79947156630253e+002°)
2.32453791184044e-001	(-1.46900116552523e+002dB,-1.79945938077142e+002°)
2.37814112809615e-001	(-1.46900116372144e+002dB,-1.79944691424572e+002°)
2.43298042003741e-001	(-1.46900116183351e+002dB,-1.79943416024585e+002°)
2.48908429123558e-001	(-1.46900115986417e+002dB,-1.79942111214272e+002°)
2.54648190254671e-001	(-1.46900115779597e+002dB,-1.79940776315452e+002°)
2.60520308726827e-001	(-1.46900115561797e+002dB,-1.79939410634302e+002°)
2.66527836664555e-001	(-1.46900115335231e+002dB,-1.79938013460976e+002°)
2.72673896573548e-001	(-1.46900115098095e+002dB,-1.79936584069286e+002°)
2.78961682963638e-001	(-1.46900114849897e+002dB,-1.79935121716292e+002°)
2.85394464009191e-001	(-1.46900114590120e+002dB,-1.79933625641921e+002°)
2.91975583247790e-001	(-1.46900114318224e+002dB,-1.79932095068572e+002°)
2.98708461318093e-001	(-1.46900114032978e+002dB,-1.79930529200721e+002°)
3.05596597737760e-001	(-1.46900113735122e+002dB,-1.79928927224482e+002°)
3.12643572722382e-001	(-1.46900113422704e+002dB,-1.79927288307225e+002°)
3.19853049046357e-001	(-1.46900113096409e+002dB,-1.79925611597096e+002°)
3.27228773946669e-001	(-1.46900112754892e+002dB,-1.79923896222617e+002°)
3.34774581070574e-001	(-1.46900112397443e+002dB,-1.79922141292207e+002°)
3.42494392468201e-001	(-1.46900112022652e+002dB,-1.79920345893732e+002°)
3.50392220631092e-001	(-1.46900111631074e+002dB,-1.79918509094010e+002°)
3.58472170577761e-001	(-1.46900111221229e+002dB,-1.79916629938356e+002°)
3.66738441987342e-001	(-1.46900110793597e+002dB,-1.79914707450053e+002°)
3.75195331382433e-001	(-1.46900110343287e+002dB,-1.79912740629914e+002°)
3.83847234362282e-001	(-1.46900109873365e+002dB,-1.79910728455633e+002°)
3.92698647887470e-001	(-1.46900109382187e+002dB,-1.79908669881378e+002°)
4.01754172617274e-001	(-1.46900108866731e+002dB,-1.79906563837215e+002°)
4.11018515300929e-001	(-1.46900108327926e+002dB,-1.79904409228497e+002°)
4.20496491224037e-001	(-1.46900107763985e+002dB,-1.79902204935364e+002°)
4.30193026711386e-001	(-1.46900107173070e+002dB,-1.79899949812133e+002°)
4.40113161687482e-001	(-1.46900106555285e+002dB,-1.79897642686684e+002°)
4.50262052296127e-001	(-1.46900105908013e+002dB,-1.79895282359897e+002°)
4.60644973580410e-001	(-1.46900105229243e+002dB,-1.79892867604996e+002°)
4.71267322224483e-001	(-1.46900104520900e+002dB,-1.79890397166868e+002°)
4.82134619358582e-001	(-1.46900103778847e+002dB,-1.79887869761535e+002°)
4.93252513428712e-001	(-1.46900103002873e+002dB,-1.79885284075362e+002°)
5.04626783132517e-001	(-1.46900102191367e+002dB,-1.79882638764438e+002°)
5.16263340422847e-001	(-1.46900101341304e+002dB,-1.79879932453885e+002°)
5.28168233580588e-001	(-1.46900100449586e+002dB,-1.79877163737126e+002°)
5.40347650358352e-001	(-1.46900099518361e+002dB,-1.79874331175071e+002°)
5.52807921196650e-001	(-1.46900098543027e+002dB,-1.79871433295546e+002°)
5.65555522514243e-001	(-1.46900097522891e+002dB,-1.79868468592374e+002°)
5.78597080074361e-001	(-1.46900096453831e+002dB,-1.79865435524696e+002°)
5.91939372428540e-001	(-1.46900095335627e+002dB,-1.79862332516068e+002°)
6.05589334439886e-001	(-1.46900094165289e+002dB,-1.79859157953736e+002°)
6.19554060887574e-001	(-1.46900092940385e+002dB,-1.79855910187749e+002°)
6.33840810154471e-001	(-1.46900091658369e+002dB,-1.79852587530114e+002°)
6.48457007999789e-001	(-1.46900090317910e+002dB,-1.79849188253895e+002°)
6.63410251418746e-001	(-1.46900088912220e+002dB,-1.79845710592431e+002°)
6.78708312591213e-001	(-1.46900087442380e+002dB,-1.79842152738187e+002°)
6.94359142921431e-001	(-1.46900085903335e+002dB,-1.79838512842057e+002°)
7.10370877170875e-001	(-1.46900084291888e+002dB,-1.79834789012268e+002°)
7.26751837686421e-001	(-1.46900082607358e+002dB,-1.79830979313377e+002°)
7.43510538726017e-001	(-1.46900080842911e+002dB,-1.79827081765433e+002°)
7.60655690884097e-001	(-1.46900078998214e+002dB,-1.79823094342701e+002°)
7.78196205619051e-001	(-1.46900077063428e+002dB,-1.79819014972936e+002°)
7.96141199885092e-001	(-1.46900075041206e+002dB,-1.79814841535850e+002°)
8.14500000870932e-001	(-1.46900072925343e+002dB,-1.79810571862451e+002°)
8.33282150847739e-001	(-1.46900070710107e+002dB,-1.79806203733730e+002°)
8.52497412128873e-001	(-1.46900068391560e+002dB,-1.79801734879473e+002°)
8.72155772144002e-001	(-1.46900065963549e+002dB,-1.79797162977172e+002°)
8.92267448630227e-001	(-1.46900063423030e+002dB,-1.79792485650698e+002°)
9.12842894942905e-001	(-1.46900060763389e+002dB,-1.79787700469219e+002°)
9.33892805488942e-001	(-1.46900057981102e+002dB,-1.79782804945781e+002°)
9.55428121285379e-001	(-1.46900055067050e+002dB,-1.79777796536228e+002°)
9.77460035646155e-001	(-1.46900052019848e+002dB,-1.79772672637552e+002°)
1.00000000000000e+000	(-1.46900048829159e+002dB,-1.79767430586955e+002°)
1.02305972984251e+000	(-1.46900045488352e+002dB,-1.79762067660155e+002°)
1.04665121082543e+000	(-1.46900041993152e+002dB,-1.79756581069991e+002°)
1.07078670498640e+000	(-1.46900038333629e+002dB,-1.79750967965200e+002°)
1.09547875712234e+000	(-1.46900034504846e+002dB,-1.79745225428639e+002°)
1.12074020130978e+000	(-1.46900030498845e+002dB,-1.79739350475995e+002°)
1.14658416757563e+000	(-1.46900026301963e+002dB,-1.79733340054326e+002°)
1.17302408872162e+000	(-1.46900021910816e+002dB,-1.79727191039993e+002°)
1.20007370730629e+000	(-1.46900017316945e+002dB,-1.79720900237493e+002°)
1.22774708278787e+000	(-1.46900012506801e+002dB,-1.79714464377817e+002°)
1.25605859883189e+000	(-1.46900007471722e+002dB,-1.79707880116439e+002°)
1.28502297078731e+000	(-1.46900002203911e+002dB,-1.79701144031691e+002°)
1.31465525333509e+000	(-1.46899996689087e+002dB,-1.79694252623248e+002°)
1.34497084831303e+000	(-1.46899990915788e+002dB,-1.79687202309995e+002°)
1.37598551272118e+000	(-1.46899984874019e+002dB,-1.79679989428206e+002°)
1.40771536691173e+000	(-1.46899978551893e+002dB,-1.79672610229763e+002°)
1.44017690296787e+000	(-1.46899971934267e+002dB,-1.79665060880266e+002°)
1.47338699327573e+000	(-1.46899965006724e+002dB,-1.79657337456901e+002°)
1.50736289929413e+000	(-1.46899957756867e+002dB,-1.79649435946346e+002°)
1.54212228052647e+000	(-1.46899950167631e+002dB,-1.79641352242953e+002°)
1.57768320369953e+000	(-1.46899942226579e+002dB,-1.79633082146241e+002°)
1.61406415215390e+000	(-1.46899933912541e+002dB,-1.79624621359276e+002°)
1.65128403545105e+000	(-1.46899925210243e+002dB,-1.79615965485829e+002°)
1.68936219920180e+000	(-1.46899916104937e+002dB,-1.79607110028308e+002°)
1.72831843512154e+000	(-1.46899906572367e+002dB,-1.79598050385885e+002°)
1.76817299131727e+000	(-1.46899896597393e+002dB,-1.79588781851270e+002°)
1.80894658281186e+000	(-1.46899886155285e+002dB,-1.79579299609129e+002°)
1.85066040231103e+000	(-1.46899875228348e+002dB,-1.79569598732806e+002°)
1.89333613121855e+000	(-1.46899863789871e+002dB,-1.79559674182543e+002°)
1.93699595090551e+000	(-1.46899851818755e+002dB,-1.79549520802153e+002°)
1.98166255423943e+000	(-1.46899839287456e+002dB,-1.79539133316952e+002°)
2.02735915737920e+000	(-1.46899826172604e+002dB,-1.79528506330480e+002°)
2.07410951184210e+000	(-1.46899812446948e+002dB,-1.79517634322118e+002°)
2.12193791684896e+000	(-1.46899798079967e+002dB,-1.79506511644218e+002°)
2.17086923195407e+000	(-1.46899783041809e+002dB,-1.79495132518956e+002°)
2.22092888996635e+000	(-1.46899767304562e+002dB,-1.79483491035257e+002°)
2.27214291016840e+000	(-1.46899750832859e+002dB,-1.79471581146278e+002°)
2.32453791184045e+000	(-1.46899733591141e+002dB,-1.79459396665878e+002°)
2.37814112809616e+000	(-1.46899715545584e+002dB,-1.79446931265276e+002°)
2.43298042003741e+000	(-1.46899696658695e+002dB,-1.79434178470110e+002°)
2.48908429123559e+000	(-1.46899676890567e+002dB,-1.79421131657020e+002°)
2.54648190254672e+000	(-1.46899656199462e+002dB,-1.79407784050187e+002°)
2.60520308726828e+000	(-1.46899634545726e+002dB,-1.79394128717558e+002°)
2.66527836664556e+000	(-1.46899611879701e+002dB,-1.79380158568095e+002°)
2.72673896573549e+000	(-1.46899588156298e+002dB,-1.79365866347113e+002°)
