v1	Ic(Q1)	Ic(Q2)
-2.500000000000000e-001	3.028345e-007	1.820933e-004
-2.490000000000000e-001	3.106319e-007	1.820846e-004
-2.480000000000000e-001	3.186312e-007	1.820757e-004
-2.470000000000000e-001	3.268377e-007	1.820666e-004
-2.460000000000000e-001	3.352567e-007	1.820573e-004
-2.450000000000000e-001	3.438936e-007	1.820477e-004
-2.440000000000000e-001	3.527542e-007	1.820379e-004
-2.430000000000000e-001	3.618441e-007	1.820279e-004
-2.420000000000000e-001	3.711693e-007	1.820176e-004
-2.410000000000000e-001	3.807358e-007	1.820070e-004
-2.400000000000000e-001	3.905498e-007	1.819962e-004
-2.390000000000000e-001	4.006178e-007	1.819852e-004
-2.380000000000000e-001	4.109463e-007	1.819739e-004
-2.370000000000000e-001	4.215419e-007	1.819622e-004
-2.360000000000000e-001	4.324116e-007	1.819504e-004
-2.350000000000000e-001	4.435623e-007	1.819382e-004
-2.340000000000000e-001	4.550014e-007	1.819257e-004
-2.330000000000000e-001	4.667363e-007	1.819129e-004
-2.320000000000000e-001	4.787745e-007	1.818998e-004
-2.310000000000000e-001	4.911238e-007	1.818863e-004
-2.300000000000000e-001	5.037924e-007	1.818726e-004
-2.290000000000000e-001	5.167882e-007	1.818585e-004
-2.280000000000000e-001	5.301198e-007	1.818440e-004
-2.270000000000000e-001	5.437958e-007	1.818292e-004
-2.260000000000000e-001	5.578250e-007	1.818140e-004
-2.250000000000000e-001	5.722164e-007	1.817985e-004
-2.240000000000000e-001	5.869795e-007	1.817826e-004
-2.230000000000000e-001	6.021236e-007	1.817662e-004
-2.220000000000000e-001	6.176587e-007	1.817495e-004
-2.210000000000000e-001	6.335945e-007	1.817324e-004
-2.200000000000000e-001	6.499416e-007	1.817148e-004
-2.190000000000000e-001	6.667103e-007	1.816968e-004
-2.180000000000000e-001	6.839114e-007	1.816783e-004
-2.170000000000000e-001	7.015562e-007	1.816594e-004
-2.160000000000000e-001	7.196558e-007	1.816400e-004
-2.150000000000000e-001	7.382218e-007	1.816202e-004
-2.140000000000000e-001	7.572664e-007	1.815998e-004
-2.130000000000000e-001	7.768015e-007	1.815790e-004
-2.120000000000000e-001	7.968399e-007	1.815576e-004
-2.110000000000000e-001	8.173942e-007	1.815357e-004
-2.100000000000000e-001	8.384777e-007	1.815133e-004
-2.090000000000000e-001	8.601039e-007	1.814903e-004
-2.080000000000000e-001	8.822865e-007	1.814667e-004
-2.070000000000000e-001	9.050399e-007	1.814425e-004
-2.060000000000000e-001	9.283784e-007	1.814178e-004
-2.050000000000000e-001	9.523170e-007	1.813924e-004
