Freq.	V(v0)
1.00000000000000e+002	(-3.43519617983721e+001dB,-6.65535542323699e-004°)
1.02305972984251e+002	(-3.43519617983966e+001dB,-6.80882612128971e-004°)
1.04665121082543e+002	(-3.43519617984223e+001dB,-6.96583581217742e-004°)
1.07078670498640e+002	(-3.43519617984491e+001dB,-7.12646610411872e-004°)
1.09547875712233e+002	(-3.43519617984772e+001dB,-7.29080048719574e-004°)
1.12074020130978e+002	(-3.43519617985066e+001dB,-7.45892437674928e-004°)
1.14658416757562e+002	(-3.43519617985374e+001dB,-7.63092515777486e-004°)
1.17302408872161e+002	(-3.43519617985697e+001dB,-7.80689223034238e-004°)
1.20007370730629e+002	(-3.43519617986034e+001dB,-7.98691705606319e-004°)
1.22774708278787e+002	(-3.43519617986387e+001dB,-8.17109320562866e-004°)
1.25605859883189e+002	(-3.43519617986756e+001dB,-8.35951640744507e-004°)
1.28502297078731e+002	(-3.43519617987143e+001dB,-8.55228459738982e-004°)
1.31465525333508e+002	(-3.43519617987548e+001dB,-8.74949796971522e-004°)
1.34497084831302e+002	(-3.43519617987971e+001dB,-8.95125902912595e-004°)
1.37598551272117e+002	(-3.43519617988415e+001dB,-9.15767264405746e-004°)
1.40771536691173e+002	(-3.43519617988879e+001dB,-9.36884610118301e-004°)
1.44017690296786e+002	(-3.43519617989365e+001dB,-9.58488916117754e-004°)
1.47338699327572e+002	(-3.43519617989873e+001dB,-9.80591411576750e-004°)
1.50736289929412e+002	(-3.43519617990405e+001dB,-1.00320358460962e-003°)
1.54212228052647e+002	(-3.43519617990962e+001dB,-1.02633718824350e-003°)
1.57768320369952e+002	(-3.43519617991545e+001dB,-1.05000424652716e-003°)
1.61406415215389e+002	(-3.43519617992155e+001dB,-1.07421706078070e-003°)
1.65128403545104e+002	(-3.43519617992794e+001dB,-1.09898821598932e-003°)
1.68936219920179e+002	(-3.43519617993462e+001dB,-1.12433058734457e-003°)
1.72831843512153e+002	(-3.43519617994161e+001dB,-1.15025734693645e-003°)
1.76817299131726e+002	(-3.43519617994894e+001dB,-1.17678197059979e-003°)
1.80894658281185e+002	(-3.43519617995660e+001dB,-1.20391824491854e-003°)
1.85066040231103e+002	(-3.43519617996462e+001dB,-1.23168027439154e-003°)
1.89333613121855e+002	(-3.43519617997301e+001dB,-1.26008248876356e-003°)
1.93699595090551e+002	(-3.43519617998180e+001dB,-1.28913965052537e-003°)
1.98166255423942e+002	(-3.43519617999100e+001dB,-1.31886686258682e-003°)
2.02735915737920e+002	(-3.43519618000062e+001dB,-1.34927957612675e-003°)
2.07410951184210e+002	(-3.43519618001070e+001dB,-1.38039359862401e-003°)
2.12193791684895e+002	(-3.43519618002124e+001dB,-1.41222510207366e-003°)
2.17086923195407e+002	(-3.43519618003228e+001dB,-1.44479063139257e-003°)
2.22092888996634e+002	(-3.43519618004383e+001dB,-1.47810711301893e-003°)
2.27214291016839e+002	(-3.43519618005592e+001dB,-1.51219186371001e-003°)
2.32453791184044e+002	(-3.43519618006858e+001dB,-1.54706259954283e-003°)
2.37814112809615e+002	(-3.43519618008182e+001dB,-1.58273744512236e-003°)
2.43298042003741e+002	(-3.43519618009568e+001dB,-1.61923494300204e-003°)
2.48908429123558e+002	(-3.43519618011019e+001dB,-1.65657406332159e-003°)
2.54648190254671e+002	(-3.43519618012538e+001dB,-1.69477421366703e-003°)
2.60520308726827e+002	(-3.43519618014127e+001dB,-1.73385524915805e-003°)
2.66527836664555e+002	(-3.43519618015791e+001dB,-1.77383748276803e-003°)
2.72673896573548e+002	(-3.43519618017532e+001dB,-1.81474169588203e-003°)
2.78961682963638e+002	(-3.43519618019354e+001dB,-1.85658914909823e-003°)
2.85394464009191e+002	(-3.43519618021262e+001dB,-1.89940159327845e-003°)
2.91975583247790e+002	(-3.43519618023258e+001dB,-1.94320128085348e-003°)
2.98708461318093e+002	(-3.43519618025348e+001dB,-1.98801097738918e-003°)
