Freq.	V(v0)
1.00000000000000e+002	1.91602825885235e-002,-2.22561751887679e-007
1.02305972984251e+002	1.91602825884091e-002,-2.27693965758169e-007
1.04665121082543e+002	1.91602825882894e-002,-2.32944527093914e-007
1.07078670498640e+002	1.91602825881641e-002,-2.38316164955486e-007
1.09547875712233e+002	1.91602825880330e-002,-2.43811671334853e-007
1.12074020130978e+002	1.91602825878957e-002,-2.49433902606564e-007
1.14658416757562e+002	1.91602825877521e-002,-2.55185781012393e-007
1.17302408872161e+002	1.91602825876017e-002,-2.61070296180219e-007
1.20007370730629e+002	1.91602825874443e-002,-2.67090506677931e-007
1.22774708278787e+002	1.91602825872796e-002,-2.73249541603168e-007
1.25605859883189e+002	1.91602825871072e-002,-2.79550602209715e-007
1.28502297078731e+002	1.91602825869268e-002,-2.85996963571400e-007
1.31465525333508e+002	1.91602825867379e-002,-2.92591976284373e-007
1.34497084831302e+002	1.91602825865402e-002,-2.99339068208621e-007
1.37598551272117e+002	1.91602825863333e-002,-3.06241746249657e-007
1.40771536691173e+002	1.91602825861168e-002,-3.13303598181288e-007
1.44017690296786e+002	1.91602825858902e-002,-3.20528294510412e-007
1.47338699327572e+002	1.91602825856529e-002,-3.27919590384826e-007
1.50736289929412e+002	1.91602825854046e-002,-3.35481327545017e-007
1.54212228052647e+002	1.91602825851448e-002,-3.43217436320970e-007
1.57768320369952e+002	1.91602825848728e-002,-3.51131937675017e-007
1.61406415215389e+002	1.91602825845881e-002,-3.59228945291791e-007
1.65128403545104e+002	1.91602825842901e-002,-3.67512667716383e-007
1.68936219920179e+002	1.91602825839783e-002,-3.75987410541792e-007
1.72831843512153e+002	1.91602825836519e-002,-3.84657578646830e-007
1.76817299131726e+002	1.91602825833102e-002,-3.93527678485619e-007
1.80894658281185e+002	1.91602825829527e-002,-4.02602320429896e-007
1.85066040231103e+002	1.91602825825784e-002,-4.11886221165321e-007
1.89333613121855e+002	1.91602825821867e-002,-4.21384206143049e-007
1.93699595090551e+002	1.91602825817767e-002,-4.31101212087834e-007
1.98166255423942e+002	1.91602825813476e-002,-4.41042289563964e-007
2.02735915737920e+002	1.91602825808985e-002,-4.51212605600374e-007
2.07410951184210e+002	1.91602825804284e-002,-4.61617446376288e-007
2.12193791684895e+002	1.91602825799364e-002,-4.72262219968787e-007
2.17086923195407e+002	1.91602825794214e-002,-4.83152459163750e-007
2.22092888996634e+002	1.91602825788824e-002,-4.94293824331598e-007
2.27214291016839e+002	1.91602825783182e-002,-5.05692106369361e-007
2.32453791184044e+002	1.91602825777278e-002,-5.17353229710583e-007
2.37814112809615e+002	1.91602825771098e-002,-5.29283255404644e-007
2.43298042003741e+002	1.91602825764630e-002,-5.41488384267078e-007
2.48908429123558e+002	1.91602825757859e-002,-5.53974960102546e-007
2.54648190254671e+002	1.91602825750773e-002,-5.66749473002124e-007
2.60520308726827e+002	1.91602825743357e-002,-5.79818562716629e-007
2.66527836664555e+002	1.91602825735595e-002,-5.93189022107732e-007
2.72673896573548e+002	1.91602825727470e-002,-6.06867800678650e-007
2.78961682963638e+002	1.91602825718966e-002,-6.20862008186263e-007
2.85394464009191e+002	1.91602825710066e-002,-6.35178918336511e-007
2.91975583247790e+002	1.91602825700750e-002,-6.49825972565023e-007
2.98708461318093e+002	1.91602825691000e-002,-6.64810783904913e-007
3.05596597737760e+002	1.91602825680795e-002,-6.80141140943771e-007
3.12643572722382e+002	1.91602825670114e-002,-6.95825011871902e-007
3.19853049046357e+002	1.91602825658935e-002,-7.11870548623918e-007
3.27228773946669e+002	1.91602825647234e-002,-7.28286091115825e-007
3.34774581070574e+002	1.91602825634987e-002,-7.45080171579829e-007
3.42494392468201e+002	1.91602825622169e-002,-7.62261518999089e-007
3.50392220631091e+002	1.91602825608753e-002,-7.79839063644745e-007
3.58472170577761e+002	1.91602825594711e-002,-7.97821941717560e-007
3.66738441987342e+002	1.91602825580014e-002,-8.16219500096600e-007
3.75195331382433e+002	1.91602825564632e-002,-8.35041301197420e-007
3.83847234362282e+002	1.91602825548531e-002,-8.54297127942274e-007
3.92698647887470e+002	1.91602825531680e-002,-8.73996988844941e-007
4.01754172617274e+002	1.91602825514043e-002,-8.94151123212799e-007
4.11018515300929e+002	1.91602825495582e-002,-9.14770006468865e-007
4.20496491224037e+002	1.91602825476261e-002,-9.35864355596554e-007
4.30193026711386e+002	1.91602825456038e-002,-9.57445134709997e-007
4.40113161687482e+002	1.91602825434872e-002,-9.79523560752804e-007
4.50262052296127e+002	1.91602825412718e-002,-1.00211110932824e-006
4.60644973580410e+002	1.91602825389531e-002,-1.02521952066386e-006
4.71267322224483e+002	1.91602825365262e-002,-1.04886080571364e-006
4.82134619358582e+002	1.91602825339861e-002,-1.07304725240087e-006
4.93252513428712e+002	1.91602825313275e-002,-1.09779143200502e-006
5.04626783132516e+002	1.91602825285449e-002,-1.12310620569579e-006
5.16263340422846e+002	1.91602825256324e-002,-1.14900473121795e-006
5.28168233580588e+002	1.91602825225841e-002,-1.17550046973024e-006
5.40347650358352e+002	1.91602825193936e-002,-1.20260719280205e-006
5.52807921196649e+002	1.91602825160542e-002,-1.23033898957137e-006
5.65555522514243e+002	1.91602825125591e-002,-1.25871027406785e-006
5.78597080074360e+002	1.91602825089009e-002,-1.28773579270469e-006
5.91939372428539e+002	1.91602825050720e-002,-1.31743063194333e-006
6.05589334439886e+002	1.91602825010645e-002,-1.34781022613486e-006
6.19554060887574e+002	1.91602824968701e-002,-1.37889036554225e-006
6.33840810154470e+002	1.91602824924800e-002,-1.41068720454759e-006
6.48457007999789e+002	1.91602824878850e-002,-1.44321727004853e-006
6.63410251418746e+002	1.91602824830758e-002,-1.47649747004846e-006
6.78708312591213e+002	1.91602824780421e-002,-1.51054510244461e-006
6.94359142921431e+002	1.91602824727737e-002,-1.54537786401896e-006
7.10370877170875e+002	1.91602824672594e-002,-1.58101385963636e-006
7.26751837686421e+002	1.91602824614879e-002,-1.61747161165483e-006
7.43510538726017e+002	1.91602824554472e-002,-1.65477006955281e-006
7.60655690884097e+002	1.91602824491247e-002,-1.69292861977844e-006
7.78196205619051e+002	1.91602824425072e-002,-1.73196709582596e-006
7.96141199885091e+002	1.91602824355810e-002,-1.77190578854445e-006
8.14500000870932e+002	1.91602824283316e-002,-1.81276545668429e-006
8.33282150847739e+002	1.91602824207441e-002,-1.85456733768686e-006
8.52497412128872e+002	1.91602824128027e-002,-1.89733315872297e-006
8.72155772144002e+002	1.91602824044907e-002,-1.94108514798588e-006
8.92267448630227e+002	1.91602823957910e-002,-1.98584604624474e-006
9.12842894942904e+002	1.91602823866854e-002,-2.03163911866444e-006
9.33892805488941e+002	1.91602823771550e-002,-2.07848816689799e-006
9.55428121285379e+002	1.91602823671801e-002,-2.12641754145779e-006
9.77460035646155e+002	1.91602823567398e-002,-2.17545215437216e-006
1.00000000000000e+003	1.91602823458124e-002,-2.22561749213371e-006
1.02305972984251e+003	1.91602823343753e-002,-2.27693962894630e-006
1.04665121082543e+003	1.91602823224046e-002,-2.32944524027750e-006
1.07078670498640e+003	1.91602823098754e-002,-2.38316161672352e-006
1.09547875712234e+003	1.91602822967618e-002,-2.43811667819392e-006
1.12074020130978e+003	1.91602822830364e-002,-2.49433898842329e-006
1.14658416757563e+003	1.91602822686707e-002,-2.55185776981775e-006
1.17302408872162e+003	1.91602822536348e-002,-2.61070291864361e-006
1.20007370730629e+003	1.91602822378975e-002,-2.67090502056643e-006
1.22774708278787e+003	1.91602822214259e-002,-2.73249536654829e-006
1.25605859883189e+003	1.91602822041860e-002,-2.79550596911174e-006
1.28502297078731e+003	1.91602821861419e-002,-2.85996957897868e-006
1.31465525333509e+003	1.91602821672559e-002,-2.92591970209304e-006
1.34497084831303e+003	1.91602821474889e-002,-2.99339061703593e-006
1.37598551272118e+003	1.91602821267997e-002,-3.06241739284234e-006
1.40771536691173e+003	1.91602821051454e-002,-3.13303590722880e-006
1.44017690296787e+003	1.91602820824808e-002,-3.20528286524123e-006
1.47338699327573e+003	1.91602820587590e-002,-3.27919581833288e-006
1.50736289929413e+003	1.91602820339304e-002,-3.35481318388219e-006
1.54212228052647e+003	1.91602820079436e-002,-3.43217426516067e-006
1.57768320369953e+003	1.91602819807445e-002,-3.51131927176132e-006
1.61406415215390e+003	1.91602819522765e-002,-3.59228934049799e-006
1.65128403545105e+003	1.91602819224805e-002,-3.67512655678683e-006
1.68936219920180e+003	1.91602818912944e-002,-3.75987397652058e-006
1.72831843512154e+003	1.91602818586534e-002,-3.84657564844748e-006
1.76817299131727e+003	1.91602818244897e-002,-3.93527663706608e-006
1.80894658281186e+003	1.91602817887322e-002,-4.02602304604802e-006
1.85066040231103e+003	1.91602817513067e-002,-4.11886204220095e-006
1.89333613121855e+003	1.91602817121351e-002,-4.21384187998401e-006
1.93699595090551e+003	1.91602816711362e-002,-4.31101192658861e-006
1.98166255423943e+003	1.91602816282246e-002,-4.41042268759753e-006
2.02735915737920e+003	1.91602815833111e-002,-4.51212583323577e-006
2.07410951184210e+003	1.91602815363023e-002,-4.61617422522663e-006
2.12193791684896e+003	1.91602814871006e-002,-4.72262194426718e-006
2.17086923195407e+003	1.91602814356035e-002,-4.83152431813718e-006
2.22092888996635e+003	1.91602813817040e-002,-4.94293795045621e-006
2.27214291016839e+003	1.91602813252901e-002,-5.05692075010401e-006
2.32453791184045e+003	1.91602812662443e-002,-5.17353196131900e-006
2.37814112809616e+003	1.91602812044440e-002,-5.29283219449111e-006
2.43298042003742e+003	1.91602811397607e-002,-5.41488345766447e-006
2.48908429123559e+003	1.91602810720598e-002,-5.53974918876656e-006
2.54648190254672e+003	1.91602810012005e-002,-5.66749428858064e-006
2.60520308726828e+003	1.91602809270357e-002,-5.79818515447832e-006
2.66527836664556e+003	1.91602808494109e-002,-5.93188971493007e-006
2.72673896573549e+003	1.91602807681648e-002,-6.06867746481151e-006
2.78961682963639e+003	1.91602806831285e-002,-6.20861950152376e-006
2.85394464009192e+003	1.91602805941251e-002,-6.35178856194671e-006
2.91975583247791e+003	1.91602805009697e-002,-6.49825906024443e-006
2.98708461318094e+003	1.91602804034684e-002,-6.64810712654219e-006
3.05596597737761e+003	1.91602803014186e-002,-6.80141064649550e-006
3.12643572722383e+003	1.91602801946080e-002,-6.95824930177140e-006
3.19853049046358e+003	1.91602800828146e-002,-7.11870461146327e-006
3.27228773946670e+003	1.91602799658059e-002,-7.28285997446060e-006
3.34774581070575e+003	1.91602798433386e-002,-7.45080071279564e-006
3.42494392468202e+003	1.91602797151580e-002,-7.62261411598975e-006
3.50392220631093e+003	1.91602795809977e-002,-7.79838948642206e-006
3.58472170577762e+003	1.91602794405786e-002,-7.97821818574445e-006
3.66738441987343e+003	1.91602792936088e-002,-8.16219368236665e-006
3.75195331382434e+003	1.91602791397828e-002,-8.35041160003631e-006
3.83847234362283e+003	1.91602789787805e-002,-8.54296976753918e-006
3.92698647887472e+003	1.91602788102673e-002,-8.73996826954535e-006
4.01754172617275e+003	1.91602786338927e-002,-8.94150949862781e-006
4.11018515300930e+003	1.91602784492900e-002,-9.14769820848046e-006
4.20496491224038e+003	1.91602782560755e-002,-9.35864156836326e-006
4.30193026711388e+003	1.91602780538472e-002,-9.57444921880264e-006
4.40113161687483e+003	1.91602778421847e-002,-9.79523332857633e-006
4.50262052296129e+003	1.91602776206480e-002,-1.00211086530120e-005
4.60644973580411e+003	1.91602773887763e-002,-1.02521925936302e-005
4.71267322224485e+003	1.91602771460874e-002,-1.04886052591625e-005
4.82134619358584e+003	1.91602768920769e-002,-1.07304695279764e-005
4.93252513428714e+003	1.91602766262165e-002,-1.09779111119394e-005
5.04626783132518e+003	1.91602763479534e-002,-1.12310586217563e-005
5.16263340422848e+003	1.91602760567089e-002,-1.14900436338120e-005
5.28168233580590e+003	1.91602757518776e-002,-1.17550007585562e-005
5.40347650358354e+003	1.91602754328255e-002,-1.20260677104643e-005
5.52807921196651e+003	1.91602750988893e-002,-1.23033853796114e-005
5.65555522514245e+003	1.91602747493746e-002,-1.25870979048970e-005
5.78597080074362e+003	1.91602743835546e-002,-1.28773527489572e-005
5.91939372428541e+003	1.91602740006686e-002,-1.31743007748046e-005
6.05589334439888e+003	1.91602735999206e-002,-1.34780963242348e-005
6.19554060887576e+003	1.91602731804772e-002,-1.37888972980408e-005
6.33840810154473e+003	1.91602727414663e-002,-1.41068652380769e-005
6.48457007999792e+003	1.91602722819751e-002,-1.44321654112140e-005
6.63410251418748e+003	1.91602718010480e-002,-1.47649668952306e-005
