vsig	V(vo)	Ie(Q2)
-5.000000000000000e+000	-4.683471e+000	2.247091e-009
-4.500000000000000e+000	-4.683226e+000	-3.146816e-008
-4.000000000000000e+000	-4.478331e+000	-2.815462e-005
-3.500000000000000e+000	-4.024668e+000	-9.117211e-005
-3.000000000000000e+000	-3.545424e+000	-1.543916e-004
-2.500000000000000e+000	-3.052513e+000	-1.847369e-004
-2.000000000000000e+000	-2.552559e+000	-1.848477e-004
-1.500000000000000e+000	-2.052577e+000	-1.848543e-004
-1.000000000000000e+000	-1.552599e+000	-1.848609e-004
-5.000000000000000e-001	-1.052621e+000	-1.848674e-004
0.000000000000000e+000	-5.526431e-001	-1.848739e-004
5.000000000000000e-001	-5.266500e-002	-1.848805e-004
1.000000000000000e+000	4.473130e-001	-1.848870e-004
1.500000000000000e+000	9.472911e-001	-1.848936e-004
2.000000000000000e+000	1.447269e+000	-1.849001e-004
2.500000000000000e+000	1.947247e+000	-1.849066e-004
3.000000000000000e+000	2.447225e+000	-1.849131e-004
3.500000000000000e+000	2.947203e+000	-1.849196e-004
4.000000000000000e+000	3.447181e+000	-1.849262e-004
4.500000000000000e+000	3.947159e+000	-1.849327e-004
5.000000000000000e+000	4.447137e+000	-1.849392e-004
