Freq.	V(vo)
1.00000000000000e+002	9.99956070861165e-004,-1.47782163354859e-009
1.02305972984251e+002	9.99956070860974e-004,-1.51189980099184e-009
1.04665121082543e+002	9.99956070860773e-004,-1.54676380175699e-009
1.07078670498640e+002	9.99956070860563e-004,-1.58243175694723e-009
1.09547875712233e+002	9.99956070860343e-004,-1.61892220553343e-009
1.12074020130978e+002	9.99956070860114e-004,-1.65625411399007e-009
1.14658416757562e+002	9.99956070859873e-004,-1.69444688615331e-009
1.17302408872161e+002	9.99956070859621e-004,-1.73352037330645e-009
1.20007370730629e+002	9.99956070859357e-004,-1.77349488449795e-009
1.22774708278787e+002	9.99956070859081e-004,-1.81439119709734e-009
1.25605859883189e+002	9.99956070858792e-004,-1.85623056759458e-009
1.28502297078731e+002	9.99956070858490e-004,-1.89903474264845e-009
1.31465525333508e+002	9.99956070858174e-004,-1.94282597038971e-009
1.34497084831302e+002	9.99956070857843e-004,-1.98762701198484e-009
1.37598551272117e+002	9.99956070857496e-004,-2.03346115346657e-009
1.40771536691173e+002	9.99956070857133e-004,-2.08035221783713e-009
1.44017690296786e+002	9.99956070856753e-004,-2.12832457745057e-009
1.47338699327572e+002	9.99956070856356e-004,-2.17740316668069e-009
1.50736289929412e+002	9.99956070855940e-004,-2.22761349488110e-009
1.54212228052647e+002	9.99956070855505e-004,-2.27898165964393e-009
1.57768320369952e+002	9.99956070855049e-004,-2.33153436036464e-009
1.61406415215389e+002	9.99956070854572e-004,-2.38529891211924e-009
1.65128403545104e+002	9.99956070854073e-004,-2.44030325986189e-009
1.68936219920179e+002	9.99956070853550e-004,-2.49657599294952e-009
1.72831843512153e+002	9.99956070853003e-004,-2.55414636000173e-009
1.76817299131726e+002	9.99956070852431e-004,-2.61304428410304e-009
1.80894658281185e+002	9.99956070851832e-004,-2.67330037835597e-009
1.85066040231103e+002	9.99956070851205e-004,-2.73494596179262e-009
1.89333613121855e+002	9.99956070850549e-004,-2.79801307565310e-009
1.93699595090551e+002	9.99956070849862e-004,-2.86253450003959e-009
1.98166255423942e+002	9.99956070849143e-004,-2.92854377095414e-009
2.02735915737920e+002	9.99956070848390e-004,-2.99607519772957e-009
2.07410951184210e+002	9.99956070847603e-004,-3.06516388086217e-009
2.12193791684895e+002	9.99956070846778e-004,-3.13584573025575e-009
2.17086923195407e+002	9.99956070458100e-004,-3.20815748029756e-009
2.22092888996634e+002	9.99956070457197e-004,-3.28213672322552e-009
2.27214291016839e+002	9.99956070456252e-004,-3.35782190737773e-009
2.32453791184044e+002	9.99956070455263e-004,-3.43525237128860e-009
2.37814112809615e+002	9.99956070454228e-004,-3.51446836062787e-009
2.43298042003741e+002	9.99956070453143e-004,-3.59551104911887e-009
2.48908429123558e+002	9.99956070452009e-004,-3.67842255993909e-009
2.54648190254671e+002	9.99956070450822e-004,-3.76324598761431e-009
2.60520308726827e+002	9.99956070449580e-004,-3.85002542041762e-009
2.66527836664555e+002	9.99956070448279e-004,-3.93880596328475e-009
2.72673896573548e+002	9.99956070446918e-004,-4.02963376125810e-009
2.78961682963638e+002	9.99956070445493e-004,-4.12255602347129e-009
2.85394464009191e+002	9.99956070444002e-004,-4.21762104768651e-009
2.91975583247790e+002	9.99956070442441e-004,-4.31487824539832e-009
2.98708461318093e+002	9.99956070440808e-004,-4.41437816751541e-009
3.05596597737760e+002	9.99956070439098e-004,-4.51617253063559e-009
3.12643572722382e+002	9.99956070437308e-004,-4.62031424392579e-009
3.19853049046357e+002	9.99956070047620e-004,-4.72685743133493e-009
3.27228773946669e+002	9.99956070045659e-004,-4.83585748075663e-009
3.34774581070574e+002	9.99956070043608e-004,-4.94737104144970e-009
3.42494392468201e+002	9.99956070041460e-004,-5.06145607427524e-009
3.50392220631091e+002	9.99956070039212e-004,-5.17817187665393e-009
3.58472170577761e+002	9.99956070036860e-004,-5.29757911338685e-009
3.66738441987342e+002	9.99956070034398e-004,-5.41973984818646e-009
3.75195331382433e+002	9.99956070031820e-004,-5.54471757593507e-009
3.83847234362282e+002	9.99956070029123e-004,-5.67257725568718e-009
3.92698647887470e+002	9.99956069638484e-004,-5.80338533794058e-009
4.01754172617274e+002	9.99956069635529e-004,-5.93720982499599e-009
4.11018515300929e+002	9.99956069632437e-004,-6.07412026778989e-009
4.20496491224037e+002	9.99956069629199e-004,-6.21418782757276e-009
4.30193026711386e+002	9.99956069625811e-004,-6.35748530655035e-009
4.40113161687482e+002	9.99956069622265e-004,-6.50408718572344e-009
4.50262052296127e+002	9.99956069618553e-004,-6.65406966360014e-009
4.60644973580410e+002	9.99956069226853e-004,-6.80751068818566e-009
4.71267322224483e+002	9.99956069222787e-004,-6.96449002778523e-009
4.82134619358582e+002	9.99956069218531e-004,-7.12508926728889e-009
4.93252513428712e+002	9.99956069214077e-004,-7.28939188052156e-009
5.04626783132516e+002	9.99956069209415e-004,-7.45748326618546e-009
5.16263340422846e+002	9.99956068816720e-004,-7.62945078371285e-009
5.28168233580588e+002	9.99956068811613e-004,-7.80538383261688e-009
5.40347650358352e+002	9.99956068806267e-004,-7.98537384832268e-009
5.52807921196649e+002	9.99956068800672e-004,-8.16951438327450e-009
5.65555522514243e+002	9.99956068407001e-004,-8.35790113783575e-009
5.78597080074360e+002	9.99956068400872e-004,-8.55063204723839e-009
5.91939372428539e+002	9.99956068394457e-004,-8.74780727701627e-009
6.05589334439886e+002	9.99956067999928e-004,-8.94952930182064e-009
6.19554060887574e+002	9.99956067992900e-004,-9.15590298936223e-009
6.33840810154470e+002	9.99956067985545e-004,-9.36703559552706e-009
6.48457007999789e+002	9.99956067590031e-004,-9.58303684877084e-009
6.63410251418746e+002	9.99956067581974e-004,-9.80401904000276e-009
6.78708312591213e+002	9.99956067573540e-004,-1.00300970173556e-008
6.94359142921431e+002	9.99956067176898e-004,-1.02613882765534e-008
7.10370877170875e+002	9.99956067167659e-004,-1.04980130571586e-008
7.26751837686421e+002	9.99956066770174e-004,-1.07400943249562e-008
7.43510538726017e+002	9.99956066760054e-004,-1.09877579287902e-008
7.60655690884097e+002	9.99956066361645e-004,-1.12411325709062e-008
7.78196205619051e+002	9.99956066350558e-004,-1.15003499711035e-008
7.96141199885091e+002	9.99956065951139e-004,-1.17655448356950e-008
8.14500000870932e+002	9.99956065938993e-004,-1.20368550293161e-008
8.33282150847739e+002	9.99956065538466e-004,-1.23144215424364e-008
8.52497412128872e+002	9.99956065137345e-004,-1.25983886570912e-008
8.72155772144002e+002	9.99956065123419e-004,-1.28889039833412e-008
8.92267448630227e+002	9.99956064721028e-004,-1.31861184918063e-008
9.12842894942904e+002	9.99956064705772e-004,-1.34901866927550e-008
