Freq.	V(vo)
1.00000000000000e+002	(-6.00003815720235e+001dB,-8.46766622482534e-005°)
1.02305972984251e+002	(-6.00003815720247e+001dB,-8.66292831932606e-005°)
1.04665121082543e+002	(-6.00003815720260e+001dB,-8.86269310490078e-005°)
1.07078670498640e+002	(-6.00003815720273e+001dB,-9.06706441238407e-005°)
1.09547875712233e+002	(-6.00003815720287e+001dB,-9.27614846692100e-005°)
1.12074020130978e+002	(-6.00003815720302e+001dB,-9.49005394317959e-005°)
1.14658416757562e+002	(-6.00003815720317e+001dB,-9.70889202183572e-005°)
1.17302408872161e+002	(-6.00003815720333e+001dB,-9.93277644736120e-005°)
1.20007370730629e+002	(-6.00003815720350e+001dB,-1.01618235871443e-004°)
1.22774708278787e+002	(-6.00003815720367e+001dB,-1.03961524919731e-004°)
1.25605859883189e+002	(-6.00003815720386e+001dB,-1.06358849579143e-004°)
1.28502297078731e+002	(-6.00003815720405e+001dB,-1.08811455896182e-004°)
1.31465525333508e+002	(-6.00003815720425e+001dB,-1.11320618650844e-004°)
1.34497084831302e+002	(-6.00003815720446e+001dB,-1.13887642019196e-004°)
1.37598551272117e+002	(-6.00003815720469e+001dB,-1.16513860251249e-004°)
1.40771536691173e+002	(-6.00003815720492e+001dB,-1.19200638364449e-004°)
1.44017690296786e+002	(-6.00003815720516e+001dB,-1.21949372853167e-004°)
1.47338699327572e+002	(-6.00003815720541e+001dB,-1.24761492414548e-004°)
1.50736289929412e+002	(-6.00003815720568e+001dB,-1.27638458691103e-004°)
1.54212228052647e+002	(-6.00003815720596e+001dB,-1.30581767030403e-004°)
1.57768320369952e+002	(-6.00003815720625e+001dB,-1.33592947262331e-004°)
1.61406415215389e+002	(-6.00003815720655e+001dB,-1.36673564494211e-004°)
1.65128403545104e+002	(-6.00003815720687e+001dB,-1.39825219924316e-004°)
1.68936219920179e+002	(-6.00003815720720e+001dB,-1.43049551674098e-004°)
1.72831843512153e+002	(-6.00003815720755e+001dB,-1.46348235639639e-004°)
1.76817299131726e+002	(-6.00003815720791e+001dB,-1.49722986362710e-004°)
1.80894658281185e+002	(-6.00003815720830e+001dB,-1.53175557921938e-004°)
1.85066040231103e+002	(-6.00003815720870e+001dB,-1.56707744844515e-004°)
1.89333613121855e+002	(-6.00003815720912e+001dB,-1.60321383038918e-004°)
1.93699595090551e+002	(-6.00003815720955e+001dB,-1.64018350749167e-004°)
1.98166255423942e+002	(-6.00003815721001e+001dB,-1.67800569531052e-004°)
2.02735915737920e+002	(-6.00003815721049e+001dB,-1.71670005250902e-004°)
2.07410951184210e+002	(-6.00003815721099e+001dB,-1.75628669107363e-004°)
2.12193791684895e+002	(-6.00003815721152e+001dB,-1.79678618676756e-004°)
2.17086923195407e+002	(-6.00003815754894e+001dB,-1.83821958848187e-004°)
2.22092888996634e+002	(-6.00003815754951e+001dB,-1.88060843451916e-004°)
2.27214291016839e+002	(-6.00003815755012e+001dB,-1.92397475581910e-004°)
2.32453791184044e+002	(-6.00003815755075e+001dB,-1.96834109269180e-004°)
2.37814112809615e+002	(-6.00003815755141e+001dB,-2.01373050522049e-004°)
2.43298042003741e+002	(-6.00003815755210e+001dB,-2.06016658524732e-004°)
2.48908429123558e+002	(-6.00003815755282e+001dB,-2.10767346863546e-004°)
2.54648190254671e+002	(-6.00003815755358e+001dB,-2.15627584781413e-004°)
2.60520308726827e+002	(-6.00003815755437e+001dB,-2.20599898461282e-004°)
2.66527836664555e+002	(-6.00003815755520e+001dB,-2.25686872339141e-004°)
2.72673896573548e+002	(-6.00003815755607e+001dB,-2.30891150447317e-004°)
2.78961682963638e+002	(-6.00003815755698e+001dB,-2.36215437788752e-004°)
2.85394464009191e+002	(-6.00003815755793e+001dB,-2.41662501742951e-004°)
2.91975583247790e+002	(-6.00003815755892e+001dB,-2.47235173504388e-004°)
2.98708461318093e+002	(-6.00003815755996e+001dB,-2.52936349554024e-004°)
3.05596597737760e+002	(-6.00003815756105e+001dB,-2.58768993164821e-004°)
3.12643572722382e+002	(-6.00003815756220e+001dB,-2.64736135941923e-004°)
3.19853049046357e+002	(-6.00003815790026e+001dB,-2.70840879200450e-004°)
