iref	V(vin)	V(vo)	I(Rl)
1.000000000000000e-004	4.423146e+000	-3.961002e+000	1.038998e-004
1.100000000000000e-004	4.419608e+000	-3.857609e+000	1.142391e-004
1.200000000000000e-004	4.416686e+000	-3.754475e+000	1.245525e-004
1.300000000000000e-004	4.413855e+000	-3.651407e+000	1.348593e-004
1.400000000000000e-004	4.411229e+000	-3.548473e+000	1.451527e-004
1.500000000000000e-004	4.408784e+000	-3.445671e+000	1.554329e-004
1.600000000000000e-004	4.406497e+000	-3.343003e+000	1.656997e-004
1.700000000000000e-004	4.404348e+000	-3.240470e+000	1.759530e-004
1.800000000000000e-004	4.402321e+000	-3.138072e+000	1.861929e-004
1.900000000000000e-004	4.400404e+000	-3.035808e+000	1.964192e-004
2.000000000000000e-004	4.398585e+000	-2.933681e+000	2.066319e-004
2.100000000000000e-004	4.396854e+000	-2.831689e+000	2.168311e-004
2.200000000000000e-004	4.395204e+000	-2.729834e+000	2.270166e-004
2.300000000000000e-004	4.393627e+000	-2.628115e+000	2.371885e-004
2.400000000000000e-004	4.392117e+000	-2.526532e+000	2.473468e-004
2.500000000000000e-004	4.390667e+000	-2.425085e+000	2.574915e-004
2.600000000000000e-004	4.389275e+000	-2.323775e+000	2.676225e-004
2.700000000000001e-004	4.387935e+000	-2.222601e+000	2.777399e-004
2.800000000000001e-004	4.386644e+000	-2.121563e+000	2.878437e-004
2.900000000000001e-004	4.385397e+000	-2.020662e+000	2.979338e-004
3.000000000000001e-004	4.384193e+000	-1.919897e+000	3.080103e-004
3.100000000000002e-004	4.383028e+000	-1.819269e+000	3.180731e-004
3.200000000000002e-004	4.381900e+000	-1.718777e+000	3.281223e-004
3.300000000000002e-004	4.380806e+000	-1.618420e+000	3.381580e-004
3.400000000000002e-004	4.379745e+000	-1.518200e+000	3.481800e-004
3.500000000000003e-004	4.378715e+000	-1.418116e+000	3.581884e-004
3.600000000000003e-004	4.377713e+000	-1.318167e+000	3.681833e-004
3.700000000000003e-004	4.376738e+000	-1.218354e+000	3.781646e-004
3.800000000000004e-004	4.375790e+000	-1.118676e+000	3.881324e-004
3.900000000000004e-004	4.374866e+000	-1.019134e+000	3.980866e-004
4.000000000000004e-004	4.373965e+000	-9.197271e-001	4.080273e-004
4.100000000000004e-004	4.373086e+000	-8.204551e-001	4.179545e-004
4.200000000000005e-004	4.372228e+000	-7.213180e-001	4.278682e-004
4.300000000000005e-004	4.371390e+000	-6.223155e-001	4.377684e-004
4.400000000000005e-004	4.370572e+000	-5.234476e-001	4.476552e-004
4.500000000000005e-004	4.369771e+000	-4.247139e-001	4.575286e-004
4.600000000000006e-004	4.368989e+000	-3.261144e-001	4.673885e-004
4.700000000000006e-004	4.368222e+000	-2.276490e-001	4.772351e-004
4.800000000000006e-004	4.367472e+000	-1.293172e-001	4.870683e-004
4.900000000000006e-004	4.366737e+000	-3.111909e-002	4.968881e-004
5.000000000000007e-004	4.366017e+000	6.694566e-002	5.066945e-004
5.100000000000007e-004	4.365311e+000	1.648772e-001	5.164877e-004
5.200000000000007e-004	4.364619e+000	2.626758e-001	5.262676e-004
5.300000000000007e-004	4.363940e+000	3.603415e-001	5.360342e-004
5.400000000000008e-004	4.363273e+000	4.578747e-001	5.457875e-004
5.500000000000008e-004	4.362618e+000	5.552755e-001	5.555276e-004
5.600000000000008e-004	4.361975e+000	6.525441e-001	5.652544e-004
5.700000000000008e-004	4.361344e+000	7.496808e-001	5.749681e-004
5.800000000000009e-004	4.360723e+000	8.466857e-001	5.846686e-004
5.900000000000009e-004	4.360113e+000	9.435591e-001	5.943559e-004
6.000000000000009e-004	4.359513e+000	1.040301e+000	6.040301e-004
6.100000000000010e-004	4.358922e+000	1.136912e+000	6.136912e-004
6.200000000000010e-004	4.358342e+000	1.233392e+000	6.233392e-004
6.300000000000010e-004	4.357770e+000	1.329741e+000	6.329741e-004
6.400000000000010e-004	4.357207e+000	1.425960e+000	6.425960e-004
