iref	V(vin)	V(vo)	I(Iref)	I(Rl)
8.500000000000001e-005	4.428904e+000	-4.116233e+000	8.500000e-005	8.837665e-005
8.510000000000001e-005	4.428862e+000	-4.115198e+000	8.510000e-005	8.848023e-005
8.520000000000001e-005	4.428821e+000	-4.114162e+000	8.520000e-005	8.858381e-005
8.530000000000001e-005	4.428779e+000	-4.113126e+000	8.530000e-005	8.868739e-005
8.540000000000002e-005	4.428738e+000	-4.112090e+000	8.540000e-005	8.879097e-005
8.550000000000002e-005	4.428696e+000	-4.111054e+000	8.550000e-005	8.889454e-005
8.560000000000002e-005	4.428655e+000	-4.110019e+000	8.560000e-005	8.899812e-005
8.570000000000002e-005	4.428613e+000	-4.108983e+000	8.570000e-005	8.910170e-005
8.580000000000003e-005	4.428572e+000	-4.107947e+000	8.580000e-005	8.920527e-005
8.590000000000003e-005	4.428531e+000	-4.106912e+000	8.590000e-005	8.930884e-005
8.600000000000003e-005	4.428490e+000	-4.105876e+000	8.600000e-005	8.941241e-005
8.610000000000003e-005	4.428449e+000	-4.104840e+000	8.610000e-005	8.951598e-005
8.620000000000004e-005	4.428408e+000	-4.103805e+000	8.620000e-005	8.961955e-005
8.630000000000004e-005	4.428366e+000	-4.102769e+000	8.630000e-005	8.972311e-005
8.640000000000004e-005	4.428325e+000	-4.101733e+000	8.640000e-005	8.982668e-005
8.650000000000004e-005	4.428285e+000	-4.100698e+000	8.650000e-005	8.993025e-005
8.660000000000005e-005	4.428244e+000	-4.099662e+000	8.660000e-005	9.003381e-005
8.670000000000005e-005	4.428203e+000	-4.098626e+000	8.670000e-005	9.013737e-005
8.680000000000005e-005	4.428162e+000	-4.097590e+000	8.680000e-005	9.024093e-005
8.690000000000005e-005	4.428121e+000	-4.096555e+000	8.690000e-005	9.034449e-005
8.700000000000006e-005	4.428081e+000	-4.095520e+000	8.700000e-005	9.044805e-005
8.710000000000006e-005	4.428040e+000	-4.094484e+000	8.710000e-005	9.055161e-005
8.720000000000006e-005	4.427999e+000	-4.093448e+000	8.720000e-005	9.065516e-005
8.730000000000006e-005	4.427958e+000	-4.092413e+000	8.730000e-005	9.075872e-005
8.740000000000006e-005	4.427918e+000	-4.091377e+000	8.740000e-005	9.086227e-005
8.750000000000007e-005	4.427877e+000	-4.090342e+000	8.750000e-005	9.096582e-005
8.760000000000007e-005	4.427837e+000	-4.089306e+000	8.760000e-005	9.106937e-005
8.770000000000007e-005	4.427796e+000	-4.088271e+000	8.770000e-005	9.117292e-005
8.780000000000007e-005	4.427756e+000	-4.087235e+000	8.780000e-005	9.127647e-005
8.790000000000008e-005	4.427716e+000	-4.086200e+000	8.790000e-005	9.138002e-005
8.800000000000008e-005	4.427676e+000	-4.085165e+000	8.800000e-005	9.148356e-005
8.810000000000008e-005	4.427636e+000	-4.084129e+000	8.810000e-005	9.158711e-005
8.820000000000008e-005	4.427595e+000	-4.083094e+000	8.820000e-005	9.169065e-005
8.830000000000009e-005	4.427555e+000	-4.082058e+000	8.830000e-005	9.179419e-005
8.840000000000009e-005	4.427515e+000	-4.081023e+000	8.840000e-005	9.189773e-005
8.850000000000009e-005	4.427475e+000	-4.079987e+000	8.850000e-005	9.200128e-005
8.860000000000009e-005	4.427435e+000	-4.078952e+000	8.860000e-005	9.210481e-005
8.870000000000010e-005	4.427395e+000	-4.077917e+000	8.870000e-005	9.220835e-005
8.880000000000010e-005	4.427355e+000	-4.076881e+000	8.880000e-005	9.231189e-005
8.890000000000010e-005	4.427315e+000	-4.075846e+000	8.890000e-005	9.241542e-005
8.900000000000010e-005	4.427276e+000	-4.074811e+000	8.900000e-005	9.251895e-005
8.910000000000011e-005	4.427236e+000	-4.073775e+000	8.910000e-005	9.262248e-005
8.920000000000011e-005	4.427196e+000	-4.072740e+000	8.920000e-005	9.272601e-005
8.930000000000011e-005	4.427156e+000	-4.071704e+000	8.930000e-005	9.282954e-005
8.940000000000011e-005	4.427117e+000	-4.070669e+000	8.940000e-005	9.293307e-005
8.950000000000012e-005	4.427077e+000	-4.069634e+000	8.950000e-005	9.303660e-005
8.960000000000012e-005	4.427038e+000	-4.068599e+000	8.960000e-005	9.314012e-005
8.970000000000012e-005	4.426998e+000	-4.067564e+000	8.970000e-005	9.324365e-005
8.980000000000012e-005	4.426959e+000	-4.066528e+000	8.980000e-005	9.334717e-005
8.990000000000013e-005	4.426919e+000	-4.065493e+000	8.990000e-005	9.345069e-005
9.000000000000013e-005	4.426880e+000	-4.064458e+000	9.000000e-005	9.355421e-005
9.010000000000013e-005	4.426841e+000	-4.063423e+000	9.010000e-005	9.365773e-005
9.020000000000013e-005	4.426801e+000	-4.062387e+000	9.020000e-005	9.376125e-005
9.030000000000014e-005	4.426762e+000	-4.061352e+000	9.030000e-005	9.386476e-005
9.040000000000014e-005	4.426723e+000	-4.060317e+000	9.040000e-005	9.396828e-005
9.050000000000014e-005	4.426684e+000	-4.059282e+000	9.050000e-005	9.407179e-005
9.060000000000014e-005	4.426645e+000	-4.058247e+000	9.060000e-005	9.417531e-005
9.070000000000015e-005	4.426606e+000	-4.057212e+000	9.070000e-005	9.427882e-005
9.080000000000015e-005	4.426567e+000	-4.056177e+000	9.080000e-005	9.438233e-005
9.090000000000015e-005	4.426528e+000	-4.055141e+000	9.090000e-005	9.448584e-005
9.100000000000015e-005	4.426488e+000	-4.054107e+000	9.100000e-005	9.458935e-005
9.110000000000015e-005	4.426450e+000	-4.053071e+000	9.110000e-005	9.469286e-005
