Freq.	V(vin)	I(V2)
1.00000000000000e+002	3.94066591481609e-016,6.85370711739706e-013	-1.00632255235096e-010,0.00000000000000e+000
1.10000000000000e+002	3.95000332649657e-016,7.53907782906990e-013	-1.00632255237879e-010,0.00000000000000e+000
1.20000000000000e+002	3.96023001547972e-016,8.22444854072357e-013	-1.00632255240940e-010,0.00000000000000e+000
1.30000000000000e+002	3.97134598176592e-016,8.90981925235722e-013	-1.00632255244240e-010,0.00000000000000e+000
1.40000000000000e+002	3.98335122535449e-016,9.59518996396788e-013	-1.00632255247892e-010,0.00000000000000e+000
1.50000000000000e+002	3.99624574624585e-016,1.02805606755549e-012	-1.00632255251645e-010,0.00000000000000e+000
1.60000000000000e+002	4.01002954443924e-016,1.09659313871147e-012	-1.00632255255878e-010,0.00000000000000e+000
1.70000000000000e+002	4.02470261993557e-016,1.16513020986483e-012	-1.00632255260268e-010,0.00000000000000e+000
1.80000000000000e+002	4.04026497273390e-016,1.23366728101514e-012	-1.00632255265008e-010,-3.05175781250000e-005
1.90000000000000e+002	4.05671660283480e-016,1.30220435216243e-012	-1.00632255269902e-010,0.00000000000000e+000
2.00000000000000e+002	4.07405751023753e-016,1.37074142330632e-012	-1.00632255275164e-010,0.00000000000000e+000
