Freq.	V(vin)	I(V2)
1.00000000000000e+002	(-6.81982743526052e+001dB,1.79999631569959e+002°)	(-1.19590739605958e+002dB,-4.09512621671284e-004°)
1.10000000000000e+002	(-6.81982743526439e+001dB,1.79999594726955e+002°)	(-1.19590739605997e+002dB,-4.50463883837194e-004°)
1.20000000000000e+002	(-6.81982743526863e+001dB,1.79999557883951e+002°)	(-1.19590739606039e+002dB,-4.91415146002753e-004°)
1.30000000000000e+002	(-6.81982743527316e+001dB,1.79999521040947e+002°)	(-1.19590739606083e+002dB,-5.32366408167975e-004°)
1.40000000000000e+002	(-6.81982743527810e+001dB,1.79999484197943e+002°)	(-1.19590739606132e+002dB,-5.73317670332765e-004°)
1.50000000000000e+002	(-6.81982743528336e+001dB,1.79999447354939e+002°)	(-1.19590739606184e+002dB,-6.14268932497145e-004°)
1.60000000000000e+002	(-6.81982743528908e+001dB,1.79999410511935e+002°)	(-1.19590739606241e+002dB,-6.55220194660993e-004°)
1.70000000000000e+002	(-6.81982743529506e+001dB,1.79999373668931e+002°)	(-1.19590739606300e+002dB,-6.96171456824414e-004°)
1.80000000000000e+002	(-6.81982743530148e+001dB,1.79999336825927e+002°)	(-1.19590739606364e+002dB,-7.37122718987251e-004°)
1.90000000000000e+002	(-6.81982743530820e+001dB,1.79999299982923e+002°)	(-1.19590739606430e+002dB,-7.78073981149573e-004°)
2.00000000000000e+002	(-6.81982743531536e+001dB,1.79999263139919e+002°)	(-1.19590739606501e+002dB,-8.19025243311240e-004°)
