Freq.	V(v0)
1.00000000000000e+002	(1.60942275314976e+001dB,-5.18048748822061e-001°)
1.02305972984251e+002	(1.60942109747495e+001dB,-5.29994139623307e-001°)
1.04665121082543e+002	(1.60941936456765e+001dB,-5.42214940245470e-001°)
1.07078670498640e+002	(1.60941755075935e+001dB,-5.54717498148823e-001°)
1.09547875712233e+002	(1.60941565241212e+001dB,-5.67508307052348e-001°)
1.12074020130978e+002	(1.60941366551354e+001dB,-5.80594010036002e-001°)
1.14658416757562e+002	(1.60941158593348e+001dB,-5.93981403135918e-001°)
1.17302408872161e+002	(1.60940940934916e+001dB,-6.07677438809876e-001°)
1.20007370730629e+002	(1.60940713123624e+001dB,-6.21689229523596e-001°)
1.22774708278787e+002	(1.60940474685936e+001dB,-6.36024051418269e-001°)
1.25605859883189e+002	(1.60940225126246e+001dB,-6.50689348061140e-001°)
1.28502297078731e+002	(1.60939963925832e+001dB,-6.65692734280794e-001°)
1.31465525333508e+002	(1.60939690541780e+001dB,-6.81042000089117e-001°)
1.34497084831302e+002	(1.60939404405875e+001dB,-6.96745114691879e-001°)
1.37598551272117e+002	(1.60939104923407e+001dB,-7.12810230589589e-001°)
1.40771536691173e+002	(1.60938791471930e+001dB,-7.29245687770718e-001°)
1.44017690296786e+002	(1.60938463399984e+001dB,-7.46060017999344e-001°)
1.47338699327572e+002	(1.60938120025737e+001dB,-7.63261949199077e-001°)
1.50736289929412e+002	(1.60937760635575e+001dB,-7.80860409935376e-001°)
1.54212228052647e+002	(1.60937384479305e+001dB,-7.98864533967878e-001°)
1.57768320369952e+002	(1.60936990781839e+001dB,-8.17283665056674e-001°)
1.61406415215389e+002	(1.60936578721734e+001dB,-8.36127361572016e-001°)
1.65128403545104e+002	(1.60936147442715e+001dB,-8.55405401510789e-001°)
1.68936219920179e+002	(1.60935696048593e+001dB,-8.75127787472826e-001°)
1.72831843512153e+002	(1.60935223601412e+001dB,-8.95304751778339e-001°)
1.76817299131726e+002	(1.60934729119505e+001dB,-9.15946761698950e-001°)
1.80894658281185e+002	(1.60934211575447e+001dB,-9.37064524804601e-001°)
1.85066040231103e+002	(1.60933669890632e+001dB,-9.58668994392399e-001°)
1.89333613121855e+002	(1.60933102946261e+001dB,-9.80771375217592e-001°)
1.93699595090551e+002	(1.60932509561176e+001dB,-1.00338312898614e+000°)
1.98166255423942e+002	(1.60931888502643e+001dB,-1.02651598033268e+000°)
2.02735915737920e+002	(1.60931238480489e+001dB,-1.05018192274722e+000°)
2.07410951184210e+002	(1.60930558144434e+001dB,-1.07439322466806e+000°)
2.12193791684895e+002	(1.60929846081294e+001dB,-1.09916243570764e+000°)
2.17086923195407e+002	(1.60929100812050e+001dB,-1.12450239301378e+000°)
2.22092888996634e+002	(1.60928320788794e+001dB,-1.15042622776905e+000°)
2.27214291016839e+002	(1.60927504391510e+001dB,-1.17694737183067e+000°)
2.32453791184044e+002	(1.60926649924744e+001dB,-1.20407956451383e+000°)
