Time (s),Channel 1 (V),Channel 2 (V)
-0.00468875,0.93126886,1.906411058
-0.0046875,0.929066759,1.901307968
-0.00468625,0.926104553,1.89540334
-0.004685,0.922892131,1.88947683
-0.00468375,0.91962249,1.882871244
-0.0046825,0.916591751,1.876531962
-0.00468125,0.913467176,1.870685138
-0.00468,0.910441917,1.864057175
-0.00467875,0.90718777,1.857615419
-0.0046775,0.903855416,1.850647108
-0.00467625,0.900354741,1.84363198
-0.004675,0.896630369,1.836423865
-0.00467375,0.893119844,1.829671957
-0.0046725,0.889398695,1.821931202
-0.00467125,0.885837863,1.8143001
-0.00467,0.882176826,1.807107397
-0.00466875,0.878468417,1.799363679
-0.0046675,0.874394089,1.791054603
-0.00466625,0.870646001,1.783619354
-0.004665,0.866815037,1.776358534
-0.00466375,0.862933626,1.768410969
-0.0046625,0.858849601,1.760166178
-0.00466125,0.854915729,1.75186966
-0.00466,0.850662273,1.743013856
-0.00465875,0.846314773,1.734571672
-0.0046575,0.842210071,1.726468847
-0.00465625,0.837998206,1.717882366
-0.004655,0.83349403,1.709361154
-0.00465375,0.82902139,1.699705085
-0.0046525,0.824551103,1.69012919
-0.00465125,0.820180998,1.68129472
-0.00465,0.815438073,1.672394519
-0.00464875,0.810920339,1.663376549
-0.0046475,0.806201325,1.654548864
-0.00464625,0.801785502,1.644720725
-0.004645,0.796984468,1.634611152
-0.00464375,0.791865285,1.62473565
-0.0046425,0.78726363,1.615873537
-0.00464125,0.782601776,1.605819935
-0.00464,0.777596143,1.595600954
-0.00463875,0.772385488,1.58576509
-0.0046375,0.767297264,1.57536255
-0.00463625,0.76210599,1.564970137
-0.004635,0.757105866,1.5547155
-0.00463375,0.7521091,1.544446275
-0.0046325,0.746615941,1.533655269
-0.00463125,0.741294075,1.523578581
-0.00463,0.736157511,1.512372797
-0.00462875,0.730756272,1.501826532
-0.0046275,0.725286614,1.491186341
-0.00462625,0.720094197,1.48062913
-0.004625,0.714522405,1.469052535
-0.00462375,0.708964124,1.458236904
-0.0046225,0.703124348,1.446778512
-0.00462125,0.697570734,1.435348737
-0.00462,0.692054653,1.423742
-0.00461875,0.686509352,1.41300908
-0.0046175,0.680518444,1.401512702
-0.00461625,0.674952814,1.389965217
-0.004615,0.669111211,1.377876605
-0.00461375,0.663181761,1.366234314
