Freq.	V(vo)
1.00000000000000e+002	(-6.72853224278588e+000dB,-4.77472768694922e-001°)
1.02305972984251e+002	(-6.72857270162238e+000dB,-4.88479758721060e-001°)
1.04665121082543e+002	(-6.72861504727807e+000dB,-4.99740326132602e-001°)
1.07078670498640e+002	(-6.72865936768003e+000dB,-5.11260301317971e-001°)
1.09547875712233e+002	(-6.72870575492746e+000dB,-5.23045647901254e-001°)
1.12074020130978e+002	(-6.72875430532511e+000dB,-5.35102465743068e-001°)
1.14658416757562e+002	(-6.72880511970657e+000dB,-5.47436993979683e-001°)
1.17302408872161e+002	(-6.72885830366047e+000dB,-5.60055614130440e-001°)
1.20007370730629e+002	(-6.72891396754198e+000dB,-5.72964853309731e-001°)
1.22774708278787e+002	(-6.72897222697557e+000dB,-5.86171387433785e-001°)
1.25605859883189e+002	(-6.72903320295326e+000dB,-5.99682044541934e-001°)
1.28502297078731e+002	(-6.72909702205665e+000dB,-6.13503808195527e-001°)
1.31465525333508e+002	(-6.72916381679355e+000dB,-6.27643820903874e-001°)
1.34497084831302e+002	(-6.72923372578842e+000dB,-6.42109387665888e-001°)
1.37598551272117e+002	(-6.72930689419729e+000dB,-6.56907979524832e-001°)
1.40771536691173e+002	(-6.72938347386745e+000dB,-6.72047237266515e-001°)
1.44017690296786e+002	(-6.72946362373161e+000dB,-6.87534975130856e-001°)
1.47338699327572e+002	(-6.72954751016020e+000dB,-7.03379184613021e-001°)
1.50736289929412e+002	(-6.72963530718575e+000dB,-7.19588038371813e-001°)
1.54212228052647e+002	(-6.72972719696158e+000dB,-7.36169894165173e-001°)
1.57768320369952e+002	(-6.72982337017949e+000dB,-7.53133298869759e-001°)
1.61406415215389e+002	(-6.72992402630737e+000dB,-7.70486992621628e-001°)
1.65128403545104e+002	(-6.73002937415422e+000dB,-7.88239912969776e-001°)
1.68936219920179e+002	(-6.73013963216006e+000dB,-8.06401199164072e-001°)
1.72831843512153e+002	(-6.73025502902040e+000dB,-8.24980196470409e-001°)
1.76817299131726e+002	(-6.73037580398886e+000dB,-8.43986460601318e-001°)
1.80894658281185e+002	(-6.73050220748146e+000dB,-8.63429762210691e-001°)
1.85066040231103e+002	(-6.73063450147172e+000dB,-8.83320091479119e-001°)
1.89333613121855e+002	(-6.73077296021440e+000dB,-9.03667662736226e-001°)
1.93699595090551e+002	(-6.73091787056490e+000dB,-9.24482919240128e-001°)
1.98166255423942e+002	(-6.73106953284043e+000dB,-9.45776537929687e-001°)
2.02735915737920e+002	(-6.73122826118385e+000dB,-9.67559434371293e-001°)
2.07410951184210e+002	(-6.73139438439356e+000dB,-9.89842767675489e-001°)
2.12193791684895e+002	(-6.73156824648029e+000dB,-1.01263794557251e+000°)
2.17086923195407e+002	(-6.73175020742910e+000dB,-1.03595662952295e+000°)
2.22092888996634e+002	(-6.73194064396064e+000dB,-1.05981073988414e+000°)
2.27214291016839e+002	(-6.73213995012555e+000dB,-1.08421246124760e+000°)
2.32453791184044e+002	(-6.73234853837871e+000dB,-1.10917424768615e+000°)
2.37814112809615e+002	(-6.73256684023417e+000dB,-1.13470882821823e+000°)
2.43298042003741e+002	(-6.73279530719562e+000dB,-1.16082921230055e+000°)
2.48908429123558e+002	(-6.73303441165238e+000dB,-1.18754869532003e+000°)
2.54648190254671e+002	(-6.73328464793616e+000dB,-1.21488086422719e+000°)
2.60520308726827e+002	(-6.73354653309234e+000dB,-1.24283960324186e+000°)
2.66527836664555e+002	(-6.73382060828423e+000dB,-1.27143909948246e+000°)
2.72673896573548e+002	(-6.73410743956668e+000dB,-1.30069384882888e+000°)
2.78961682963638e+002	(-6.73440761917717e+000dB,-1.33061866172353e+000°)
2.85394464009191e+002	(-6.73472177394007e+000dB,-1.36122866789793e+000°)
2.91975583247790e+002	(-6.73505053756343e+000dB,-1.39253932678986e+000°)
2.98708461318093e+002	(-6.73539459542788e+000dB,-1.42456642675031e+000°)
3.05596597737760e+002	(-6.73575465697457e+000dB,-1.45732609548524e+000°)
3.12643572722382e+002	(-6.73613146423422e+000dB,-1.49083480495834e+000°)
3.19853049046357e+002	(-6.73652579357048e+000dB,-1.52510937731590e+000°)
3.27228773946669e+002	(-6.73693845703205e+000dB,-1.56016699095196e+000°)
3.34774581070574e+002	(-6.73737030403109e+000dB,-1.59602518649549e+000°)
3.42494392468201e+002	(-6.73782222302456e+000dB,-1.63270187278914e+000°)
3.50392220631091e+002	(-6.73829514337500e+000dB,-1.67021533280774e+000°)
3.58472170577761e+002	(-6.73879003707603e+000dB,-1.70858422962043e+000°)
3.66738441987342e+002	(-6.73930792074116e+000dB,-1.74782761223225e+000°)
3.75195331382433e+002	(-6.73984985766771e+000dB,-1.78796492136998e+000°)
3.83847234362282e+002	(-6.74041695973917e+000dB,-1.82901599525104e+000°)
3.92698647887470e+002	(-6.74101038991703e+000dB,-1.87100107512831e+000°)
4.01754172617274e+002	(-6.74163137146856e+000dB,-1.91394080927569e+000°)
4.11018515300929e+002	(-6.74228116152797e+000dB,-1.95785626466088e+000°)
4.20496491224037e+002	(-6.74296109714521e+000dB,-2.00276892265798e+000°)
4.30193026711386e+002	(-6.74367256857880e+000dB,-2.04870069051454e+000°)
4.40113161687482e+002	(-6.74441702962506e+000dB,-2.09567390441331e+000°)
4.50262052296127e+002	(-6.74519600008942e+000dB,-2.14371133430125e+000°)
4.60644973580410e+002	(-6.74601106902781e+000dB,-2.19283618804407e+000°)
4.71267322224483e+002	(-6.74686389743067e+000dB,-2.24307211572386e+000°)
4.82134619358582e+002	(-6.74775622912529e+000dB,-2.29444321119896e+000°)
4.93252513428712e+002	(-6.74868986456725e+000dB,-2.34697402343747e+000°)
5.04626783132516e+002	(-6.74966670819490e+000dB,-2.40068954792690e+000°)
5.16263340422846e+002	(-6.75068874285668e+000dB,-2.45561523688677e+000°)
5.28168233580588e+002	(-6.75175804073686e+000dB,-2.51177699955898e+000°)
5.40347650358352e+002	(-6.75287676730691e+000dB,-2.56920120372888e+000°)
5.52807921196649e+002	(-6.75404719259025e+000dB,-2.62791467462276e+000°)
5.65555522514243e+002	(-6.75527166641470e+000dB,-2.68794470400581e+000°)
5.78597080074360e+002	(-6.75655266609548e+000dB,-2.74931903702204e+000°)
5.91939372428539e+002	(-6.75789277216867e+000dB,-2.81206587969218e+000°)
