Freq.	V(vo)
1.00000000000000e+002	4.60848637160335e-001,-3.84055807418267e-003
1.02305972984251e+002	4.60845744231146e-001,-3.92907251097270e-003
1.04665121082543e+002	4.60842716417837e-001,-4.01962468477600e-003
1.07078670498640e+002	4.60839547436856e-001,-4.11226134605011e-003
1.09547875712233e+002	4.60836230708163e-001,-4.20703030630405e-003
1.12074020130978e+002	4.60832759349988e-001,-4.30398046155550e-003
1.14658416757562e+002	4.60829126158045e-001,-4.40316181591037e-003
1.17302408872161e+002	4.60825323589746e-001,-4.50462550568148e-003
1.20007370730629e+002	4.60821343759615e-001,-4.60842382440470e-003
1.22774708278787e+002	4.60817178408472e-001,-4.71461024750195e-003
1.25605859883189e+002	4.60812818893883e-001,-4.82323945800534e-003
1.28502297078731e+002	4.60808256173849e-001,-4.93436737277737e-003
1.31465525333508e+002	4.60803480784203e-001,-5.04805116881082e-003
1.34497084831302e+002	4.60798482823558e-001,-5.16434931046160e-003
1.37598551272117e+002	4.60793251926115e-001,-5.28332157657334e-003
1.40771536691173e+002	4.60787777247775e-001,-5.40502908881383e-003
1.44017690296786e+002	4.60782047439580e-001,-5.52953433988529e-003
1.47338699327572e+002	4.60776050623103e-001,-5.65690122237245e-003
1.50736289929412e+002	4.60769774372375e-001,-5.78719505842600e-003
1.54212228052647e+002	4.60763205683091e-001,-5.92048262939709e-003
1.57768320369952e+002	4.60756330943714e-001,-6.05683220604170e-003
1.61406415215389e+002	4.60749135915819e-001,-6.19631357968788e-003
1.65128403545104e+002	4.60741605696765e-001,-6.33899809313827e-003
1.68936219920179e+002	4.60733724696625e-001,-6.48495867268914e-003
1.72831843512153e+002	4.60725476597031e-001,-6.63426985996157e-003
1.76817299131726e+002	4.60716844326739e-001,-6.78700784471779e-003
1.80894658281185e+002	4.60707810020815e-001,-6.94325049778036e-003
1.85066040231103e+002	4.60698354990536e-001,-7.10307740463664e-003
1.89333613121855e+002	4.60688459675458e-001,-7.26656989886274e-003
1.93699595090551e+002	4.60678103616506e-001,-7.43381109690446e-003
1.98166255423942e+002	4.60667265399907e-001,-7.60488593194577e-003
2.02735915737920e+002	4.60655922627030e-001,-7.77988118948986e-003
2.07410951184210e+002	4.60644051859056e-001,-7.95888554201805e-003
2.12193791684895e+002	4.60631628575625e-001,-8.14198958485662e-003
2.17086923195407e+002	4.60618627122108e-001,-8.32928587182019e-003
2.22092888996634e+002	4.60605020656383e-001,-8.52086895095075e-003
2.27214291016839e+002	4.60590781103899e-001,-8.71683540142471e-003
2.32453791184044e+002	4.60575879086752e-001,-8.91728386887127e-003
2.37814112809615e+002	4.60560283874383e-001,-9.12231510241564e-003
2.43298042003741e+002	4.60543963319059e-001,-9.33203199122884e-003
2.48908429123558e+002	4.60526883792553e-001,-9.54653960061965e-003
2.54648190254671e+002	4.60509010113639e-001,-9.76594520856946e-003
2.60520308726827e+002	4.60490305490034e-001,-9.99035834261104e-003
2.66527836664555e+002	4.60470731426098e-001,-1.02198908147955e-002
2.72673896573548e+002	4.60450247663216e-001,-1.04546567586090e-002
2.78961682963638e+002	4.60428812092007e-001,-1.06947726641361e-002
2.85394464009191e+002	4.60406380286929e-001,-1.09403573948867e-002
2.91975583247790e+002	4.60382906952954e-001,-1.11915322948574e-002
2.98708461318093e+002	4.60358343530927e-001,-1.14484211142089e-002
3.05596597737760e+002	4.60332639637784e-001,-1.17111501142941e-002
3.12643572722382e+002	4.60305742591157e-001,-1.19798480825525e-002
3.19853049046357e+002	4.60277597292596e-001,-1.22546463629216e-002
3.27228773946669e+002	4.60248146130581e-001,-1.25356788868279e-002
3.34774581070574e+002	4.60217328865297e-001,-1.28230822019737e-002
3.42494392468201e+002	4.60185082512306e-001,-1.31169954998308e-002
3.50392220631091e+002	4.60151341215706e-001,-1.34175606410844e-002
3.58472170577761e+002	4.60116036127444e-001,-1.37249221802444e-002
3.66738441987342e+002	4.60079095271658e-001,-1.40392273874210e-002
3.75195331382433e+002	4.60040443403996e-001,-1.43606262679482e-002
3.83847234362282e+002	4.60000001878409e-001,-1.46892715804652e-002
3.92698647887470e+002	4.59957688481682e-001,-1.50253188504447e-002
4.01754172617274e+002	4.59913416910613e-001,-1.53689263573218e-002
4.11018515300929e+002	4.59867098134568e-001,-1.57202552441774e-002
4.20496491224037e+002	4.59818637922809e-001,-1.60794693700175e-002
4.30193026711386e+002	4.59767938219126e-001,-1.64467354132464e-002
4.40113161687482e+002	4.59714896556337e-001,-1.68222228407952e-002
4.50262052296127e+002	4.59659405885289e-001,-1.72061039024976e-002
4.60644973580410e+002	4.59601354362145e-001,-1.75985536158272e-002
4.71267322224483e+002	4.59540625164006e-001,-1.79997497499276e-002
4.82134619358582e+002	4.59477095869530e-001,-1.84098727672570e-002
4.93252513428712e+002	4.59410639798548e-001,-1.88291059185222e-002
5.04626783132516e+002	4.59341123465326e-001,-1.92576350198367e-002
5.16263340422846e+002	4.59268407882970e-001,-1.96956485293902e-002
5.28168233580588e+002	4.59192347939079e-001,-2.01433374646010e-002
5.40347650358352e+002	4.59112792139128e-001,-2.06008953393366e-002
5.52807921196649e+002	4.59029581963491e-001,-2.10685180579068e-002
5.65555522514243e+002	4.58942553123257e-001,-2.15464039730172e-002
5.78597080074360e+002	4.58851532995433e-001,-2.20347535862860e-002
5.91939372428539e+002	4.58756341852977e-001,-2.25337695811258e-002
6.05589334439886e+002	4.58656792192834e-001,-2.30436566736502e-002
6.19554060887574e+002	4.58552688041627e-001,-2.35646214429379e-002
6.33840810154470e+002	4.58443826173766e-001,-2.40968723453785e-002
6.48457007999789e+002	4.58329993486073e-001,-2.46406193205370e-002
6.63410251418746e+002	4.58210968197468e-001,-2.51960737724707e-002
6.78708312591213e+002	4.58086518741525e-001,-2.57634482957976e-002
6.94359142921431e+002	4.57956404932932e-001,-2.63429566350565e-002
7.10370877170875e+002	4.57820375332414e-001,-2.69348132014336e-002
7.26751837686421e+002	4.57678168005391e-001,-2.75392329425225e-002
7.43510538726017e+002	4.57529511292239e-001,-2.81564312103304e-002
7.60655690884097e+002	4.57374121142575e-001,-2.87866231926589e-002
7.78196205619051e+002	4.57211701861424e-001,-2.94300237223329e-002
7.96141199885091e+002	4.57041946848653e-001,-3.00868470791654e-002
8.14500000870932e+002	4.56864535916331e-001,-3.07573063225512e-002
8.33282150847739e+002	4.56679136017944e-001,-3.14416130265199e-002
8.52497412128872e+002	4.56485401963666e-001,-3.21399770016703e-002
8.72155772144002e+002	4.56282973363681e-001,-3.28526054619656e-002
8.92267448630227e+002	4.56071477218616e-001,-3.35797029405982e-002
9.12842894942904e+002	4.55850524488841e-001,-3.43214703183283e-002
9.33892805488941e+002	4.55619712685871e-001,-3.50781046845283e-002
9.55428121285379e+002	4.55378622440292e-001,-3.58497982660405e-002
9.77460035646155e+002	4.55126820094037e-001,-3.66367382253098e-002
1.00000000000000e+003	4.54863854299976e-001,-3.74391054865884e-002
1.02305972984251e+003	4.54589258596202e-001,-3.82570744580379e-002
1.04665121082543e+003	4.54302548050378e-001,-3.90908117479983e-002
1.07078670498640e+003	4.54003221479478e-001,-3.99404757449955e-002
1.09547875712234e+003	4.53690759977745e-001,-4.08062155361758e-002
1.12074020130978e+003	4.53364625830256e-001,-4.16881698146842e-002
1.14658416757563e+003	4.53024262571709e-001,-4.25864659240277e-002
1.17302408872162e+003	4.52669096921521e-001,-4.35012192142466e-002
1.20007370730629e+003	4.52298535180894e-001,-4.44325312919815e-002
1.22774708278787e+003	4.51911964867222e-001,-4.53804891790255e-002
1.25605859883189e+003	4.51508754162670e-001,-4.63451639961371e-002
1.28502297078731e+003	4.51088251769781e-001,-4.73266096520939e-002
1.31465525333509e+003	4.50649786828074e-001,-4.83248614714864e-002
1.34497084831303e+003	4.50192668885531e-001,-4.93399347582301e-002
1.37598551272118e+003	4.49716187923700e-001,-5.03718232929551e-002
1.40771536691173e+003	4.49219614466585e-001,-5.14204977711037e-002
1.44017690296787e+003	4.48702199759890e-001,-5.24859041759158e-002
1.47338699327573e+003	4.48163175670323e-001,-5.35679619999624e-002
1.50736289929413e+003	4.47601756482053e-001,-5.46665628445332e-002
1.54212228052647e+003	4.47017137189166e-001,-5.57815680931779e-002
1.57768320369953e+003	4.46408495145442e-001,-5.69128073016408e-002
1.61406415215390e+003	4.45774991810101e-001,-5.80600765640386e-002
1.65128403545105e+003	4.45115771051368e-001,-5.92231359062688e-002
1.68936219920180e+003	4.44429962587006e-001,-6.04017079325556e-002
1.72831843512154e+003	4.43716681997561e-001,-6.15954755147502e-002
1.76817299131727e+003	4.42975030901443e-001,-6.28040794172966e-002
1.80894658281186e+003	4.42204100131504e-001,-6.40271167007459e-002
1.85066040231103e+003	4.41402971637111e-001,-6.52641387464298e-002
1.89333613121855e+003	4.40570716760587e-001,-6.65146481157723e-002
1.93699595090551e+003	4.39706403041761e-001,-6.77780979169162e-002
1.98166255423943e+003	4.38809092555986e-001,-6.90538885983008e-002
2.02735915737920e+003	4.37877845648340e-001,-7.03413663346334e-002
2.07410951184210e+003	4.36911724510318e-001,-7.16398214021218e-002
2.12193791684896e+003	4.35909793921860e-001,-7.29484856193309e-002
2.17086923195407e+003	4.34871125285743e-001,-7.42665308712719e-002
2.22092888996635e+003	4.33794800197763e-001,-7.55930675393897e-002
2.27214291016839e+003	4.32679914232973e-001,-7.69271430777218e-002
2.32453791184045e+003	4.31525578984587e-001,-7.82677400193720e-002
2.37814112809616e+003	4.30330927328007e-001,-7.96137752331730e-002
2.43298042003742e+003	4.29095116919252e-001,-8.09640986694673e-002
2.48908429123559e+003	4.27817335552881e-001,-8.23174929659211e-002
2.54648190254672e+003	4.26496805089078e-001,-8.36726726868982e-002
2.60520308726828e+003	4.25132785302210e-001,-8.50282837045687e-002
2.66527836664556e+003	4.23724580470101e-001,-8.63829039345104e-002
2.72673896573549e+003	4.22271544495798e-001,-8.77350437846681e-002
2.78961682963639e+003	4.20773084655759e-001,-8.90831463058383e-002
2.85394464009192e+003	4.19228667667421e-001,-9.04255886491459e-002
2.91975583247791e+003	4.17637827053457e-001,-9.17606845393087e-002
2.98708461318094e+003	4.16000165961138e-001,-9.30866851268948e-002
3.05596597737761e+003	4.14315364030586e-001,-9.44017820964246e-002
