Freq.	V(vo)	V(vo1)	V(vo2)	Ib(Q3)
1.00000000000000e+002	(2.34448549292182e+001dB,1.79073828819533e+002°)	(-4.66008512705731e+001dB,-4.89576589826024e-001°)	(2.34452379045338e+001dB,1.79073898995720e+002°)	(-1.52230242296093e+002dB,1.90027378507486e-002°)
1.02305972984251e+002	(2.34448021070025e+001dB,1.79052475399861e+002°)	(-4.66008922805072e+001dB,-5.00862661990699e-001°)	(2.34451850823190e+001dB,1.79052547194293e+002°)	(-1.52230242268318e+002dB,1.94409352348843e-002°)
1.04665121082543e+002	(2.34447468212409e+001dB,1.79030629847689e+002°)	(-4.66009352026487e+001dB,-5.12408745084449e-001°)	(2.34451297965584e+001dB,1.79030703297681e+002°)	(-1.52230242239173e+002dB,1.98892372854203e-002°)
1.07078670498640e+002	(2.34446889570889e+001dB,1.79008280833786e+002°)	(-4.66009801265496e+001dB,-5.24220817685294e-001°)	(2.34450719324074e+001dB,1.79008355977515e+002°)	(-1.52230242208724e+002dB,2.03478770125773e-002°)
1.09547875712233e+002	(2.34446283943151e+001dB,1.78985416769043e+002°)	(-4.66010271450866e+001dB,-5.36304995062430e-001°)	(2.34450113696347e+001dB,1.78985493645566e+002°)	(-1.52230242176830e+002dB,2.08170928012240e-002°)
1.12074020130978e+002	(2.34445650071362e+001dB,1.78962025798552e+002°)	(-4.66010763565984e+001dB,-5.48667532141986e-001°)	(2.34449479824569e+001dB,1.78962104447827e+002°)	(-1.52230242143496e+002dB,2.12971285213289e-002°)
1.14658416757562e+002	(2.34444986638827e+001dB,1.78938095795601e+002°)	(-4.66011278634236e+001dB,-5.61314826720630e-001°)	(2.34448816392046e+001dB,1.78938176258507e+002°)	(-1.52230242108486e+002dB,2.17882336770534e-002°)
1.17302408872161e+002	(2.34444292266432e+001dB,1.78913614355517e+002°)	(-4.66011817704566e+001dB,-5.74253422757786e-001°)	(2.34448122019663e+001dB,1.78913696673876e+002°)	(-1.52230242072001e+002dB,2.22906635247617e-002°)
1.20007370730629e+002	(2.34443565513133e+001dB,1.78888568789341e+002°)	(-4.66012381922789e+001dB,-5.87490013255596e-001°)	(2.34447395266378e+001dB,1.78888653005938e+002°)	(-1.52230242033708e+002dB,2.28046792064350e-002°)
1.22774708278787e+002	(2.34442804869400e+001dB,1.78862946117435e+002°)	(-4.66012972459247e+001dB,-6.01031443996602e-001°)	(2.34446634622658e+001dB,1.78863032276044e+002°)	(-1.52230241993693e+002dB,2.33305478776595e-002°)
1.25605859883189e+002	(2.34442008754400e+001dB,1.78836733062917e+002°)	(-4.66013590519621e+001dB,-6.14884716908729e-001°)	(2.34445838507672e+001dB,1.78836821208321e+002°)	(-1.52230241951786e+002dB,2.38685428624881e-002°)
1.28502297078731e+002	(2.34441175515378e+001dB,1.78809916044916e+002°)	(-4.66014237399866e+001dB,-6.29056993227633e-001°)	(2.34445005268665e+001dB,1.78810006222929e+002°)	(-1.52230241907868e+002dB,2.44189437778599e-002°)
1.31465525333508e+002	(2.34440303421475e+001dB,1.78782481171751e+002°)	(-4.66014914433687e+001dB,-6.43555597357822e-001°)	(2.34444133174778e+001dB,1.78782573429245e+002°)	(-1.52230241862014e+002dB,2.49820367136680e-002°)
1.34497084831302e+002	(2.34439390662765e+001dB,1.78754414233897e+002°)	(-4.66015623047742e+001dB,-6.58388020164596e-001°)	(2.34443220416085e+001dB,1.78754508618823e+002°)	(-1.52230241813959e+002dB,2.55581143271402e-002°)
1.37598551272117e+002	(2.34438435342810e+001dB,1.78725700696880e+002°)	(-4.66016364690032e+001dB,-6.73561923123485e-001°)	(2.34442265096146e+001dB,1.78725797258297e+002°)	(-1.52230241763638e+002dB,2.61474760271288e-002°)
