Freq.	V(vo)	V(vo1)	V(vo2)	Ib(Q3)
1.00000000000000e+002	-1.48657218898362e+001,2.40321410026124e-001	4.67672229183036e-003,-3.99622711411618e-005	-1.48663776530295e+001,2.40313798008819e-001	2.44617690355128e-008,8.11299899122948e-012
1.02305972984251e+002	-1.48655408893508e+001,2.45860166460631e-001	4.67669224857854e-003,-4.08832939676611e-005	-1.48661966582930e+001,2.45852379007243e-001	2.44617690509732e-008,8.30008231221467e-012
1.04665121082543e+002	-1.48653514496659e+001,2.51526433523635e-001	4.67666080471798e-003,-4.18255202126676e-005	-1.48660072246249e+001,2.51518466595376e-001	2.44617690673620e-008,8.49147970546649e-012
1.07078670498640e+002	-1.48651531775621e+001,2.57323136608069e-001	4.67662789476377e-003,-4.27894363332523e-005	-1.48658089588185e+001,2.57314986073493e-001	2.44617690843569e-008,8.68729065201996e-012
1.09547875712233e+002	-1.48649456614582e+001,2.63253267505121e-001	4.67659345063938e-003,-4.37755398358740e-005	-1.48656014493056e+001,2.63244929138022e-001	2.44617691022166e-008,8.88761692776302e-012
1.12074020130978e+002	-1.48647284707048e+001,2.69319885865669e-001	4.67655740048863e-003,-4.47843395009226e-005	-1.48653842654504e+001,2.69311355342929e-001	2.44617691207713e-008,9.09256265024173e-012
1.14658416757562e+002	-1.48645011545698e+001,2.75526120680637e-001	4.67651966942444e-003,-4.58163556446145e-005	-1.48651569565353e+001,2.75517393580033e-001	2.44617691405338e-008,9.30223434271927e-012
1.17302408872161e+002	-1.48642632411660e+001,2.81875171788823e-001	4.67648018026540e-003,-4.68721203878154e-005	-1.48649190506879e+001,2.81866243586782e-001	2.44617691607733e-008,9.51674098383936e-012
1.20007370730629e+002	-1.48640142370508e+001,2.88370311440170e-001	4.67643884965467e-003,-4.79521778445453e-005	-1.48646700544814e+001,2.88361177509474e-001	2.44617691822566e-008,9.73619406562345e-012
1.22774708278787e+002	-1.48637536255969e+001,2.95014885844675e-001	4.67639559191007e-003,-4.90570844558063e-005	-1.48644094513049e+001,2.95005541452121e-001	2.44617692045572e-008,9.96070764708552e-012
1.25605859883189e+002	-1.48634808659804e+001,3.01812316774210e-001	4.67635031839582e-003,-5.01874092498952e-005	-1.48641367003516e+001,3.01802757078216e-001	2.44617692279726e-008,1.01903984210937e-011
1.28502297078731e+002	-1.48631953925210e+001,3.08766103210202e-001	4.67630293451669e-003,-5.13437340588157e-005	-1.48638512359592e+001,3.08756323258360e-001	2.44617692526374e-008,1.04253857671466e-011
1.31465525333508e+002	-1.48628966130439e+001,3.15879822984945e-001	4.67625334249516e-003,-5.25266538517422e-005	-1.48635524659717e+001,3.15869817711527e-001	2.44617692781339e-008,1.06657918280750e-011
1.34497084831302e+002	-1.48625839081095e+001,3.23157134489252e-001	4.67620143834655e-003,-5.37367769590029e-005	-1.48632397709692e+001,3.23146898712655e-001	2.44617693049933e-008,1.09117415509792e-011
1.37598551272117e+002	-1.48622566291046e+001,3.30601778365406e-001	4.67614711567893e-003,-5.49747254410484e-005	-1.48629125023592e+001,3.30591306785550e-001	2.44617693331737e-008,1.11633627652645e-011
1.40771536691173e+002	-1.48619140975893e+001,3.38217579284918e-001	4.67609026116243e-003,-5.62411352895759e-005	-1.48625699817231e+001,3.38206866480582e-001	2.44617693626255e-008,1.14207862566187e-011
1.44017690296786e+002	-1.48615556035022e+001,3.46008447710992e-001	4.67603075682322e-003,-5.75366567760441e-005	-1.48622114990223e+001,3.45997488137101e-001	2.44617693933160e-008,1.16841458159641e-011
1.47338699327572e+002	-1.48611804036358e+001,3.53978381703968e-001	4.67596848024803e-003,-5.88619547643193e-005	-1.48618363110727e+001,3.53967169688813e-001	2.44617694255291e-008,1.19535783298789e-011
1.50736289929412e+002	-1.48607877205257e+001,3.62131468779236e-001	4.67590330165402e-003,-6.02177089557055e-005	-1.48614436404347e+001,3.62119998521646e-001	2.44617694593249e-008,1.22292238354305e-011
1.54212228052647e+002	-1.48603767405572e+001,3.70471887762454e-001	4.67583508555751e-003,-6.16046142424262e-005	-1.48610326735194e+001,3.70460153328902e-001	2.44617694947300e-008,1.25112255931833e-011
1.57768320369952e+002	-1.48599466121352e+001,3.79003910679146e-001	4.67576369153730e-003,-6.30233810498381e-005	-1.48606025587589e+001,3.78991906000797e-001	2.44617695316615e-008,1.27997301757468e-011
1.61406415215389e+002	-1.48594964443725e+001,3.87731904702945e-001	4.67568897111806e-003,-6.44747355888525e-005	-1.48601524052941e+001,3.87719623572644e-001	2.44617695703387e-008,1.30948875342280e-011
1.65128403545104e+002	-1.48590253048809e+001,3.96660334092496e-001	4.67561076999734e-003,-6.59594202428791e-005	-1.48596812807665e+001,3.96647770161693e-001	2.44617696107278e-008,1.33968510733907e-011
1.68936219920179e+002	-1.48585322181540e+001,4.05793762190570e-001	4.67552892579287e-003,-6.74781938493489e-005	-1.48591882097007e+001,4.05780908966179e-001	2.44617696530472e-008,1.37057777364815e-011
1.72831843512153e+002	-1.48580161633839e+001,4.15136853426367e-001	4.67544326905495e-003,-6.90318320683536e-005	-1.48586721713212e+001,4.15123704267572e-001	2.44617696975961e-008,1.40218280886451e-011
1.76817299131726e+002	-1.48574760723494e+001,4.24694375353449e-001	4.67535362291192e-003,-7.06211277229744e-005	-1.48581320974407e+001,4.24680923468429e-001	2.44617697440334e-008,1.43451663898293e-011
1.80894658281185e+002	-1.48569108273967e+001,4.34471200724159e-001	4.67525980182280e-003,-7.22468911191216e-005	-1.48575668704409e+001,4.34457439166764e-001	2.44617697923608e-008,1.46759606962043e-011
1.85066040231103e+002	-1.48563192591422e+001,4.44472309580977e-001	4.67516161119323e-003,-7.39099503918934e-005	-1.48569753209753e+001,4.44458231247327e-001	2.44617698431417e-008,1.50143829340337e-011
1.89333613121855e+002	-1.48557001438545e+001,4.54702791358958e-001	4.67505884862039e-003,-7.56111519051275e-005	-1.48563562253515e+001,4.54688388983979e-001	2.44617698963062e-008,1.53606089986214e-011
1.93699595090551e+002	-1.48550522013809e+001,4.65167847050807e-001	4.67495130064843e-003,-7.73513605249939e-005	-1.48557083034575e+001,4.65153113204698e-001	2.44617699521489e-008,1.57148188267382e-011
1.98166255423942e+002	-1.48543740920092e+001,4.75872791337295e-001	4.67483874590912e-003,-7.91314600856993e-005	-1.48550302156233e+001,4.75857718421929e-001	2.44617700103147e-008,1.60771965268628e-011
2.02735915737920e+002	-1.48536644143106e+001,4.86823054805668e-001	4.67472095095009e-003,-8.09523536407904e-005	-1.48543205604650e+001,4.86807635050920e-001	2.44617700712998e-008,1.64479304312939e-011
2.07410951184210e+002	-1.48529217017923e+001,4.98024186121930e-001	4.67459767303324e-003,-8.28149639302655e-005	-1.48535778715363e+001,4.98008411581940e-001	2.44617701349700e-008,1.68272132194595e-011
2.12193791684895e+002	-1.48521444202711e+001,5.09481854274057e-001	4.67446865741160e-003,-8.47202336809480e-005	-1.48528006147026e+001,5.09465716823417e-001	2.44617702018102e-008,1.72152420291268e-011
2.17086923195407e+002	-1.48513309647254e+001,5.21201850807608e-001	4.67433363711189e-003,-8.66691259864059e-005	-1.48519871849932e+001,5.21185342137483e-001	2.44617702716434e-008,1.76122185191067e-011
2.22092888996634e+002	-1.48504796556940e+001,5.33190092053070e-001	4.67419233462123e-003,-8.86626247575797e-005	-1.48511359030006e+001,5.33173203667249e-001	2.44617703449219e-008,1.80183490162704e-011
2.27214291016839e+002	-1.48495887366297e+001,5.45452621440859e-001	4.67404445657069e-003,-9.07017349363520e-005	-1.48502450122330e+001,5.45435344651724e-001	2.44617704213438e-008,1.84338445979439e-011
