time	V(vo)
0.000000000000000e+000	5.996789e-001
1.279999963799128e-007	5.996749e-001
2.559999927598256e-007	5.995973e-001
5.119999855196511e-007	5.991437e-001
5.759999837096075e-007	5.988194e-001
7.039999800895203e-007	5.982529e-001
9.599999728493458e-007	5.990606e-001
1.001462609180593e-006	6.003003e-001
1.084387881843088e-006	6.056697e-001
1.134938318399490e-006	6.112026e-001
1.201060937281236e-006	6.236440e-001
1.263344190038052e-006	6.435659e-001
1.323161582292332e-006	6.718783e-001
1.361018671703614e-006	6.922089e-001
1.389460699952969e-006	7.049675e-001
1.426232454274824e-006	7.161033e-001
1.455650363622498e-006	7.216095e-001
1.498398506529124e-006	7.260918e-001
1.540923193815026e-006	7.283501e-001
1.597846038744265e-006	7.292253e-001
1.663792775423928e-006	7.285812e-001
1.748298124111717e-006	7.262525e-001
1.846052155841012e-006	7.223864e-001
1.972347273971386e-006	7.163721e-001
2.118968683510961e-006	7.086266e-001
2.319694945548632e-006	6.973542e-001
2.539014000573900e-006	6.845356e-001
2.837808950637909e-006	6.662563e-001
3.238468597385504e-006	6.402263e-001
3.429419318273265e-006	6.264011e-001
3.611908585914640e-006	6.115037e-001
3.646440053659618e-006	6.082565e-001
3.715502989149574e-006	6.004456e-001
3.813392474382648e-006	5.864414e-001
3.877938606984884e-006	5.733022e-001
3.922766496098325e-006	5.592487e-001
3.961883024917329e-006	5.400193e-001
4.001420751813401e-006	5.109988e-001
4.045088393513503e-006	4.756742e-001
4.063660886053372e-006	4.764362e-001
4.073700822289290e-006	5.033416e-001
4.080884893156110e-006	5.555031e-001
4.090233132586729e-006	6.693008e-001
4.100176999917263e-006	8.220259e-001
4.111341080193189e-006	9.935974e-001
4.123317371674247e-006	1.141393e+000
4.133218118295500e-006	1.223570e+000
4.144119225682443e-006	1.283999e+000
4.155901857143018e-006	1.340718e+000
4.166580201950601e-006	1.392652e+000
4.171955234212346e-006	1.415956e+000
4.178285278885535e-006	1.436168e+000
4.184214997534135e-006	1.449015e+000
4.190293133282770e-006	1.457889e+000
4.196575485458411e-006	1.464235e+000
4.204827702212603e-006	1.469891e+000
4.215261816017466e-006	1.474532e+000
4.227096829257914e-006	1.477619e+000
4.242640623258669e-006	1.479626e+000
4.259287301468551e-006	1.480258e+000
4.281035406758666e-006	1.479704e+000
4.302337399028286e-006	1.478258e+000
4.326088962434227e-006	1.475934e+000
4.351151354141279e-006	1.472991e+000
4.380690963173495e-006	1.469164e+000
4.409878659822278e-006	1.465225e+000
4.451932150832807e-006	1.459556e+000
4.490576071979894e-006	1.454574e+000
4.554404009148079e-006	1.446932e+000
4.612600183904812e-006	1.440662e+000
