time	V(vo)
0.000000000000000e+000	1.528534e-001
2.610971415332254e-005	1.531969e-001
5.221942830664507e-005	1.535123e-001
7.832914245996760e-005	1.537996e-001
1.044388566132901e-004	1.540587e-001
1.305485707666127e-004	1.542896e-001
1.566582849199352e-004	1.544923e-001
1.827679990732577e-004	1.546670e-001
2.327679990732577e-004	1.548337e-001
2.647885052548625e-004	1.548374e-001
3.140670320020480e-004	1.546818e-001
3.640670320020480e-004	1.543513e-001
4.140670320020480e-004	1.538742e-001
4.890670320020481e-004	1.529886e-001
5.640670320020480e-004	1.520735e-001
6.140670320020479e-004	1.515467e-001
6.640670320020478e-004	1.511478e-001
7.140670320020477e-004	1.509143e-001
7.570591313132728e-004	1.508634e-001
8.014930602109515e-004	1.509692e-001
8.514930602109514e-004	1.512571e-001
9.014930602109513e-004	1.517012e-001
9.764930602109512e-004	1.525621e-001
1.001493060210951e-003	1.528912e-001
1.026493060210951e-003	1.532015e-001
1.051493060210951e-003	1.534932e-001
1.076493060210951e-003	1.537662e-001
1.101493060210952e-003	1.540205e-001
1.126493060210952e-003	1.542562e-001
1.151493060210952e-003	1.544732e-001
1.201493060210952e-003	1.547499e-001
1.242431163848971e-003	1.548451e-001
1.284833602813059e-003	1.547946e-001
1.334833602813060e-003	1.545648e-001
1.384833602813060e-003	1.541685e-001
1.434833602813060e-003	1.536436e-001
1.459833602813060e-003	1.533297e-001
1.484833602813060e-003	1.530225e-001
1.509833602813060e-003	1.527220e-001
1.534833602813060e-003	1.524282e-001
1.559833602813060e-003	1.521411e-001
1.584833602813060e-003	1.518607e-001
1.609833602813060e-003	1.515870e-001
1.659833602813060e-003	1.511755e-001
1.709833602813061e-003	1.509283e-001
1.753416809240473e-003	1.508601e-001
1.795563488894638e-003	1.509469e-001
1.845563488894638e-003	1.512140e-001
1.895563488894638e-003	1.516417e-001
1.970563488894638e-003	1.524891e-001
1.995563488894638e-003	1.528173e-001
2.020563488894638e-003	1.531285e-001
2.045563488894638e-003	1.534227e-001
2.070563488894638e-003	1.536999e-001
2.095563488894637e-003	1.539600e-001
2.120563488894637e-003	1.542031e-001
2.145563488894637e-003	1.544291e-001
2.195563488894637e-003	1.547264e-001
2.238350670043017e-003	1.548404e-001
2.282358767866925e-003	1.548016e-001
2.332358767866925e-003	1.545803e-001
2.382358767866925e-003	1.541916e-001
2.432358767866925e-003	1.536718e-001
2.457358767866924e-003	1.533595e-001
2.482358767866924e-003	1.530532e-001
2.507358767866924e-003	1.527528e-001
2.532358767866924e-003	1.524584e-001
2.557358767866924e-003	1.521700e-001
2.582358767866924e-003	1.518875e-001
2.607358767866923e-003	1.516109e-001
2.657358767866923e-003	1.511923e-001
2.707358767866923e-003	1.509362e-001
2.748603290762245e-003	1.508585e-001
2.788566900597128e-003	1.509236e-001
2.838566900597128e-003	1.511662e-001
2.888566900597127e-003	1.515736e-001
2.938566900597127e-003	1.521062e-001
2.963566900597127e-003	1.524224e-001
2.988566900597127e-003	1.527307e-001
3.013566900597127e-003	1.530312e-001
3.038566900597126e-003	1.533240e-001
3.063566900597126e-003	1.536089e-001
3.088566900597126e-003	1.538861e-001
3.113566900597126e-003	1.541554e-001
3.163566900597126e-003	1.545558e-001
3.213566900597125e-003	1.547910e-001
3.256828663796640e-003	1.548436e-001
3.301117923498014e-003	1.547391e-001
3.351117923498014e-003	1.544525e-001
3.401117923498014e-003	1.540094e-001
3.476117923498013e-003	1.531493e-001
3.501117923498013e-003	1.528203e-001
3.526117923498013e-003	1.525099e-001
3.551117923498013e-003	1.522180e-001
3.576117923498013e-003	1.519448e-001
3.601117923498013e-003	1.516901e-001
3.626117923498012e-003	1.514539e-001
3.651117923498012e-003	1.512364e-001
3.701117923498012e-003	1.509583e-001
3.741820329771786e-003	1.508621e-001
3.784463562231951e-003	1.509111e-001
3.834463562231951e-003	1.511397e-001
3.884463562231951e-003	1.515348e-001
3.934463562231950e-003	1.520590e-001
3.959463562231950e-003	1.523726e-001
3.984463562231950e-003	1.526797e-001
4.009463562231950e-003	1.529802e-001
4.034463562231950e-003	1.532741e-001
4.059463562231950e-003	1.535614e-001
4.084463562231949e-003	1.538421e-001
4.109463562231949e-003	1.541163e-001
4.159463562231949e-003	1.545288e-001
4.209463562231949e-003	1.547773e-001
