Freq.	V(vo)
1.00000000000000e+003	(-5.39790763598350e+001dB,3.67074968726024e-002°)
1.02305972984251e+003	(-5.39790762551680e+001dB,3.75539615760532e-002°)
1.04665121082543e+003	(-5.39790761566501e+001dB,3.84199461359554e-002°)
1.07078670498640e+003	(-5.39790760472523e+001dB,3.93058995039896e-002°)
1.09547875712233e+003	(-5.39790759393133e+001dB,4.02122821595000e-002°)
1.12074020130978e+003	(-5.39790758179466e+001dB,4.11395666709153e-002°)
1.14658416757562e+003	(-5.39790756997003e+001dB,4.20882334873694e-002°)
1.17302408872161e+003	(-5.39790755654570e+001dB,4.30587767296944e-002°)
1.20007370730629e+003	(-5.39790754296622e+001dB,4.40517000435055e-002°)
1.22774708278787e+003	(-5.39790752940835e+001dB,4.50675196351740e-002°)
1.25605859883189e+003	(-5.39790751438147e+001dB,4.61067650576052e-002°)
1.28502297078731e+003	(-5.39790749847976e+001dB,4.71699741116120e-002°)
1.31465525333508e+003	(-5.39790748209868e+001dB,4.82577008735997e-002°)
1.34497084831302e+003	(-5.39790746519269e+001dB,4.93705101848990e-002°)
1.37598551272117e+003	(-5.39790744817011e+001dB,5.05089801436011e-002°)
1.40771536691173e+003	(-5.39790742929783e+001dB,5.16737037851315e-002°)
1.44017690296786e+003	(-5.39790740980369e+001dB,5.28652844930822e-002°)
1.47338699327572e+003	(-5.39790738944355e+001dB,5.40843436818012e-002°)
1.50736289929412e+003	(-5.39790736816460e+001dB,5.53315133608972e-002°)
1.54212228052647e+003	(-5.39790734614991e+001dB,5.66074428565573e-002°)
1.57768320369952e+003	(-5.39790732208272e+001dB,5.79127948301642e-002°)
1.61406415215389e+003	(-5.39790729781344e+001dB,5.92482478242117e-002°)
1.65128403545104e+003	(-5.39790727223756e+001dB,6.06144958595167e-002°)
1.68936219920179e+003	(-5.39790724573431e+001dB,6.20122491361076e-002°)
1.72831843512153e+003	(-5.39790721718887e+001dB,6.34422344381815e-002°)
1.76817299131726e+003	(-5.39790718823209e+001dB,6.49051944207427e-002°)
1.80894658281185e+003	(-5.39790715712132e+001dB,6.64018900147081e-002°)
1.85066040231103e+003	(-5.39790712548192e+001dB,6.79330988895965e-002°)
1.89333613121855e+003	(-5.39790709156014e+001dB,6.94996169788217e-002°)
1.93699595090551e+003	(-5.39790705634900e+001dB,7.11022589506514e-002°)
1.98166255423942e+003	(-5.39790701998324e+001dB,7.27418567102058e-002°)
2.02735915737920e+003	(-5.39790698154940e+001dB,7.44192628356426e-002°)
2.07410951184210e+003	(-5.39790694033696e+001dB,7.61353502704450e-002°)
2.12193791684895e+003	(-5.39790689879668e+001dB,7.78910099442400e-002°)
2.17086923195406e+003	(-5.39790685388877e+001dB,7.96871544894655e-002°)
2.22092888996634e+003	(-5.39790680806106e+001dB,8.15247171793776e-002°)
2.27214291016839e+003	(-5.39790675974088e+001dB,8.34046537191053e-002°)
2.32453791184044e+003	(-5.39790670883520e+001dB,8.53279413178445e-002°)
2.37814112809615e+003	(-5.39790665608330e+001dB,8.72955786397757e-002°)
2.43298042003741e+003	(-5.39790660137707e+001dB,8.93085893048279e-002°)
2.48908429123558e+003	(-5.39790654292773e+001dB,9.13680197559057e-002°)
2.54648190254671e+003	(-5.39790648124854e+001dB,9.34749400741703e-002°)
2.60520308726827e+003	(-5.39790641789983e+001dB,9.56304446826501e-002°)
2.66527836664555e+003	(-5.39790635149544e+001dB,9.78356547596708e-002°)
2.72673896573547e+003	(-5.39790628126538e+001dB,1.00091716169488e-001°)
2.78961682963638e+003	(-5.39790620876043e+001dB,1.02399801502567e-001°)
2.85394464009191e+003	(-5.39790613193811e+001dB,1.04761110614670e-001°)
2.91975583247790e+003	(-5.39790605127868e+001dB,1.07176871332537e-001°)
2.98708461318093e+003	(-5.39790596851592e+001dB,1.09648337394584e-001°)
3.05596597737760e+003	(-5.39790588095742e+001dB,1.12176795165439e-001°)
3.12643572722382e+003	(-5.39790578884850e+001dB,1.14763558234219e-001°)
