Freq.	V(vo)
1.00000000000000e+003	2.00007413179007e-003,1.28138103026864e-006
1.02305972984251e+003	2.00007413674255e-003,1.31092933327212e-006
1.04665121082543e+003	2.00007413938577e-003,1.34115903254013e-006
1.07078670498640e+003	2.00007414359929e-003,1.37208580264523e-006
1.09547875712233e+003	2.00007414649830e-003,1.40372571606390e-006
1.12074020130978e+003	2.00007415146500e-003,1.43609527159827e-006
1.14658416757562e+003	2.00007415464112e-003,1.46921123805671e-006
1.17302408872161e+003	2.00007416037876e-003,1.50309086741662e-006
1.20007370730629e+003	2.00007416529926e-003,1.53775173850509e-006
1.22774708278787e+003	2.00007416894079e-003,1.57321187068567e-006
1.25605859883189e+003	2.00007417467843e-003,1.60948975228012e-006
1.28502297078731e+003	2.00007418108397e-003,1.64660415582731e-006
1.31465525333508e+003	2.00007418718398e-003,1.68457442230025e-006
1.34497084831302e+003	2.00007419301754e-003,1.72342026925963e-006
1.37598551272117e+003	2.00007419757567e-003,1.76316187611891e-006
1.40771536691173e+003	2.00007420477702e-003,1.80381994809315e-006
1.44017690296786e+003	2.00007421171902e-003,1.84541554566879e-006
1.47338699327572e+003	2.00007421888485e-003,1.88797036171528e-006
1.50736289929412e+003	2.00007422631357e-003,1.93150645858432e-006
1.54212228052647e+003	2.00007423349716e-003,1.97604650258889e-006
1.57768320369952e+003	2.00007424337725e-003,2.02161362900019e-006
1.61406415215389e+003	2.00007425159823e-003,2.06823152020733e-006
1.65128403545104e+003	2.00007426060436e-003,2.11592440571729e-006
1.68936219920179e+003	2.00007426941865e-003,2.16471707636583e-006
1.72831843512153e+003	2.00007428049956e-003,2.21463490563374e-006
1.76817299131726e+003	2.00007428997820e-003,2.26570381411970e-006
1.80894658281185e+003	2.00007430174834e-003,2.31795036901630e-006
1.85066040231103e+003	2.00007431194285e-003,2.37140171305569e-006
1.89333613121855e+003	2.00007432446972e-003,2.42608563556396e-006
1.93699595090551e+003	2.00007433690600e-003,2.48203057246103e-006
1.98166255423942e+003	2.00007434879871e-003,2.53926556362816e-006
2.02735915737920e+003	2.00007436210184e-003,2.59782037370021e-006
2.07410951184210e+003	2.00007437829511e-003,2.65772547785474e-006
2.12193791684895e+003	2.00007439157160e-003,2.71901196944149e-006
2.17086923195406e+003	2.00007440875963e-003,2.78171171630178e-006
2.22092888996634e+003	2.00007442404341e-003,2.84585728971421e-006
2.27214291016839e+003	2.00007444085662e-003,2.91148205676527e-006
2.32453791184044e+003	2.00007445921705e-003,2.97862013061128e-006
2.37814112809615e+003	2.00007447721687e-003,3.04730637047844e-006
2.43298042003741e+003	2.00007449488985e-003,3.11757650956050e-006
2.48908429123558e+003	2.00007451612975e-003,3.18946708396449e-006
2.54648190254671e+003	2.00007453951904e-003,3.26301544692158e-006
2.60520308726827e+003	2.00007456121813e-003,3.33825979720879e-006
2.66527836664555e+003	2.00007458416066e-003,3.41523927862495e-006
2.72673896573547e+003	2.00007460984945e-003,3.49399389472561e-006
2.78961682963638e+003	2.00007463443067e-003,3.57456457277186e-006
2.85394464009191e+003	2.00007466231148e-003,3.65699320636288e-006
2.91975583247790e+003	2.00007469207612e-003,3.74132265543598e-006
2.98708461318093e+003	2.00007471940804e-003,3.82759667876502e-006
3.05596597737760e+003	2.00007475016743e-003,3.91586019330850e-006
3.12643572722382e+003	2.00007478343416e-003,4.00615905394132e-006
3.19853049046357e+003	2.00007481731106e-003,4.09854019911603e-006
3.27228773946669e+003	2.00007485137270e-003,4.19305162244115e-006
3.34774581070574e+003	2.00007489003067e-003,4.28974249702610e-006
3.42494392468201e+003	2.00007492753045e-003,4.38866302626729e-006
3.50392220631091e+003	2.00007496876680e-003,4.48986467122172e-006
3.58472170577761e+003	2.00007501138870e-003,4.59340000139306e-006
3.66738441987342e+003	2.00007505593663e-003,4.69932286881462e-006
3.75195331382432e+003	2.00007510151528e-003,4.80768829080976e-006
3.83847234362282e+003	2.00007515207040e-003,4.91855263828574e-006
3.92698647887470e+003	2.00007520138073e-003,5.03197347230889e-006
4.01754172617274e+003	2.00007525532558e-003,5.14800981411084e-006
4.11018515300928e+003	2.00007530963725e-003,5.26672192126758e-006
4.20496491224037e+003	2.00007536778585e-003,5.38817155060024e-006
4.30193026711386e+003	2.00007542986464e-003,5.51242181251385e-006
4.40113161687481e+003	2.00007549401954e-003,5.63953727757874e-006
4.50262052296127e+003	2.00007556035981e-003,5.76958401205769e-006
4.60644973580409e+003	2.00007563140032e-003,5.90262965251289e-006
4.71267322224483e+003	2.00007570385925e-003,6.03874331343543e-006
4.82134619358582e+003	2.00007578318069e-003,6.17799579685535e-006
4.93252513428712e+003	2.00007586172364e-003,6.32045939338972e-006
5.04626783132516e+003	2.00007594639680e-003,6.46620825527755e-006
5.16263340422846e+003	2.00007603345139e-003,6.61531807308286e-006
5.28168233580588e+003	2.00007612641147e-003,6.76786639899160e-006
5.40347650358351e+003	2.00007622348005e-003,6.92393250825584e-006
