Time (s),Channel 1 (V)
-0.000286706,4.966284497
-0.000286636,4.958802829
-0.000286566,4.958802829
-0.000286496,4.962543663
-0.000286426,4.966284497
-0.000286356,4.970025331
-0.000286286,4.970025331
-0.000286216,4.973766165
-0.000286146,4.973766165
-0.000286076,4.973766165
-0.000286006,4.973766165
-0.000285936,4.966284497
-0.000285866,4.947580327
-0.000285796,4.93261699
-0.000285726,4.925135322
-0.000285656,4.925135322
-0.000285586,4.906431152
-0.000285516,4.902690318
-0.000285446,4.89520865
-0.000285376,4.89520865
-0.000285306,4.887726981
-0.000285236,4.883986147
-0.000285166,4.883986147
-0.000285096,4.869022811
-0.000285026,4.865281977
-0.000284956,4.857800309
-0.000284886,4.857800309
-0.000284816,4.842836972
-0.000284746,4.835355304
-0.000284676,4.824132802
-0.000284606,4.809169466
-0.000284536,4.790465295
-0.000284466,4.768020291
-0.000284396,4.723130282
-0.000284326,4.637091098
-0.000284256,4.487457735
-0.000284186,4.289193528
-0.000284116,4.064743483
-0.000284046,3.836552604
-0.000283976,3.615843394
-0.000283906,3.395134183
-0.000283836,3.166943304
-0.000283766,2.946234093
-0.000283696,2.740488219
-0.000283626,2.538483178
-0.000283556,2.36640481
-0.000283486,2.198067277
-0.000283416,2.044693079
-0.000283346,1.910023052
-0.000283276,1.782834694
-0.000283206,1.663128003
-0.000283136,1.547162146
-0.000283066,1.442418792
-0.000282996,1.333934604
-0.000282926,1.217968747
-0.000282856,1.102002891
-0.000282786,0.993518702
-0.000282716,0.870071178
-0.000282646,0.746623653
-0.000282576,0.619435294
-0.000282506,0.488506101
-0.000282436,0.357576909
-0.000282366,0.222906882
-0.000282296,0.091977689
-0.000282226,-0.05391484
-0.000282156,-0.203548204
-0.000282086,-0.341959065
-0.000282016,-0.480369926
-0.000281946,-0.630003289
-0.000281876,-0.790859155
-0.000281806,-0.940492518
-0.000281736,-1.097607549
-0.000281666,-1.254722581
-0.000281596,-1.404355944
-0.000281526,-1.565211809
-0.000281456,-1.718586007
-0.000281386,-1.864478536
-0.000281316,-2.017852733
-0.000281246,-2.171226931
-0.000281176,-2.33582363
-0.000281106,-2.485456994
-0.000281036,-2.631349523
-0.000280966,-2.78472372
-0.000280896,-2.941838751
-0.000280826,-3.095212949
-0.000280756,-3.259809648
-0.000280686,-3.41692468
-0.000280616,-3.574039711
-0.000280546,-3.723673075
-0.000280476,-3.873306438
-0.000280406,-4.011717299
-0.000280336,-4.157609828
-0.000280266,-4.284798187
-0.000280196,-4.404504877
-0.000280126,-4.501766564
-0.000280056,-4.576583245
-0.000279986,-4.632695756
-0.000279916,-4.677585765
-0.000279846,-4.711253272
-0.000279776,-4.733698277
-0.000279706,-4.763624949
-0.000279636,-4.786069954
-0.000279566,-4.804774124
-0.000279496,-4.804774124
-0.000279426,-4.81973746
-0.000279356,-4.815996626
-0.000279286,-4.815996626
-0.000279216,-4.823478295
-0.000279146,-4.834700797
-0.000279076,-4.834700797
-0.000279006,-4.842182465
-0.000278936,-4.849664133
-0.000278866,-4.853404967
-0.000278796,-4.868368304
-0.000278726,-4.875849972
-0.000278656,-4.875849972
-0.000278586,-4.879590806
-0.000278516,-4.88333164
-0.000278446,-4.890813308
-0.000278376,-4.88333164
-0.000278306,-4.887072474
