time	V(vout)
0.00E+00	5.71171E-07
2.70E-03	5.33586E-06
2.70E-03	1.74763E-07
2.71E-03	-2.90693E-06
2.72E-03	-3.90921E-06
2.73E-03	-2.83209E-06
2.74E-03	3.24432E-07
2.75E-03	5.56036E-06
2.76E-03	1.28757E-05
2.76E-03	-9.04004E-07
2.77E-03	-9.55399E-06
2.78E-03	-1.30743E-05
2.78E-03	-1.14648E-05
2.79E-03	-4.72571E-06
2.80E-03	7.14314E-06
2.80E-03	2.41417E-05
2.81E-03	1.63903E-05
2.81E-03	8.55895E-06
2.82E-03	6.47757E-07
2.82E-03	-7.34332E-06
2.83E-03	-1.54143E-05
2.83E-03	-2.35651E-05
2.84E-03	-3.17959E-05
2.84E-03	-1.55487E-05
2.84E-03	-1.06483E-06
2.85E-03	1.16557E-05
2.85E-03	2.26128E-05
2.85E-03	3.18066E-05
2.86E-03	3.9237E-05
2.86E-03	4.49041E-05
2.86E-03	2.81323E-05
2.87E-03	1.17927E-05
2.87E-03	-4.11487E-06
2.87E-03	-1.95903E-05
2.88E-03	-3.46335E-05
2.88E-03	-4.92446E-05
2.88E-03	-6.34236E-05
2.89E-03	-3.24056E-05
2.90E-03	5.76796E-05
2.91E-03	8.84947E-05
2.92E-03	6.11757E-05
2.93E-03	-6.07524E-05
2.93E-03	-0.000111395
2.94E-03	-0.000115189
2.94E-03	-5.68422E-05
2.95E-03	0.000113012
2.96E-03	0.000163294
2.96E-03	0.00015198
2.97E-03	5.09293E-05
2.98E-03	-0.000113933
2.98E-03	-0.000208005
2.99E-03	-0.000226537
2.99E-03	-0.000220716
2.99E-03	-0.000190226
3.00E-03	-0.000119741
3.00E-03	0.000108155
3.01E-03	0.000197486
3.01E-03	0.00025793
3.01E-03	0.000299486
3.01E-03	0.000314833
3.02E-03	0.000299273
3.02E-03	0.000245496
3.02E-03	0.000141308
3.03E-03	-5.06295E-06
3.03E-03	-0.000185741
3.03E-03	-0.000297627
3.03E-03	-0.000376097
3.04E-03	-0.00042314
3.04E-03	-0.000429039
3.04E-03	-0.000392268
3.05E-03	-0.000293455
3.05E-03	-0.000133435
3.05E-03	9.0691E-05
