time	V(vout)
0.00E+00	6.96949E-07
5.12E-04	3.29555E-06
5.18E-04	1.22671E-05
5.23E-04	1.57481E-05
5.29E-04	1.37386E-05
5.34E-04	6.23868E-06
5.40E-04	-6.75173E-06
5.45E-04	-2.52326E-05
5.51E-04	-4.9204E-05
5.58E-04	-5.27579E-05
5.65E-04	-4.2395E-06
5.76E-04	0.000158518
5.79E-04	0.000205866
5.83E-04	0.000225549
5.87E-04	0.000201124
5.90E-04	0.00011562
5.94E-04	-2.16419E-05
5.98E-04	-0.000231292
6.01E-04	-0.000454846
6.05E-04	-0.000698357
6.08E-04	-0.000854285
6.12E-04	-0.000879841
6.16E-04	-0.000710314
6.19E-04	-0.000319017
6.23E-04	0.000329312
6.26E-04	0.001147531
6.30E-04	0.002098873
6.34E-04	0.0029756
6.38E-04	0.003465127
6.41E-04	0.003304736
6.45E-04	0.002315196
6.49E-04	0.000336277
6.52E-04	-0.00254344
6.56E-04	-0.006035707
6.59E-04	-0.009749437
6.63E-04	-0.012831
6.67E-04	-0.01375935
6.71E-04	-0.01177829
6.74E-04	-0.006347685
6.78E-04	0.002966392
6.81E-04	0.01551498
6.85E-04	0.02997487
6.89E-04	0.04421643
6.93E-04	0.05316265
6.96E-04	0.05329055
7.00E-04	0.04123693
7.03E-04	0.01393906
7.07E-04	-0.02700223
7.11E-04	-0.07952284
7.14E-04	-0.137771
7.18E-04	-0.1854695
7.21E-04	-0.2141563
7.25E-04	-0.2160265
7.25E-04	-0.2141611
7.26E-04	-0.2072782
7.27E-04	-0.1905797
7.27E-04	-0.1855468
7.27E-04	-0.182755
7.28E-04	-0.1739796
7.28E-04	-0.1629584
7.29E-04	-0.1394318
7.30E-04	-0.1021141
7.32E-04	-0.05360948
7.34E-04	0.04830282
7.36E-04	0.1520239
7.38E-04	0.2723729
7.41E-04	0.4585676
7.44E-04	0.6506721
7.47E-04	0.8068082
7.50E-04	0.8722215
7.54E-04	0.8308554
7.54E-04	0.8207486
7.54E-04	0.7897024
7.55E-04	0.718406
7.56E-04	0.6999742
7.56E-04	0.657633
7.57E-04	0.5640627
7.57E-04	0.5581773
7.57E-04	0.5522176
7.57E-04	0.5461834
7.57E-04	0.5400748
7.57E-04	0.5338918
7.57E-04	0.5276343
7.57E-04	0.5213025
7.58E-04	0.4806267
7.58E-04	0.4257301
7.59E-04	0.3503295
7.59E-04	0.2781514
7.60E-04	0.1761354
7.60E-04	0.05721888
7.61E-04	-0.07025411
7.62E-04	-0.2654334
7.63E-04	-0.4900689
7.65E-04	-0.9809182
7.67E-04	-1.526291
7.70E-04	-2.236557
7.73E-04	-2.99868
7.77E-04	-3.480907
7.80E-04	-3.348893
7.84E-04	-2.374623
7.88E-04	-0.7254519
7.88E-04	-0.6354137
7.88E-04	-0.5441137
7.88E-04	-0.4515519
7.88E-04	-0.3577282
7.88E-04	-0.2626426
