,,,,,,,,,,,,Frequency,vm(vout),ph(v(vout))
Frequency (Hz),Channel 1 Magnitude (V),Channel 2 Magnitude (V),Channel 2 Phase (deg),,,,,Frequency,vm(vout),ph(v(vout)),,Hz,Volts,deg
1,0.100283508,0.149942324,-0.030673147,,,,,Hz,Volts,deg,,1,0.149942324,-0.030673147
1.023292992,0.100247448,0.149974836,-0.04605746,,,,,,,,,1.023292992,0.149974836,-0.04605746
1.047128548,0.100252685,0.149982407,-0.045948608,,,,,,,,,1.047128548,0.149982407,-0.045948608
1.071519305,0.100258086,0.149962693,-0.044084307,,,,,,,,,1.071519305,0.149962693,-0.044084307
1.096478196,0.100268875,0.149958887,-0.034946467,,,,,,,,,1.096478196,0.149958887,-0.034946467
1.122018454,0.100261879,0.149959229,-0.04901327,,,,,,,,,1.122018454,0.149959229,-0.04901327
1.148153621,0.100263115,0.149978657,-0.049357621,,,,,,,,,1.148153621,0.149978657,-0.049357621
1.174897555,0.100262506,0.149955154,-0.052613988,,,,,,,,,1.174897555,0.149955154,-0.052613988
1.202264435,0.100278815,0.149959935,-0.034985462,,,,,,,,,1.202264435,0.149959935,-0.034985462
1.230268771,0.100270648,0.149952449,-0.038502777,,,,,,,,,1.230268771,0.149952449,-0.038502777
1.258925412,0.100268048,0.149953227,-0.03338566,,,,,,,,,1.258925412,0.149953227,-0.03338566
1.288249552,0.100268099,0.149951428,-0.049870285,,,,,,,,,1.288249552,0.149951428,-0.049870285
1.318256739,0.100268029,0.149954901,-0.045210592,,,,,,,,,1.318256739,0.149954901,-0.045210592
1.348962883,0.100270164,0.149951577,-0.040252999,,,,,,,,,1.348962883,0.149951577,-0.040252999
1.380384265,0.100270511,0.149934372,-0.04763805,,,,,,,,,1.380384265,0.149934372,-0.04763805
1.412537545,0.100250715,0.149974344,-0.051192331,,,,,,,,,1.412537545,0.149974344,-0.051192331
1.445439771,0.100254113,0.149968072,-0.054007079,,,,,,,,,1.445439771,0.149968072,-0.054007079
1.479108388,0.100256762,0.149972765,-0.049172075,,,,,,,,,1.479108388,0.149972765,-0.049172075
1.513561248,0.100259534,0.149948812,-0.051211506,,,,,,,,,1.513561248,0.149948812,-0.051211506
1.548816619,0.100281839,0.149940999,-0.057741002,,,,,,,,,1.548816619,0.149940999,-0.057741002
1.584893192,0.100271788,0.149951377,-0.0564406,,,,,,,,,1.584893192,0.149951377,-0.0564406
1.621810097,0.100255832,0.149964346,-0.064900113,,,,,,,,,1.621810097,0.149964346,-0.064900113
1.659586907,0.1002717,0.149974056,-0.069128418,,,,,,,,,1.659586907,0.149974056,-0.069128418
1.698243652,0.1002634,0.149958817,-0.065348656,,,,,,,,,1.698243652,0.149958817,-0.065348656
1.737800829,0.100269708,0.149952516,-0.065663788,,,,,,,,,1.737800829,0.149952516,-0.065663788
1.77827941,0.100259613,0.149959845,-0.06200763,,,,,,,,,1.77827941,0.149959845,-0.06200763
1.819700859,0.100255583,0.149951934,-0.074139294,,,,,,,,,1.819700859,0.149951934,-0.074139294
1.862087137,0.100276836,0.149952151,-0.066360805,,,,,,,,,1.862087137,0.149952151,-0.066360805
1.905460718,0.100289773,0.149928746,-0.066625389,,,,,,,,,1.905460718,0.149928746,-0.066625389
1.9498446,0.100269843,0.149947509,-0.070204356,,,,,,,,,1.9498446,0.149947509,-0.070204356
1.995262315,0.100282914,0.149935421,-0.06304886,,,,,,,,,1.995262315,0.149935421,-0.06304886
