Freq.	V(vout)
1.00000000000000e+000	1.50000057475441e+000,-9.44292619358098e-004
1.02305972984251e+000	1.50000054696491e+000,-9.66067734118053e-004
1.04665121082543e+000	1.50000051787900e+000,-9.88344975872155e-004
1.07078670498640e+000	1.50000048743620e+000,-1.01113592344327e-003
1.09547875712233e+000	1.50000045557321e+000,-1.03445242265267e-003
1.12074020130978e+000	1.50000042222378e+000,-1.05830659247597e-003
1.14658416757562e+000	1.50000038731855e+000,-1.08271083134203e-003
1.17302408872161e+000	1.50000035078494e+000,-1.10767782357629e-003
1.20007370730629e+000	1.50000031254702e+000,-1.13322054599265e-003
1.22774708278787e+000	1.50000027252525e+000,-1.15935227463833e-003
1.25605859883189e+000	1.50000023063641e+000,-1.18608659169269e-003
1.28502297078731e+000	1.50000018679342e+000,-1.21343739252640e-003
1.31465525333508e+000	1.50000014090509e+000,-1.24141889292252e-003
1.34497084831302e+000	1.50000009287602e+000,-1.27004563646452e-003
1.37598551272117e+000	1.50000004260634e+000,-1.29933250209426e-003
1.40771536691173e+000	1.49999998999152e+000,-1.32929471184460e-003
1.44017690296786e+000	1.49999993492216e+000,-1.35994783874986e-003
1.47338699327572e+000	1.49999987728375e+000,-1.39130781493891e-003
1.50736289929412e+000	1.49999981695646e+000,-1.42339093991439e-003
1.54212228052647e+000	1.49999975381481e+000,-1.45621388902380e-003
1.57768320369952e+000	1.49999968772755e+000,-1.48979372212417e-003
1.61406415215389e+000	1.49999961855723e+000,-1.52414789244815e-003
1.65128403545104e+000	1.49999954616005e+000,-1.55929425567323e-003
1.68936219920179e+000	1.49999947038546e+000,-1.59525107920097e-003
1.72831843512153e+000	1.49999939107590e+000,-1.63203705164891e-003
1.76817299131726e+000	1.49999930806646e+000,-1.66967129256261e-003
1.80894658281185e+000	1.49999922118454e+000,-1.70817336235059e-003
1.85066040231103e+000	1.49999913024949e+000,-1.74756327244810e-003
1.89333613121855e+000	1.49999903507222e+000,-1.78786149571605e-003
1.93699595090551e+000	1.49999893545481e+000,-1.82908897707904e-003
1.98166255423942e+000	1.49999883119016e+000,-1.87126714440773e-003
2.02735915737920e+000	1.49999872206145e+000,-1.91441791965398e-003
2.07410951184210e+000	1.49999860784176e+000,-1.95856373024049e-003
2.12193791684895e+000	1.49999848829362e+000,-2.00372752071389e-003
2.17086923195407e+000	1.49999836316843e+000,-2.04993276466671e-003
2.22092888996634e+000	1.49999823220601e+000,-2.09720347693291e-003
2.27214291016839e+000	1.49999809513407e+000,-2.14556422606536e-003
2.32453791184044e+000	1.49999795166758e+000,-2.19504014710033e-003
2.37814112809615e+000	1.49999780150823e+000,-2.24565695461616e-003
2.43298042003741e+000	1.49999764434381e+000,-2.29744095609275e-003
2.48908429123558e+000	1.49999747984751e+000,-2.35041906557866e-003
2.54648190254671e+000	1.49999730767728e+000,-2.40461881767363e-003
2.60520308726827e+000	1.49999712747516e+000,-2.46006838183159e-003
2.66527836664555e+000	1.49999693886644e+000,-2.51679657699522e-003
2.72673896573548e+000	1.49999674145894e+000,-2.57483288656656e-003
2.78961682963638e+000	1.49999653484220e+000,-2.63420747372115e-003
2.85394464009191e+000	1.49999631858660e+000,-2.69495119707707e-003
2.91975583247790e+000	1.49999609224247e+000,-2.75709562672370e-003
2.98708461318093e+000	1.49999585533920e+000,-2.82067306061832e-003
3.05596597737760e+000	1.49999560738418e+000,-2.88571654136305e-003
3.12643572722382e+000	1.49999534786185e+000,-2.95225987336560e-003
3.19853049046357e+000	1.49999507623258e+000,-3.02033764039533e-003
3.27228773946669e+000	1.49999479193158e+000,-3.08998522354495e-003
3.34774581070574e+000	1.49999449436772e+000,-3.16123881960354e-003
3.42494392468201e+000	1.49999418292226e+000,-3.23413545985460e-003
3.50392220631091e+000	1.49999385694764e+000,-3.30871302930456e-003
