Freq.	V(vout)
1.00000000000000e+000	(3.52183023041540e+000dB,-3.60693025575631e-002°)
1.02305972984251e+000	(3.52183014979075e+000dB,-3.69010507013230e-002°)
1.04665121082543e+000	(3.52183006540484e+000dB,-3.77519787163786e-002°)
1.07078670498640e+000	(3.52182997708228e+000dB,-3.86225288842298e-002°)
1.09547875712233e+000	(3.52182988463931e+000dB,-3.95131536851966e-002°)
1.12074020130978e+000	(3.52182978788382e+000dB,-4.04243160335752e-002°)
1.14658416757562e+000	(3.52182968661453e+000dB,-4.13564895182570e-002°)
1.17302408872161e+000	(3.52182958062087e+000dB,-4.23101586488630e-002°)
1.20007370730629e+000	(3.52182946968259e+000dB,-4.32858191075580e-002°)
1.22774708278787e+000	(3.52182935356885e+000dB,-4.42839780067073e-002°)
1.25605859883189e+000	(3.52182923203829e+000dB,-4.53051541524144e-002°)
1.28502297078731e+000	(3.52182910483816e+000dB,-4.63498783141882e-002°)
1.31465525333508e+000	(3.52182897170400e+000dB,-4.74186935007939e-002°)
1.34497084831302e+000	(3.52182883235895e+000dB,-4.85121552424854e-002°)
1.37598551272117e+000	(3.52182868651331e+000dB,-4.96308318797280e-002°)
1.40771536691173e+000	(3.52182853386379e+000dB,-5.07753048585978e-002°)
1.44017690296786e+000	(3.52182837409300e+000dB,-5.19461690329739e-002°)
1.47338699327572e+000	(3.52182820686869e+000dB,-5.31440329737096e-002°)
1.50736289929412e+000	(3.52182803184324e+000dB,-5.43695192849171e-002°)
1.54212228052647e+000	(3.52182784865258e+000dB,-5.56232649275835e-002°)
1.57768320369952e+000	(3.52182765691589e+000dB,-5.69059215505826e-002°)
1.61406415215389e+000	(3.52182745623443e+000dB,-5.82181558293875e-002°)
1.65128403545104e+000	(3.52182724619101e+000dB,-5.95606498125391e-002°)
1.68936219920179e+000	(3.52182702634875e+000dB,-6.09341012761508e-002°)
1.72831843512153e+000	(3.52182679625067e+000dB,-6.23392240865283e-002°)
1.76817299131726e+000	(3.52182655541822e+000dB,-6.37767485712138e-002°)
1.80894658281185e+000	(3.52182630335062e+000dB,-6.52474218985396e-002°)
1.85066040231103e+000	(3.52182603952381e+000dB,-6.67520084659354e-002°)
1.89333613121855e+000	(3.52182576338920e+000dB,-6.82912902972169e-002°)
1.93699595090551e+000	(3.52182547437252e+000dB,-6.98660674490185e-002°)
1.98166255423942e+000	(3.52182517187294e+000dB,-7.14771584265600e-002°)
2.02735915737920e+000	(3.52182485526140e+000dB,-7.31254006090805e-002°)
2.07410951184210e+000	(3.52182452387955e+000dB,-7.48116506849975e-002°)
2.12193791684895e+000	(3.52182417703842e+000dB,-7.65367850971339e-002°)
2.17086923195407e+000	(3.52182381401672e+000dB,-7.83017004982318e-002°)
2.22092888996634e+000	(3.52182343405966e+000dB,-8.01073142169163e-002°)
2.27214291016839e+000	(3.52182303637717e+000dB,-8.19545647344412e-002°)
2.32453791184044e+000	(3.52182262014236e+000dB,-8.38444121724090e-002°)
2.37814112809615e+000	(3.52182218448972e+000dB,-8.57778387917369e-002°)
2.43298042003741e+000	(3.52182172851342e+000dB,-8.77558495031239e-002°)
2.48908429123558e+000	(3.52182125126534e+000dB,-8.97794723892836e-002°)
2.54648190254671e+000	(3.52182075175304e+000dB,-9.18497592392350e-002°)
2.60520308726827e+000	(3.52182022893800e+000dB,-9.39677860948481e-002°)
2.66527836664555e+000	(3.52181968173313e+000dB,-9.61346538100742e-002°)
2.72673896573548e+000	(3.52181910900048e+000dB,-9.83514886230245e-002°)
2.78961682963638e+000	(3.52181850954927e+000dB,-1.00619442741187e-001°)
2.85394464009191e+000	(3.52181788213305e+000dB,-1.02939694940220e-001°)
2.91975583247790e+000	(3.52181722544711e+000dB,-1.05313451176511e-001°)
2.98708461318093e+000	(3.52181653812617e+000dB,-1.07741945213789e-001°)
3.05596597737760e+000	(3.52181581874099e+000dB,-1.10226439264318e-001°)
3.12643572722382e+000	(3.52181506579571e+000dB,-1.12768224644742e-001°)
3.19853049046357e+000	(3.52181427772477e+000dB,-1.15368622447080e-001°)
3.27228773946669e+000	(3.52181345288951e+000dB,-1.18028984225233e-001°)
3.34774581070574e+000	(3.52181258957488e+000dB,-1.20750692697231e-001°)
3.42494392468201e+000	(3.52181168598575e+000dB,-1.23535162463754e-001°)
3.50392220631091e+000	(3.52181074024328e+000dB,-1.26383840743126e-001°)
3.58472170577761e+000	(3.52180975038100e+000dB,-1.29298208123276e-001°)
3.66738441987342e+000	(3.52180871434074e+000dB,-1.32279779331060e-001°)
3.75195331382433e+000	(3.52180762996812e+000dB,-1.35330104019281e-001°)
3.83847234362282e+000	(3.52180649500860e+000dB,-1.38450767571774e-001°)
3.92698647887470e+000	(3.52180530710211e+000dB,-1.41643391927221e-001°)
4.01754172617274e+000	(3.52180406377866e+000dB,-1.44909636421734e-001°)
4.11018515300929e+000	(3.52180276245311e+000dB,-1.48251198650973e-001°)
4.20496491224037e+000	(3.52180140041955e+000dB,-1.51669815352126e-001°)
4.30193026711386e+000	(3.52179997484592e+000dB,-1.55167263306157e-001°)
4.40113161687482e+000	(3.52179848276802e+000dB,-1.58745360260846e-001°)
4.50262052296127e+000	(3.52179692108346e+000dB,-1.62405965875103e-001°)
4.60644973580409e+000	(3.52179528654500e+000dB,-1.66150982685055e-001°)
4.71267322224483e+000	(3.52179357575406e+000dB,-1.69982357092310e-001°)
4.82134619358582e+000	(3.52179178515334e+000dB,-1.73902080375088e-001°)
4.93252513428712e+000	(3.52178991101969e+000dB,-1.77912189722517e-001°)
5.04626783132516e+000	(3.52178794945640e+000dB,-1.82014769292796e-001°)
5.16263340422846e+000	(3.52178589638464e+000dB,-1.86211951295841e-001°)
5.28168233580588e+000	(3.52178374753563e+000dB,-1.90505917100568e-001°)
5.40347650358351e+000	(3.52178149844147e+000dB,-1.94898898367935e-001°)
5.52807921196649e+000	(3.52177914442549e+000dB,-1.99393178210046e-001°)
5.65555522514243e+000	(3.52177668059320e+000dB,-2.03991092375718e-001°)
5.78597080074360e+000	(3.52177410182169e+000dB,-2.08695030463551e-001°)
5.91939372428539e+000	(3.52177140274900e+000dB,-2.13507437162870e-001°)
6.05589334439885e+000	(3.52176857776307e+000dB,-2.18430813523159e-001°)
6.19554060887574e+000	(3.52176562099008e+000dB,-2.23467718252736e-001°)
6.33840810154470e+000	(3.52176252628226e+000dB,-2.28620769047301e-001°)
6.48457007999789e+000	(3.52175928720488e+000dB,-2.33892643949130e-001°)
6.63410251418746e+000	(3.52175589702328e+000dB,-2.39286082737335e-001°)
6.78708312591213e+000	(3.52175234868835e+000dB,-2.44803888350385e-001°)
6.94359142921431e+000	(3.52174863482243e+000dB,-2.50448928341011e-001°)
7.10370877170875e+000	(3.52174474770360e+000dB,-2.56224136364813e-001°)
7.26751837686421e+000	(3.52174067924965e+000dB,-2.62132513703057e-001°)
7.43510538726017e+000	(3.52173642100258e+000dB,-2.68177130820290e-001°)
7.60655690884097e+000	(3.52173196410644e+000dB,-2.74361128958073e-001°)
7.78196205619051e+000	(3.52172729929563e+000dB,-2.80687721764967e-001°)
7.96141199885091e+000	(3.52172241687113e+000dB,-2.87160196964297e-001°)
