Frequency,Manitude,Phase
Hz,dB,degree
1,6.009183351,-0.128245363
1.023292992,6.008513621,-0.131197108
1.047128548,6.008604029,-0.133304269
1.071519305,6.007614558,-0.131746769
1.096478196,6.005697096,-0.134240891
1.122018454,6.00905802,-0.132749637
1.148153621,6.006812935,-0.134565033
1.174897555,6.008677059,-0.145240318
1.202264435,6.005868611,-0.156014612
1.230268771,6.006647745,-0.149140283
1.258925412,6.008566045,-0.155029358
1.288249552,6.0068441,-0.161064515
1.318256739,6.008871952,-0.156246476
1.348962883,6.00885436,-0.162901462
1.380384265,6.006616551,-0.17010413
1.412537545,6.008370347,-0.162921476
1.445439771,6.006406397,-0.183158266
1.479108388,6.008428824,-0.175943315
1.513561248,6.008398549,-0.200855126
1.548816619,6.006734584,-0.18227394
1.584893192,6.006651008,-0.193012268
1.621810097,6.007719703,-0.194235022
1.659586907,6.008102997,-0.199925072
1.698243652,6.006785048,-0.207168797
1.737800829,6.008068516,-0.208889575
1.77827941,6.007507058,-0.210701138
1.819700859,6.007200874,-0.222222823
1.862087137,6.007498391,-0.212825065
1.905460718,6.005807955,-0.229659974
1.9498446,6.007550163,-0.229650148
1.995262315,6.007369684,-0.242592616
2.041737945,6.00577166,-0.237567177
2.089296131,6.006405564,-0.24860874
2.13796209,6.00724339,-0.260711811
2.187761624,6.007437185,-0.265715588
2.238721139,6.006986611,-0.269509762
2.290867653,6.006583699,-0.277417567
2.344228815,6.007298451,-0.288257966
2.398832919,6.005589244,-0.277917503
2.454708916,6.007386657,-0.299409318
2.511886432,6.006770918,-0.30418995
2.570395783,6.0074863,-0.317675769
2.630267992,6.006944992,-0.307235245
2.691534804,6.008614919,-0.330544603
2.754228703,6.00912081,-0.324504408
2.818382931,6.007169695,-0.338560326
2.884031503,6.005364853,-0.347832793
2.951209227,6.007182922,-0.348755331
3.01995172,6.00779804,-0.35551228
3.090295433,6.009544347,-0.373959878
3.16227766,6.007844016,-0.372901062
3.235936569,6.006926334,-0.392159916
3.311311215,6.007356664,-0.394608578
3.388441561,6.007245738,-0.412755686
3.467368505,6.006601887,-0.42485582
3.548133892,6.006380013,-0.434407403
3.630780548,6.006485947,-0.43955029
3.715352291,6.006463955,-0.449514182
3.801893963,6.006858245,-0.467072938
3.89045145,6.007979343,-0.464235895
3.981071706,6.007773906,-0.473607491
4.073802778,6.006027736,-0.495278064
4.168693835,6.006730972,-0.506267453
4.265795188,6.006528242,-0.520812094
4.365158322,6.006067882,-0.515626436
4.466835922,6.007420162,-0.536142191
4.570881896,6.00636494,-0.547577976
4.677351413,6.007415812,-0.559280686
4.786300923,6.004184222,-0.573258189
4.897788194,6.00495929,-0.593950857
5.011872336,6.006122935,-0.605698879
5.12861384,6.006845656,-0.612413172
5.248074602,6.006077769,-0.633625262
5.370317964,6.006651998,-0.639054907
5.495408739,6.006758033,-0.655126796
5.623413252,6.00771254,-0.678414543
5.754399373,6.005058378,-0.690441922
5.888436554,6.006459156,-0.712528049
6.025595861,6.007043629,-0.721350795
6.165950019,6.006885617,-0.74079345
6.309573445,6.007101128,-0.754594759
6.45654229,6.004949228,-0.781127794
6.60693448,6.007376969,-0.800120329
6.760829754,6.007480422,-0.802419361
6.918309709,6.006820673,-0.823652612
7.079457844,6.005063772,-0.853906933
7.244359601,6.007100769,-0.862650049
7.413102413,6.00519001,-0.891895014
7.58577575,6.005806653,-0.917982652
7.762471166,6.006339489,-0.931124594
7.943282347,6.004270249,-0.953942212
8.128305162,6.00570201,-0.983221534
8.317637711,6.005430026,-1.004742377
8.511380382,6.006262736,-1.033491607
8.7096359,6.007803507,-1.054904754
8.912509381,6.00449422,-1.073956867
9.120108394,6.004892074,-1.090704086
9.332543008,6.004537089,-1.124847685
9.54992586,6.00603223,-1.153559532
9.77237221,6.004896866,-1.176786295
10,6.006224895,-1.197327826
10.23292992,6.005141326,-1.235661887
10.47128548,6.003797461,-1.24223954
10.71519305,6.004987013,-1.28928149
10.96478196,6.007261679,-1.314158624
11.22018454,6.006289425,-1.339286436
11.48153621,6.003726166,-1.380381221
11.74897555,6.005261358,-1.416665067
12.02264435,6.004224675,-1.442759286
12.30268771,6.003878015,-1.47810565
12.58925412,6.004133969,-1.503394911
12.88249552,6.004504353,-1.5445844
13.18256739,6.00477455,-1.578819448
13.48962883,6.003389702,-1.619333571
13.80384265,6.004929581,-1.657258545
14.12537545,6.003552283,-1.692080584
14.45439771,6.002510385,-1.725040129
14.79108388,6.004038202,-1.770424942
15.13561248,6.000581539,-1.812799971
15.48816619,6.004101861,-1.856496595
15.84893192,6.002680626,-1.898009722
16.21810097,6.000406123,-1.944584416
16.59586907,6.002789699,-1.996035018
16.98243652,6.002073385,-2.038409981
17.37800829,6.003448166,-2.074748148
17.7827941,6.001953808,-2.131549889
18.19700859,6.001127043,-2.175801524
18.62087137,6.002097065,-2.24113992
19.05460718,5.999672873,-2.285684195
19.498446,6.001550192,-2.337831664
19.95262315,5.999745456,-2.383648563
20.41737945,6.000758137,-2.448051689
20.89296131,6.001278703,-2.49410272
21.3796209,6.000783175,-2.555041768
21.87761624,5.998423001,-2.607217636
22.38721139,5.998869164,-2.67058207
22.90867653,5.998025822,-2.747971446
23.44228815,5.996981784,-2.804531345
23.98832919,5.997157157,-2.870681821
24.54708916,5.996317014,-2.932080457
25.11886432,5.997149682,-3.007927681
25.70395783,5.996606425,-3.08225881
26.30267992,5.996013644,-3.142073342
26.91534804,5.997577533,-3.221746019
27.54228703,5.994783243,-3.293326495
28.18382931,5.994788161,-3.365810008
28.84031503,5.994234903,-3.441411447
29.51209227,5.994577596,-3.534165062
30.1995172,5.993764337,-3.603289472
30.90295433,5.991352357,-3.688943502
31.6227766,5.992236153,-3.771113692
32.35936569,5.990895065,-3.866370771
33.11311215,5.990216312,-3.955132545
33.88441561,5.990664376,-4.04541064
34.67368505,5.98966205,-4.140627071
35.48133892,5.988066856,-4.236326453
36.30780548,5.988194731,-4.329037065
37.15352291,5.98705756,-4.419294984
38.01893963,5.98585298,-4.532170396
38.9045145,5.984382911,-4.648782938
39.81071706,5.984472274,-4.74755871
40.73802778,5.982509389,-4.864080891
41.68693835,5.982035824,-4.966533987
42.65795188,5.98053605,-5.090686676
43.65158322,5.980741935,-5.204312948
44.66835922,5.977574056,-5.328465127
45.70881896,5.977217172,-5.449082641
46.77351413,5.976255579,-5.574533931
