Freq.	V(vout)
1.00000000000000e+000	1.99999302589685e+000,-4.28108256012675e-003
1.02305972984251e+000	1.99999267933466e+000,-4.37980258577498e-003
1.04665121082543e+000	1.99999231660504e+000,-4.48079902737373e-003
1.07078670498640e+000	1.99999193695371e+000,-4.58412437554564e-003
1.09547875712233e+000	1.99999153959133e+000,-4.68983233112626e-003
1.12074020130978e+000	1.99999112369163e+000,-4.79797783305735e-003
1.14658416757562e+000	1.99999068838980e+000,-4.90861708692130e-003
1.17302408872161e+000	1.99999023278079e+000,-5.02180759413242e-003
1.20007370730629e+000	1.99998975591722e+000,-5.13760818180122e-003
1.22774708278787e+000	1.99998925680756e+000,-5.25607903328493e-003
1.25605859883189e+000	1.99998873441403e+000,-5.37728171944178e-003
1.28502297078731e+000	1.99998818765040e+000,-5.50127923060467e-003
1.31465525333508e+000	1.99998761537982e+000,-5.62813600928959e-003
1.34497084831302e+000	1.99998701641237e+000,-5.75791798365806e-003
1.37598551272117e+000	1.99998638950265e+000,-5.89069260174821e-003
1.40771536691173e+000	1.99998573334712e+000,-6.02652886649415e-003
1.44017690296786e+000	1.99998504658147e+000,-6.16549737155012e-003
1.47338699327572e+000	1.99998432777772e+000,-6.30767033793928e-003
1.50736289929412e+000	1.99998357544133e+000,-6.45312165154421e-003
1.54212228052647e+000	1.99998278800794e+000,-6.60192690146116e-003
1.57768320369952e+000	1.99998196384031e+000,-6.75416341923388e-003
1.61406415215389e+000	1.99998110122478e+000,-6.90991031899065e-003
1.65128403545104e+000	1.99998019836775e+000,-7.06924853850426e-003
1.68936219920179e+000	1.99997925339198e+000,-7.23226088119350e-003
1.72831843512153e+000	1.99997826433262e+000,-7.39903205909206e-003
1.76817299131726e+000	1.99997722913319e+000,-7.56964873680219e-003
1.80894658281185e+000	1.99997614564127e+000,-7.74419957646064e-003
1.85066040231103e+000	1.99997501160404e+000,-7.92277528373338e-003
1.89333613121855e+000	1.99997382466357e+000,-8.10546865487032e-003
1.93699595090551e+000	1.99997258235197e+000,-8.29237462483723e-003
1.98166255423942e+000	1.99997128208620e+000,-8.48359031655358e-003
2.02735915737920e+000	1.99996992116276e+000,-8.67921509125921e-003
2.07410951184210e+000	1.99996849675199e+000,-8.87935060003805e-003
2.12193791684895e+000	1.99996700589230e+000,-9.08410083652070e-003
2.17086923195407e+000	1.99996544548388e+000,-9.29357219079801e-003
2.22092888996634e+000	1.99996381228237e+000,-9.50787350456834e-003
2.27214291016839e+000	1.99996210289208e+000,-9.72711612754986e-003
2.32453791184044e+000	1.99996031375888e+000,-9.95141397518453e-003
2.37814112809615e+000	1.99995844116289e+000,-1.01808835876631e-002
2.43298042003741e+000	1.99995648121070e+000,-1.04156441903020e-002
2.48908429123558e+000	1.99995442982729e+000,-1.06558177553017e-002
2.54648190254671e+000	1.99995228274759e+000,-1.09015290649172e-002
2.60520308726827e+000	1.99995003550752e+000,-1.11529057760756e-002
2.66527836664555e+000	1.99994768343484e+000,-1.14100784864662e-002
2.72673896573548e+000	1.99994522163933e+000,-1.16731808021461e-002
2.78961682963638e+000	1.99994264500270e+000,-1.19423494066854e-002
2.85394464009191e+000	1.99993994816792e+000,-1.22177241318927e-002
2.91975583247790e+000	1.99993712552807e+000,-1.24994480301564e-002
2.98708461318093e+000	1.99993417121472e+000,-1.27876674484321e-002
3.05596597737760e+000	1.99993107908574e+000,-1.30825321039187e-002
3.12643572722382e+000	1.99992784271248e+000,-1.33841951614593e-002
3.19853049046357e+000	1.99992445536647e+000,-1.36928133127028e-002
3.27228773946669e+000	1.99992091000543e+000,-1.40085468570682e-002
3.34774581070574e+000	1.99991719925857e+000,-1.43315597845494e-002
3.42494392468201e+000	1.99991331541136e+000,-1.46620198604028e-002
3.50392220631091e+000	1.99990925038951e+000,-1.50000987117569e-002
3.58472170577761e+000	1.99990499574204e+000,-1.53459719161889e-002
3.66738441987342e+000	1.99990054262392e+000,-1.56998190923104e-002
3.75195331382433e+000	1.99989588177756e+000,-1.60618239924028e-002
3.83847234362282e+000	1.99989100351364e+000,-1.64321745971540e-002
3.92698647887470e+000	1.99988589769094e+000,-1.68110632125361e-002
4.01754172617274e+000	1.99988055369530e+000,-1.71986865688725e-002
4.11018515300929e+000	1.99987496041757e+000,-1.75952459221428e-002
4.20496491224037e+000	1.99986910623049e+000,-1.80009471575725e-002
4.30193026711386e+000	1.99986297896462e+000,-1.84160008955558e-002
4.40113161687482e+000	1.99985656588303e+000,-1.88406225999644e-002
4.50262052296127e+000	1.99984985365475e+000,-1.92750326888916e-002
4.60644973580409e+000	1.99984282832723e+000,-1.97194566478800e-002
4.71267322224483e+000	1.99983547529731e+000,-2.01741251456912e-002
4.82134619358582e+000	1.99982777928084e+000,-2.06392741526694e-002
4.93252513428712e+000	1.99981972428107e+000,-2.11151450617466e-002
5.04626783132516e+000	1.99981129355524e+000,-2.16019848121603e-002
5.16263340422846e+000	1.99980246958003e+000,-2.21000460159183e-002
5.28168233580588e+000	1.99979323401506e+000,-2.26095870870863e-002
5.40347650358351e+000	1.99978356766483e+000,-2.31308723739474e-002
5.52807921196649e+000	1.99977345043886e+000,-2.36641722940937e-002
5.65555522514243e+000	1.99976286131010e+000,-2.42097634725034e-002
5.78597080074360e+000	1.99975177827113e+000,-2.47679288826831e-002
5.91939372428539e+000	1.99974017828862e+000,-2.53389579909059e-002
6.05589334439885e+000	1.99972803725546e+000,-2.59231469036365e-002
6.19554060887574e+000	1.99971532994077e+000,-2.65207985181883e-002
6.33840810154470e+000	1.99970202993757e+000,-2.71322226766788e-002
6.48457007999789e+000	1.99968810960797e+000,-2.77577363233523e-002
6.63410251418746e+000	1.99967354002586e+000,-2.83976636653272e-002
6.78708312591213e+000	1.99965829091693e+000,-2.90523363368398e-002
6.94359142921431e+000	1.99964233059589e+000,-2.97220935670435e-002
7.10370877170875e+000	1.99962562590074e+000,-3.04072823514333e-002
7.26751837686421e+000	1.99960814212407e+000,-3.11082576269637e-002
7.43510538726017e+000	1.99958984294127e+000,-3.18253824509179e-002
7.60655690884097e+000	1.99957069033455e+000,-3.25590281836027e-002
7.78196205619051e+000	1.99955064451519e+000,-3.33095746749415e-002
