Freq.	V(vout)
1.00000000000000e+000	(6.02058952418743e+000dB,-1.22644221572250e-001°)
1.02305972984251e+000	(6.02058894739844e+000dB,-1.25472360328217e-001°)
1.04665121082543e+000	(6.02058834370167e+000dB,-1.28365714926598e-001°)
1.07078670498640e+000	(6.02058771184171e+000dB,-1.31325789207765e-001°)
1.09547875712233e+000	(6.02058705050488e+000dB,-1.34354121688859e-001°)
1.12074020130978e+000	(6.02058635831597e+000dB,-1.37452286363354e-001°)
1.14658416757562e+000	(6.02058563383557e+000dB,-1.40621893519025e-001°)
1.17302408872161e+000	(6.02058487555749e+000dB,-1.43864590574746e-001°)
1.20007370730629e+000	(6.02058408190496e+000dB,-1.47182062936643e-001°)
1.22774708278787e+000	(6.02058325122768e+000dB,-1.50576034873919e-001°)
1.25605859883189e+000	(6.02058238179846e+000dB,-1.54048270414892e-001°)
1.28502297078731e+000	(6.02058147180941e+000dB,-1.57600574263698e-001°)
1.31465525333508e+000	(6.02058051936849e+000dB,-1.61234792738080e-001°)
1.34497084831302e+000	(6.02057952249518e+000dB,-1.64952814728848e-001°)
1.37598551272117e+000	(6.02057847911678e+000dB,-1.68756572681403e-001°)
1.40771536691173e+000	(6.02057738706367e+000dB,-1.72648043599916e-001°)
1.44017690296786e+000	(6.02057624406526e+000dB,-1.76629250074623e-001°)
1.47338699327572e+000	(6.02057504774477e+000dB,-1.80702261332821e-001°)
1.50736289929412e+000	(6.02057379561487e+000dB,-1.84869194314047e-001°)
1.54212228052647e+000	(6.02057248507186e+000dB,-1.89132214770095e-001°)
1.57768320369952e+000	(6.02057111339074e+000dB,-1.93493538390306e-001°)
1.61406415215389e+000	(6.02056967771948e+000dB,-1.97955431952832e-001°)
1.65128403545104e+000	(6.02056817507277e+000dB,-2.02520214502452e-001°)
1.68936219920179e+000	(6.02056660232624e+000dB,-2.07190258555443e-001°)
1.72831843512153e+000	(6.02056495620969e+000dB,-2.11967991332309e-001°)
1.76817299131726e+000	(6.02056323330036e+000dB,-2.16855896018829e-001°)
1.80894658281185e+000	(6.02056143001578e+000dB,-2.21856513056237e-001°)
1.85066040231103e+000	(6.02055954260651e+000dB,-2.26972441461020e-001°)
1.89333613121855e+000	(6.02055756714797e+000dB,-2.32206340175242e-001°)
1.93699595090551e+000	(6.02055549953270e+000dB,-2.37560929447872e-001°)
1.98166255423942e+000	(6.02055333546150e+000dB,-2.43038992247986e-001°)
2.02735915737920e+000	(6.02055107043477e+000dB,-2.48643375710480e-001°)
2.07410951184210e+000	(6.02054869974277e+000dB,-2.54376992615151e-001°)
2.12193791684895e+000	(6.02054621845629e+000dB,-2.60242822899730e-001°)
2.17086923195407e+000	(6.02054362141601e+000dB,-2.66243915207874e-001°)
2.22092888996634e+000	(6.02054090322198e+000dB,-2.72383388472715e-001°)
2.27214291016839e+000	(6.02053805822244e+000dB,-2.78664433536930e-001°)
2.32453791184044e+000	(6.02053508050184e+000dB,-2.85090314810093e-001°)
2.37814112809615e+000	(6.02053196386870e+000dB,-2.91664371964167e-001°)
2.43298042003741e+000	(6.02052870184283e+000dB,-2.98390021668047e-001°)
2.48908429123558e+000	(6.02052528764160e+000dB,-3.05270759362036e-001°)
2.54648190254671e+000	(6.02052171416615e+000dB,-3.12310161073132e-001°)
2.60520308726827e+000	(6.02051797398628e+000dB,-3.19511885272170e-001°)
2.66527836664555e+000	(6.02051405932534e+000dB,-3.26879674773576e-001°)
2.72673896573548e+000	(6.02050996204374e+000dB,-3.34417358678992e-001°)
2.78961682963638e+000	(6.02050567362237e+000dB,-3.42128854365482e-001°)
2.85394464009191e+000	(6.02050118514470e+000dB,-3.50018169519540e-001°)
2.91975583247790e+000	(6.02049648727812e+000dB,-3.58089404217945e-001°)
2.98708461318093e+000	(6.02049157025476e+000dB,-3.66346753056373e-001°)
3.05596597737760e+000	(6.02048642385119e+000dB,-3.74794507326996e-001°)
3.12643572722382e+000	(6.02048103736698e+000dB,-3.83437057246232e-001°)
3.19853049046357e+000	(6.02047539960256e+000dB,-3.92278894233607e-001°)
3.27228773946669e+000	(6.02046949883603e+000dB,-4.01324613243090e-001°)
3.34774581070574e+000	(6.02046332279856e+000dB,-4.10578915147971e-001°)
3.42494392468201e+000	(6.02045685864905e+000dB,-4.20046609180586e-001°)
3.50392220631091e+000	(6.02045009294762e+000dB,-4.29732615428041e-001°)
3.58472170577761e+000	(6.02044301162719e+000dB,-4.39641967385379e-001°)
3.66738441987342e+000	(6.02043559996460e+000dB,-4.49779814567321e-001°)
3.75195331382433e+000	(6.02042784255005e+000dB,-4.60151425179982e-001°)
3.83847234362282e+000	(6.02041972325479e+000dB,-4.70762188854005e-001°)
3.92698647887470e+000	(6.02041122519777e+000dB,-4.81617619440411e-001°)
4.01754172617274e+000	(6.02040233071061e+000dB,-4.92723357870596e-001°)
4.11018515300929e+000	(6.02039302130073e+000dB,-5.04085175082026e-001°)
4.20496491224037e+000	(6.02038327761294e+000dB,-5.15708975011003e-001°)
4.30193026711386e+000	(6.02037307938938e+000dB,-5.27600797654085e-001°)
4.40113161687482e+000	(6.02036240542732e+000dB,-5.39766822199752e-001°)
4.50262052296127e+000	(6.02035123353478e+000dB,-5.52213370231909e-001°)
4.60644973580409e+000	(6.02033954048496e+000dB,-5.64946909006648e-001°)
4.71267322224483e+000	(6.02032730196767e+000dB,-5.77974054804268e-001°)
4.82134619358582e+000	(6.02031449253872e+000dB,-5.91301576358047e-001°)
4.93252513428712e+000	(6.02030108556746e+000dB,-6.04936398361392e-001°)
5.04626783132516e+000	(6.02028705318070e+000dB,-6.18885605055590e-001°)
5.16263340422846e+000	(6.02027236620566e+000dB,-6.33156443899286e-001°)
5.28168233580588e+000	(6.02025699410872e+000dB,-6.47756329322164e-001°)
5.40347650358351e+000	(6.02024090493235e+000dB,-6.62692846564418e-001°)
5.52807921196649e+000	(6.02022406522819e+000dB,-6.77973755603998e-001°)
5.65555522514243e+000	(6.02020643998848e+000dB,-6.93606995173386e-001°)
5.78597080074360e+000	(6.02018799257223e+000dB,-7.09600686868602e-001°)
5.91939372428539e+000	(6.02016868463001e+000dB,-7.25963139351432e-001°)
6.05589334439885e+000	(6.02014847602370e+000dB,-7.42702852648004e-001°)
6.19554060887574e+000	(6.02012732474336e+000dB,-7.59828522545199e-001°)
6.33840810154470e+000	(6.02010518681998e+000dB,-7.77349045087280e-001°)
6.48457007999789e+000	(6.02008201623397e+000dB,-7.95273521175077e-001°)
6.63410251418746e+000	(6.02005776481983e+000dB,-8.13611261269783e-001°)
6.78708312591213e+000	(6.02003238216580e+000dB,-8.32371790203903e-001°)
6.94359142921431e+000	(6.02000581550957e+000dB,-8.51564852101531e-001°)
7.10370877170875e+000	(6.01997800962823e+000dB,-8.71200415410524e-001°)
7.26751837686421e+000	(6.01994890672396e+000dB,-8.91288678048991e-001°)
7.43510538726017e+000	(6.01991844630472e+000dB,-9.11840072668363e-001°)
7.60655690884097e+000	(6.01988656505539e+000dB,-9.32865272036345e-001°)
7.78196205619051e+000	(6.01985319671112e+000dB,-9.54375194541160e-001°)
7.96141199885091e+000	(6.01981827191656e+000dB,-9.76381009821079e-001°)
8.14500000870932e+000	(6.01978171808285e+000dB,-9.98894144520792e-001°)
8.33282150847739e+000	(6.01974345923656e+000dB,-1.02192628817839e+000°)
8.52497412128872e+000	(6.01970341586247e+000dB,-1.04548939924474e+000°)
8.72155772144001e+000	(6.01966150473828e+000dB,-1.06959571123914e+000°)
8.92267448630226e+000	(6.01961763876177e+000dB,-1.09425773904345e+000°)
9.12842894942904e+000	(6.01957172677045e+000dB,-1.11948828533786e+000°)
9.33892805488941e+000	(6.01952367335205e+000dB,-1.14530044718161e+000°)
9.55428121285378e+000	(6.01947337864686e+000dB,-1.17170762274118e+000°)
9.77460035646155e+000	(6.01942073814022e+000dB,-1.19872351816980e+000°)
1.00000000000000e+001	(6.01936564244624e+000dB,-1.22636215464053e+000°)
1.02305972984251e+001	(6.01930797708045e+000dB,-1.25463787553727e+000°)
1.04665121082543e+001	(6.01924762222271e+000dB,-1.28356535380590e+000°)
1.07078670498640e+001	(6.01918445246866e+000dB,-1.31315959946959e+000°)
1.09547875712234e+001	(6.01911833656968e+000dB,-1.34343596731146e+000°)
1.12074020130978e+001	(6.01904913716111e+000dB,-1.37441016472788e+000°)
1.14658416757563e+001	(6.01897671047701e+000dB,-1.40609825975634e+000°)
1.17302408872162e+001	(6.01890090605294e+000dB,-1.43851668928064e+000°)
1.20007370730629e+001	(6.01882156641355e+000dB,-1.47168226741802e+000°)
1.22774708278787e+001	(6.01873852674692e+000dB,-1.50561219409076e+000°)
1.25605859883189e+001	(6.01865161456272e+000dB,-1.54032406378700e+000°)
1.28502297078731e+001	(6.01856064933697e+000dB,-1.57583587451332e+000°)
1.31465525333509e+001	(6.01846544213183e+000dB,-1.61216603694471e+000°)
1.34497084831303e+001	(6.01836579521396e+000dB,-1.64933338377259e+000°)
1.37598551272118e+001	(6.01826150163893e+000dB,-1.68735717925845e+000°)
1.40771536691173e+001	(6.01815234482459e+000dB,-1.72625712899436e+000°)
1.44017690296787e+001	(6.01803809810318e+000dB,-1.76605338987495e+000°)
1.47338699327573e+001	(6.01791852425261e+000dB,-1.80676658028515e+000°)
1.50736289929413e+001	(6.01779337500563e+000dB,-1.84841779050738e+000°)
1.54212228052647e+001	(6.01766239053711e+000dB,-1.89102859335202e+000°)
1.57768320369953e+001	(6.01752529892654e+000dB,-1.93462105501553e+000°)
1.61406415215390e+001	(6.01738181559694e+000dB,-1.97921774616944e+000°)
1.65128403545105e+001	(6.01723164272659e+000dB,-2.02484175328567e+000°)
1.68936219920180e+001	(6.01707446863445e+000dB,-2.07151669020011e+000°)
1.72831843512154e+001	(6.01690996713670e+000dB,-2.11926670992083e+000°)
1.76817299131726e+001	(6.01673779687363e+000dB,-2.16811651668269e+000°)
1.80894658281186e+001	(6.01655760060626e+000dB,-2.21809137825341e+000°)
1.85066040231103e+001	(6.01636900447895e+000dB,-2.26921713849570e+000°)
1.89333613121855e+001	(6.01617161724948e+000dB,-2.32152023018755e+000°)
1.93699595090551e+001	(6.01596502948300e+000dB,-2.37502768810611e+000°)
1.98166255423943e+001	(6.01574881270957e+000dB,-2.42976716237777e+000°)
2.02735915737920e+001	(6.01552251853952e+000dB,-2.48576693209973e+000°)
2.07410951184210e+001	(6.01528567774543e+000dB,-2.54305591923403e+000°)
2.12193791684896e+001	(6.01503779929399e+000dB,-2.60166370278093e+000°)
2.17086923195407e+001	(6.01477836933866e+000dB,-2.66162053323136e+000°)
2.22092888996635e+001	(6.01450685016286e+000dB,-2.72295734730583e+000°)
2.27214291016839e+001	(6.01422267907749e+000dB,-2.78570578297852e+000°)
2.32453791184045e+001	(6.01392526726583e+000dB,-2.84989819479312e+000°)
2.37814112809616e+001	(6.01361399857624e+000dB,-2.91556766947162e+000°)
2.43298042003741e+001	(6.01328822826028e+000dB,-2.98274804181783e+000°)
2.48908429123559e+001	(6.01294728165398e+000dB,-3.05147391091952e+000°)
