Freq.	V(vout)
1.00000000000000e+000	(-5.64321987955634e+001dB,-9.01728141394642e+001°)
1.02305972984251e+000	(-5.62341799148518e+001dB,-9.01767991805850e+001°)
1.04665121082543e+000	(-5.60361610771185e+001dB,-9.01808761152352e+001°)
1.07078670498640e+000	(-5.58381422843684e+001dB,-9.01850470624235e+001°)
1.09547875712233e+000	(-5.56401235386999e+001dB,-9.01893141900199e+001°)
1.12074020130978e+000	(-5.54421048423095e+001dB,-9.01936797158829e+001°)
1.14658416757562e+000	(-5.52440861974961e+001dB,-9.01981459090115e+001°)
1.17302408872161e+000	(-5.50460676066657e+001dB,-9.02027150907245e+001°)
1.20007370730629e+000	(-5.48480490723367e+001dB,-9.02073896358667e+001°)
1.22774708278787e+000	(-5.46500305971450e+001dB,-9.02121719740431e+001°)
1.25605859883189e+000	(-5.44520121838494e+001dB,-9.02170645908814e+001°)
1.28502297078731e+000	(-5.42539938353374e+001dB,-9.02220700293238e+001°)
1.31465525333508e+000	(-5.40559755546311e+001dB,-9.02271908909479e+001°)
1.34497084831302e+000	(-5.38579573448939e+001dB,-9.02324298373191e+001°)
1.37598551272117e+000	(-5.36599392094364e+001dB,-9.02377895913734e+001°)
1.40771536691173e+000	(-5.34619211517238e+001dB,-9.02432729388321e+001°)
1.44017690296786e+000	(-5.32639031753831e+001dB,-9.02488827296496e+001°)
1.47338699327572e+000	(-5.30658852842103e+001dB,-9.02546218794941e+001°)
1.50736289929412e+000	(-5.28678674821784e+001dB,-9.02604933712623e+001°)
1.54212228052647e+000	(-5.26698497734462e+001dB,-9.02665002566298e+001°)
1.57768320369952e+000	(-5.24718321623659e+001dB,-9.02726456576363e+001°)
1.61406415215389e+000	(-5.22738146534931e+001dB,-9.02789327683077e+001°)
1.65128403545104e+000	(-5.20757972515960e+001dB,-9.02853648563159e+001°)
1.68936219920179e+000	(-5.18777799616649e+001dB,-9.02919452646761e+001°)
1.72831843512153e+000	(-5.16797627889232e+001dB,-9.02986774134839e+001°)
1.76817299131726e+000	(-5.14817457388377e+001dB,-9.03055648016921e+001°)
1.80894658281185e+000	(-5.12837288171306e+001dB,-9.03126110089283e+001°)
1.85066040231103e+000	(-5.10857120297907e+001dB,-9.03198196973548e+001°)
1.89333613121855e+000	(-5.08876953830863e+001dB,-9.03271946135710e+001°)
1.93699595090551e+000	(-5.06896788835781e+001dB,-9.03347395905593e+001°)
1.98166255423942e+000	(-5.04916625381328e+001dB,-9.03424585496768e+001°)
2.02735915737920e+000	(-5.02936463539376e+001dB,-9.03503555026920e+001°)
2.07410951184210e+000	(-5.00956303385149e+001dB,-9.03584345538685e+001°)
2.12193791684895e+000	(-4.98976144997379e+001dB,-9.03666999020971e+001°)
2.17086923195407e+000	(-4.96995988458472e+001dB,-9.03751558430765e+001°)
2.22092888996634e+000	(-4.95015833854677e+001dB,-9.03838067715448e+001°)
2.27214291016839e+000	(-4.93035681276269e+001dB,-9.03926571835617e+001°)
2.32453791184044e+000	(-4.91055530817731e+001dB,-9.04017116788437e+001°)
2.37814112809615e+000	(-4.89075382577956e+001dB,-9.04109749631527e+001°)
2.43298042003741e+000	(-4.87095236660448e+001dB,-9.04204518507401e+001°)
2.48908429123558e+000	(-4.85115093173543e+001dB,-9.04301472668464e+001°)
2.54648190254671e+000	(-4.83134952230627e+001dB,-9.04400662502594e+001°)
2.60520308726827e+000	(-4.81154813950376e+001dB,-9.04502139559297e+001°)
2.66527836664555e+000	(-4.79174678457003e+001dB,-9.04605956576481e+001°)
2.72673896573548e+000	(-4.77194545880517e+001dB,-9.04712167507833e+001°)
2.78961682963638e+000	(-4.75214416356987e+001dB,-9.04820827550830e+001°)
2.85394464009191e+000	(-4.73234290028833e+001dB,-9.04931993175399e+001°)
2.91975583247790e+000	(-4.71254167045119e+001dB,-9.05045722153227e+001°)
2.98708461318093e+000	(-4.69274047561859e+001dB,-9.05162073587751e+001°)
3.05596597737760e+000	(-4.67293931742348e+001dB,-9.05281107944838e+001°)
3.12643572722382e+000	(-4.65313819757497e+001dB,-9.05402887084163e+001°)
3.19853049046357e+000	(-4.63333711786189e+001dB,-9.05527474291320e+001°)
3.27228773946669e+000	(-4.61353608015653e+001dB,-9.05654934310661e+001°)
3.34774581070574e+000	(-4.59373508641850e+001dB,-9.05785333378891e+001°)
3.42494392468201e+000	(-4.57393413869882e+001dB,-9.05918739259440e+001°)
3.50392220631091e+000	(-4.55413323914418e+001dB,-9.06055221277618e+001°)
3.58472170577761e+000	(-4.53433239000144e+001dB,-9.06194850356581e+001°)
3.66738441987342e+000	(-4.51453159362222e+001dB,-9.06337699054126e+001°)
3.75195331382433e+000	(-4.49473085246785e+001dB,-9.06483841600319e+001°)
3.83847234362282e+000	(-4.47493016911447e+001dB,-9.06633353935999e+001°)
3.92698647887470e+000	(-4.45512954625840e+001dB,-9.06786313752161e+001°)
4.01754172617274e+000	(-4.43532898672169e+001dB,-9.06942800530239e+001°)
4.11018515300929e+000	(-4.41552849345808e+001dB,-9.07102895583319e+001°)
4.20496491224037e+000	(-4.39572806955902e+001dB,-9.07266682098287e+001°)
4.30193026711386e+000	(-4.37592771826022e+001dB,-9.07434245178961e+001°)
4.40113161687482e+000	(-4.35612744294826e+001dB,-9.07605671890188e+001°)
4.50262052296127e+000	(-4.33632724716773e+001dB,-9.07781051302971e+001°)
4.60644973580409e+000	(-4.31652713462850e+001dB,-9.07960474540617e+001°)
4.71267322224483e+000	(-4.29672710921352e+001dB,-9.08144034825949e+001°)
